rep,id,U,L,alpha,mean_cc
1,411,114215,719.425,1.54238,910.0
2,411,114213,719.356,1.53916,910.0
3,411,114214,719.538,1.52227,910.0
4,411,114215,719.216,1.52969,910.0
5,411,114216,719.318,1.5453,910.0
6,411,114213,719.414,1.53309,910.0
7,411,114214,719.332,1.51569,910.0
8,411,114216,719.365,1.57775,910.0
9,411,114214,719.421,1.534,910.0
10,411,114215,719.41,1.54546,910.0
1,152,114219,702.803,0.533351,695.25
2,152,114221,702.751,0.532385,695.25
3,152,114220,703.009,0.54075,695.25
4,152,114220,703.065,0.53958,695.25
5,152,114220,702.948,0.533486,695.25
6,152,114219,702.993,0.541602,695.25
7,152,114220,702.969,0.542668,695.25
8,152,114220,702.94,0.538911,695.25
9,152,114218,702.89,0.536147,695.25
10,152,114222,702.93,0.521552,695.25
1,1056,114217,702.958,0.0043153,713.75
2,1056,114214,703.117,0.00428361,713.75
3,1056,114215,702.931,0.00423389,713.75
4,1056,114216,703.151,0.00427725,713.75
5,1056,114216,703.098,0.00434643,713.75
6,1056,114215,702.842,0.00416841,713.75
7,1056,114216,703.052,0.00427255,713.75
8,1056,114216,702.843,0.00427282,713.75
9,1056,114216,702.756,0.00429169,713.75
10,1056,114216,702.89,0.00431775,713.75
1,462,114219,693.989,0.0154351,643.5
2,462,114219,693.572,0.015617,643.5
3,462,114219,693.761,0.0153041,643.5
4,462,114218,693.849,0.014951,643.5
5,462,114218,693.42,0.0154568,643.5
6,462,114218,693.912,0.0153674,643.5
7,462,114219,693.873,0.0155814,643.5
8,462,114217,693.563,0.0154646,643.5
9,462,114219,693.621,0.0156158,643.5
10,462,114218,693.662,0.0154342,643.5
1,1159,114221,696.961,0.0050983,654.75
2,1159,114221,696.778,0.00516512,654.75
3,1159,114223,696.9,0.00513592,654.75
4,1159,114223,696.946,0.00513742,654.75
5,1159,114222,696.958,0.00522593,654.75
6,1159,114221,696.898,0.00511551,654.75
7,1159,114221,696.872,0.00509873,654.75
8,1159,114222,696.906,0.0050893,654.75
9,1159,114222,696.779,0.00515109,654.75
10,1159,114222,696.879,0.00520302,654.75
1,1197,114210,699.414,0.41598,636.5
2,1197,114211,699.451,0.407582,636.5
3,1197,114209,699.227,0.405069,636.5
4,1197,114211,699.266,0.40833,636.5
5,1197,114210,699.288,0.409262,636.5
6,1197,114210,699.385,0.405847,636.5
7,1197,114210,699.366,0.413301,636.5
8,1197,114208,699.409,0.409538,636.5
9,1197,114210,699.047,0.410666,636.5
10,1197,114210,699.238,0.409363,636.5
