U_pop,1,0.0106796,0.0210829,-0.352894,0.101431,-0.0256715,0.0631041,-0.0662877,0.102446,-0.0961566
L_pop,0.0106796,1,0.0239219,-0.00642515,0.0084664,-0.0241961,-0.00138106,0.00126511,-0.00932073,0.0101946
alpha_pop,0.0210829,0.0239219,1,-0.139205,-0.00196751,-0.951821,-0.0168371,0.0168297,-0.494313,0.522649
omega_U,-0.352894,-0.00642515,-0.139205,1,-0.151386,0.142975,-0.0863545,0.0830239,0.183259,-0.192543
omega_L,0.101431,0.0084664,-0.00196751,-0.151386,1,0.00163634,0.0434618,-0.044545,-0.000975224,0.00204594
omega_alpha,-0.0256715,-0.0241961,-0.951821,0.142975,0.00163634,1,0.0176794,-0.017624,0.502949,-0.534032
acc,0.0631041,-0.00138106,-0.0168371,-0.0863545,0.0434618,0.0176794,1,-0.989116,0.0268618,-0.027139
bcc,-0.0662877,0.00126511,0.0168297,0.0830239,-0.044545,-0.017624,-0.989116,1,-0.0303349,0.0305998
avc,0.102446,-0.00932073,-0.494313,0.183259,-0.000975224,0.502949,0.0268618,-0.0303349,1,-0.988113
bvc,-0.0961566,0.0101946,0.522649,-0.192543,0.00204594,-0.534032,-0.027139,0.0305998,-0.988113,1
