rep,id,U,L,alpha,mean_cc
1,411,114226,891.912,1.54988,910.0
2,411,114213,924.958,1.15267,910.0
3,411,114218,901.451,1.16047,910.0
4,411,114214,890.883,1.45136,910.0
5,411,114220,919.883,1.34041,910.0
6,411,114221,883.633,1.39907,910.0
7,411,114197,918.797,1.58084,910.0
8,411,114212,878.014,1.41724,910.0
9,411,114203,925.41,1.39457,910.0
10,411,114226,930.501,1.23916,910.0
1,152,114194,720.018,0.741289,695.25
2,152,114221,666.448,0.763454,695.25
3,152,114207,698.968,0.654267,695.25
4,152,114208,681.739,0.714866,695.25
5,152,114219,700.545,0.552352,695.25
6,152,114215,705.644,0.363107,695.25
7,152,114226,767.008,0.658292,695.25
8,152,114225,709.042,0.667822,695.25
9,152,114197,698.691,0.229023,695.25
10,152,114234,693.213,0.0950886,695.25
1,1056,114211,712.193,0.038874,713.75
2,1056,114190,721.039,0.0260997,713.75
3,1056,114208,723.983,0.00539105,713.75
4,1056,114205,712.004,0.00882643,713.75
5,1056,114230,726.586,0.0919327,713.75
6,1056,114206,701.898,0.00309363,713.75
7,1056,114214,722.967,0.0585348,713.75
8,1056,114220,706.577,0.017684,713.75
9,1056,114204,706.14,0.151809,713.75
10,1056,114203,718.651,0.0290003,713.75
1,462,114200,676.335,0.0974179,643.5
2,462,114232,646.57,0.00600412,643.5
3,462,114227,650.47,0.0383558,643.5
4,462,114217,671.481,0.00138119,643.5
5,462,114198,620.157,0.0591325,643.5
6,462,114207,657.808,0.0291331,643.5
7,462,114229,637.578,0.107502,643.5
8,462,114216,645.181,0.00112527,643.5
9,462,114216,649.329,0.119256,643.5
10,462,114213,649.983,0.00898084,643.5
1,1159,114213,643.16,0.0351508,654.75
2,1159,114192,647.912,0.0224501,654.75
3,1159,114207,664.296,0.0118792,654.75
4,1159,114222,691.368,0.0148721,654.75
5,1159,114221,672.972,0.0586489,654.75
6,1159,114205,652.191,0.0149169,654.75
7,1159,114209,667.71,0.107661,654.75
8,1159,114200,637.461,0.0062738,654.75
9,1159,114221,675.863,0.00173002,654.75
10,1159,114212,651.762,0.0702893,654.75
1,1197,114209,656.719,0.326471,636.5
2,1197,114207,646.891,0.464721,636.5
3,1197,114184,607.574,0.675725,636.5
4,1197,114219,637.669,0.0360651,636.5
5,1197,114218,635.634,0.00706843,636.5
6,1197,114227,619.464,0.13799,636.5
7,1197,114212,613.938,0.312422,636.5
8,1197,114201,633.193,0.267763,636.5
9,1197,114215,661.182,0.17104,636.5
10,1197,114220,611.27,0.182815,636.5
