parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
U_pop,114214.118540451,,27.335879090901,0.0239338878942707,114161,114268
L_pop,709.23737613645,,38.6668013826166,5.45188433148473,633.452,785.023
alpha_pop,0.0985992501715247,,5813.40795211377,5895996.10747615,0.000148844,65.3154
omega_U,11.1075522265915,0.00972520067443114,29.0265895754512,261.323007835709,1.35675,90.9362
omega_L,93.4152775779199,13.1712288044938,28.191444895111,30.1786234822199,53.5367,162.999
omega_alpha,2.00097435499272,733.562602635869,3.52325519303441,176.076978909968,0.329842,12.1388
acc,43.2307346596877,,32.407916698651,74.9649918137318,13.8506,134.933
bcc,6.82270648531662e-05,,0.0457081140676228,66994.1088129656,4.59712e-07,0.0101258
avc,18954.9073571112,,13670.9194897113,72.1233780368885,6251.04,57476.6
bvc,1.67884204740919e-05,,0.139510809839635,830994.256159657,4.65396e-08,0.00605615
