id,importanceSampling
411|4,134.836582
411|3,142.819579
411|5,160.243051
411|6,162.450634
411|8,136.401787
411|7,137.107446
411|9,156.403617
411|10,162.197951
411|12,136.189364
411|11,134.247285
411|1,82.879170
411|2,147.414010
152|8,145.118122
152|7,144.883526
152|6,152.184014
152|5,151.168630
152|12,140.115760
152|11,138.851305
152|10,145.080886
152|9,148.347479
152|3,145.545409
152|4,146.552981
152|1,77.771254
152|2,151.659608
1056|8,141.610103
1056|7,143.024995
1056|6,114.013384
1056|5,148.552579
1056|12,147.722341
1056|11,142.529180
1056|10,148.359250
1056|9,154.108184
1056|4,153.290803
1056|3,150.425232
1056|1,77.088504
1056|2,163.484032
462|6,171.354720
462|5,174.816274
462|4,179.759786
462|3,179.539376
462|9,154.415463
462|10,156.442355
462|7,165.220282
462|8,163.475246
462|11,160.869996
462|12,168.326916
462|1,91.050899
462|2,161.755022
1159|8,151.673431
1159|7,153.292974
1159|5,158.704704
1159|6,158.292960
1159|11,147.309353
1159|12,155.787437
1159|9,155.889859
1159|10,155.278073
1159|4,151.787928
1159|3,116.088383
1159|1,81.591898
1159|2,158.533856
1197|7,138.231748
1197|8,138.102749
1197|6,147.173308
1197|5,145.555597
1197|12,133.324339
1197|10,107.128564
1197|9,140.305096
1197|3,148.874658
1197|4,153.317617
1197|11,132.904119
1197|1,81.463054
1197|2,159.081973
