parameter,value,CV
f_pop,0.213983879675236,
beta_f_run_id_1159,-0.356084499782998,
beta_f_run_id_1197,-2.20811928865035,
beta_f_run_id_152,0.219732359343459,
beta_f_run_id_411,0.858583793279225,
beta_f_run_id_462,0.161435555190083,
h_pop,1.76399991210562,
L_gap_pop,3.42318367585122,
beta_L_gap_mab_virus_22_0_276,-1.5393274562439e-06,
beta_L_gap_mab_virus_22_0_292,8.67051029824889e-09,
beta_L_gap_mab_virus_22_0_322,1.62547045578211e-06,
beta_L_gap_mab_virus_28_0_103,6.13203373026386e-06,
beta_L_gap_mab_virus_28_0_276,9.55216359183682e-05,
beta_L_gap_mab_virus_28_0_292,3.3500210084705e-07,
beta_L_gap_mab_virus_28_0_322,3.07391364500104e-07,
beta_L_gap_mab_virus_32_0_292,-25.1433522760362,
beta_L_gap_mab_virus_55_0_292,-0.0307161351171918,
beta_L_gap_mab_virus_65_0_103,-26.7032071922638,
beta_L_gap_mab_virus_65_0_276,4.49228687343075e-09,
beta_L_gap_mab_virus_65_0_292,2.19170640620176e-05,
beta_L_gap_mab_virus_65_0_322,2.02791709036503,
beta_L_gap_mab_virus_69_0_103,8.96255230174612e-12,
beta_L_gap_mab_virus_69_0_274,9.86761072446142e-10,
beta_L_gap_mab_virus_69_0_276,-4.71080536730263e-08,
beta_L_gap_mab_virus_69_0_292,3.41910081601877e-05,
beta_L_gap_mab_virus_69_0_322,-7.08462619189678e-07,
beta_L_gap_mab_virus_70_0_274,-22.1001664151227,
eta_alpha_pop,0.0259887175147547,
beta_eta_alpha_run_id_1159,2.43572371460181e-06,
beta_eta_alpha_run_id_1197,-0.0210078483705207,
beta_eta_alpha_run_id_152,-4.6919668041827e-14,
beta_eta_alpha_run_id_411,3.32901070593696e-05,
beta_eta_alpha_run_id_462,-0.0396768143005335,
omega_f,1.21840032890012,184.736451848203
omega_h,1.77945093496707e-07,1.00875908369122e-05
acc,40.6332085399346,
bcc,2.22044604925031e-16,
asample,2.81286590423136,
bsample,0.22218398982421,
avc,2.22044604925031e-16,
bvc,0.0434022905892189,
