id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,84158.6,769.639,0.159,0.00886873,0.281099,83947.1,769.639,0.159,0.00048236,0.273694,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,84158.6,769.639,0.159,0.0058801,0.281099,83947.1,769.639,0.159,0.000306862,0.273694,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,84158.6,769.639,0.159,0.017906,0.281099,83947.1,769.639,0.159,0.00180197,0.273694,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,84158.6,769.639,0.159,175.948,0.281099,83947.1,769.639,0.159,0.00417872,0.273694,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,84158.6,769.639,0.159,0.00310191,0.281099,83947.1,769.639,0.159,0.000275209,0.273694,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,84158.6,769.639,0.159,0.0024233,0.281099,83947.1,769.639,0.159,0.000320149,0.273694,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,84158.6,769.639,0.159,2.43714,0.281099,83947.1,769.639,0.159,0.00256711,0.273694,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,84158.6,769.639,0.159,0.691801,0.281099,83947.1,769.639,0.159,0.00272362,0.273694,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,84158.6,769.639,0.159,0.0427453,0.281099,83947.1,769.639,0.159,0.000169979,0.273694,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,84158.6,769.639,0.159,0.00655777,0.281099,83947.1,769.639,0.159,0.000321661,0.273694,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,84158.6,766.878,0.159,2.90507e+06,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,84158.6,766.878,0.159,1.30706e+08,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,84158.6,766.878,0.159,1.7178e+10,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,84158.6,766.878,0.159,6.73986e+07,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,84158.6,766.878,0.159,3.93961e+07,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,84158.6,766.878,0.159,4.43077e+08,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,84158.6,766.878,0.159,1.73679e+07,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,84158.6,766.878,0.159,4.97398e+06,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,84158.6,766.878,0.159,558827,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,84158.6,766.878,0.159,2.7875e+08,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,84158.6,766.878,0.159,3.03322e+09,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,84158.6,766.878,0.159,2.31683e+08,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,84158.6,766.878,0.159,7.56354e+07,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,84158.6,766.878,0.159,1.4146e+07,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,84158.6,766.878,0.159,1.19102e+08,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,84158.6,766.878,0.159,1.40182e+09,0.281099,83947.1,766.878,0.159,1,0.273694,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,84158.6,768.338,0.159,5.12835e-05,1.62486,83947.1,768.338,0.159,6.54832e-06,1.61297,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,84158.6,768.338,0.159,0.000151837,1.62486,83947.1,768.338,0.159,1.26898e-05,1.61297,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,84158.6,768.338,0.159,0.000103161,1.62486,83947.1,768.338,0.159,1.19855e-05,1.61297,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,84158.6,768.338,0.159,0.000925244,1.62486,83947.1,768.338,0.159,1.29557e-05,1.61297,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,84158.6,768.338,0.159,5.13367e-05,1.62486,83947.1,768.338,0.159,6.68849e-06,1.61297,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,84158.6,768.338,0.159,0.000112536,1.62486,83947.1,768.338,0.159,1.20455e-05,1.61297,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,84158.6,768.338,0.159,7.70828e-07,1.62486,83947.1,768.338,0.159,7.11942e-09,1.61297,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,84158.6,768.338,0.159,8.46644e-08,1.62486,83947.1,768.338,0.159,6.83287e-09,1.61297,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,84158.6,768.338,0.159,4.17843e-07,1.62486,83947.1,768.338,0.159,2.69937e-08,1.61297,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,84158.6,768.338,0.159,3.96316e-08,1.62486,83947.1,768.338,0.159,9.77263e-09,1.61297,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,84158.6,766.519,0.159,2.62951e+07,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,84158.6,766.519,0.159,2.26634e+09,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,84158.6,766.519,0.159,2.2645e+08,1.62486,83947.1,766.519,0.159,0.999994,1.61297,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,84158.6,766.519,0.159,1.32906e+07,1.62486,83947.1,766.519,0.159,0.999999,1.61297,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,84158.6,766.519,0.159,2.15756e+06,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,84158.6,766.519,0.159,6.32233e+06,1.62486,83947.1,766.519,0.159,1.00001,1.61297,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,84158.6,766.519,0.159,8.40318e+10,1.62486,83947.1,766.519,0.159,1.00001,1.61297,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,84158.6,766.519,0.159,5.34325e+08,1.62486,83947.1,766.519,0.159,0.999997,1.61297,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,84158.6,766.519,0.159,2.49193e+09,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,84158.6,766.519,0.159,2.51119e+06,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,84158.6,766.519,0.159,4.10158e+07,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,84158.6,766.519,0.159,407165,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,84158.6,766.519,0.159,3.89166e+08,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,84158.6,766.519,0.159,3.11989e+06,1.62486,83947.1,766.519,0.159,0.999998,1.61297,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,84158.6,766.519,0.159,4.384e+08,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,84158.6,766.519,0.159,3.65934e+09,1.62486,83947.1,766.519,0.159,1,1.61297,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,84158.6,769.188,0.159,36.2335,0.280967,83947.1,769.188,0.159,0.0233418,0.27356,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,84158.6,769.188,0.159,2348.78,0.280967,83947.1,769.188,0.159,0.026867,0.27356,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,84158.6,769.188,0.159,53064.2,0.280967,83947.1,769.188,0.159,0.0464533,0.27356,True,65.0|322,152
