rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,7.57354e-08,-2.51983e-08,7.74437e-08,-5.84293,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-5.28235e-08,-1.53985e-07,8.31179e-08,-5.40439,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,2.44618e-08,-7.06923e-08,-8.72841e-08,3.5965,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-4.98476e-08,2.93312e-10,-1.21167e-07,0.218434,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.96451e-10,-5.53905e-09,1.74685e-07,-3.36798,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-4.34666e-08,2.81145e-08,-1.75939e-07,-5.55959,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-3.6991e-08,1.30501e-08,2.01618e-07,4.93758,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-6.07542e-09,-5.33489e-08,1.88231e-07,-2.269,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-4.71482e-09,5.03468e-08,1.31007e-07,-5.75047,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,3.49974e-09,-1.04609e-08,-4.57504e-08,-4.60915,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-2.44399e-08,-3.84616e-08,-9.58686e-08,2.3562,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,2.08238e-08,-1.71593e-08,3.1747e-08,4.91646,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,3.70273e-08,-3.91323e-08,5.14722e-08,0.433407,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,6.28279e-08,1.24534e-07,5.54295e-07,-0.344644,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,5.56611e-09,-3.02286e-08,-2.52256e-07,-8.29485,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,2.02926e-08,5.00336e-09,-4.27699e-07,-11.3088,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-1.29367e-08,4.23698e-08,8.37703e-08,1.41843,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,1.26238e-08,-9.83219e-08,-2.74891e-07,-8.11731,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,4.00469e-08,-1.18261e-07,-1.36087e-08,-1.13732,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-9.19026e-08,-4.53499e-08,7.69568e-08,-1.42431,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,-1.00044e-08,8.30848e-08,-1.11809e-07,-4.42444,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,4.17131e-08,-5.282e-08,3.9412e-07,-15.4537,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-1.55414e-08,9.90334e-08,1.09763e-07,-0.777351,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,3.24362e-08,2.56967e-08,-8.90104e-08,-6.59976,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,-5.99975e-08,8.811e-08,-2.42856e-07,-14.0922,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,-6.80011e-08,-5.25429e-08,4.49882e-08,1.39175,0,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,-1.01165e-07,1.02829e-08,3.55174e-07,-9.18953,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,-9.90258e-09,-1.95408e-08,-3.43649e-08,-6.09948,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,1.30771e-07,-1.054e-08,3.13227e-07,-2.38246,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,-8.86212e-09,-3.65237e-08,-7.08784e-08,-7.75074,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,-2.27956e-08,9.55288e-09,-1.74405e-07,-8.87294,0,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,1.95432e-08,5.90784e-08,-1.48703e-07,-8.57024,0,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,-5.74364e-08,-1.15859e-08,1.82277e-07,-16.5043,0,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,2.5284e-08,3.50917e-08,-2.64056e-07,-13.7466,0,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,-7.92352e-09,-9.06314e-08,8.85707e-08,-13.6263,0,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,2.20753e-08,-3.61241e-08,-1.97141e-07,-14.6511,0,True,6.0|233,705
