rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,4.09273e-08,-1.87364e-08,3.97898e-08,-0.756585,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.99943e-08,-2.53315e-08,-7.10787e-08,-1.55269,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-9.00036e-09,-5.61568e-09,-4.22583e-08,-0.459736,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-5.56174e-08,2.06501e-09,2.48618e-08,-0.430063,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,2.37924e-09,6.07622e-09,2.89359e-08,-0.451426,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-6.78483e-08,-1.88768e-08,6.10454e-09,-0.51291,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1.92231e-08,4.30782e-08,7.44406e-10,-0.738822,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-4.79704e-08,1.31523e-08,3.61356e-08,-0.389864,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-6.5862e-08,-6.20139e-09,-1.89188e-09,-0.652856,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-7.47968e-08,9.49899e-09,-6.23017e-09,-0.455913,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-1.11104e-08,2.11671e-08,3.25554e-09,-2.39036,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-2.92421e-08,2.57273e-09,-1.67534e-08,-0.000873318,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-6.25732e-09,1.50374e-09,-2.8752e-08,-2.23226,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,7.46732e-08,4.16594e-09,-4.36437e-09,1.99597,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,3.68673e-08,-5.35738e-09,-1.72902e-08,0.345605,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-1.88084e-08,2.11591e-08,-1.83847e-08,-0.382178,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,3.36368e-08,2.22035e-08,7.53222e-09,2.84207,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-1.58834e-08,1.03123e-08,2.19619e-08,-2.63277,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,2.75541e-08,2.03448e-08,2.86533e-08,-0.875357,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-7.57427e-09,-3.70824e-09,4.95146e-08,-1.77078,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,3.03407e-08,-5.22743e-09,-3.71793e-08,-5.62519,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-1.62254e-09,2.98758e-09,-9.33572e-09,-1.20068,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-3.99086e-08,-2.46105e-08,-2.19814e-08,-2.8672,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-4.70027e-08,8.49275e-09,-8.30615e-09,0.744738,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,3.50992e-08,2.16679e-08,-9.20485e-09,-3.2621,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,-4.53729e-08,-2.60961e-08,-1.17135e-08,1.50123,0,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,-1.1918e-08,-7.17034e-09,-2.35095e-08,0.510904,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,-4.08327e-08,-4.29476e-08,-3.1434e-09,-3.09997,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,-4.27754e-08,6.60054e-09,-2.24877e-09,-3.18525,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,4.99203e-08,1.04474e-08,8.9246e-09,0.235166,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,-3.4197e-10,-2.3066e-08,2.2334e-08,-4.77241,0,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,-9.14297e-08,-4.46289e-09,-2.69618e-08,-5.07412,0,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,-2.78596e-08,3.54747e-08,2.59198e-08,-2.57574,0,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,6.21585e-08,1.16474e-08,1.16422e-08,-2.45403,0,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,-2.8318e-08,1.29818e-08,-2.26829e-08,-1.36742,0,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,3.28e-08,1.46787e-08,-2.02268e-08,-2.07607,0,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,-6.69388e-10,-3.95179e-08,-1.48168e-08,2.7891,0,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,1.26674e-08,1.56482e-08,2.65407e-08,5.33312,0,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,-2.17406e-08,-2.12779e-08,-4.6861e-09,2.11552,0,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,8.19709e-08,-5.62761e-09,1.33391e-08,-5.62192,0,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,-3.73548e-08,-2.31573e-08,-5.49945e-08,-0.946897,0,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,-5.05242e-08,4.42492e-09,3.67892e-08,-0.132151,0,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,9.13496e-08,-2.62911e-08,-4.80219e-09,-2.25295,0,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,-4.58022e-08,2.70734e-09,-3.02444e-08,0.681347,0,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,-7.6252e-09,-4.97334e-09,-1.68003e-08,-1.90409,0,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,5.49335e-08,1.16452e-08,-3.55414e-08,-0.284976,0,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,-1.15469e-08,4.05688e-08,-1.98881e-08,-0.331315,0,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,-2.24172e-08,1.53458e-08,3.3209e-08,3.1602,0,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,-3.93848e-08,1.47678e-08,-3.52278e-09,1.38529,0,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,-4.55475e-09,-4.93105e-09,7.64215e-09,-2.45043,0,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,8.16435e-08,-1.28819e-08,-4.739e-09,-0.00970504,0,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,1.46247e-09,-1.51711e-08,5.04677e-09,2.41895,0,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,-2.59752e-09,-1.68419e-08,-1.33447e-08,-1.26579,0,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-1.18707e-07,-3.74246e-09,4.11759e-09,-1.3216,0,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,7.42366e-08,-1.89077e-08,8.5088e-09,-0.810147,0,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,-6.43704e-08,5.77347e-09,5.93318e-09,-1.23816,0,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,5.18849e-08,-3.10024e-10,8.468e-10,-2.11486,0,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-5.67306e-08,1.23305e-09,3.92966e-08,-1.89075,0,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,1.46829e-08,-8.52981e-09,-1.13303e-08,-2.36053,0,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,2.85436e-08,9.41941e-09,6.9039e-09,-2.05174,0,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,7.47241e-09,1.00588e-08,7.57096e-09,-1.33534,0,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,1.02154e-08,2.14823e-08,-1.94178e-08,-1.40284,0,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,-2.56841e-09,-6.11271e-09,-4.67991e-09,0.938765,0,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,3.08428e-08,-3.63528e-08,-2.43972e-08,-0.101195,0,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,-1.41517e-08,-3.89012e-08,-8.47799e-09,0.644438,0,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,2.1595e-08,-1.00007e-08,7.42556e-09,-1.07954,0,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,7.4142e-08,1.51396e-08,-2.89911e-08,0.296822,0,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,4.7381e-08,-1.88675e-09,2.33218e-08,-0.383629,0,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,1.9696e-08,-1.43972e-08,-3.6433e-09,-3.19669,0,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,-6.51999e-08,-1.15507e-08,3.11727e-08,0.582693,0,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,-5.56902e-08,-1.40708e-08,-1.70274e-08,-0.723979,0,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,8.51869e-08,8.5447e-10,2.23246e-08,-0.235203,0,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,-3.881e-08,2.31842e-09,2.05096e-08,-3.02033,0,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-3.09446e-08,-3.10899e-09,-1.01369e-08,-1.59296,0,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,-2.13768e-08,-3.86397e-08,-7.91612e-09,-2.56924,0,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,-3.18323e-08,-2.11301e-08,-3.34199e-08,1.73359,0,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,4.76794e-08,-6.00357e-09,1.1393e-08,0.883493,0,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,-1.52722e-08,6.06872e-09,4.63164e-09,1.36999,0,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,-6.67496e-08,1.1641e-08,-6.73258e-09,-0.0553415,0,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,7.55244e-09,8.24252e-09,5.58667e-08,-0.632307,0,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,-7.41493e-08,-2.14914e-09,-3.60745e-08,-0.475815,0,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,-2.67537e-08,6.70354e-09,2.24997e-08,0.587823,0,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,5.3049e-08,-1.35324e-08,4.85216e-09,-2.13865,0,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,-2.04964e-08,5.06293e-09,1.0642e-08,-2.92909,0,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,3.35931e-08,-6.14386e-09,2.47463e-08,-1.58504,0,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,9.54606e-09,-1.51148e-08,-1.57281e-08,-1.65737,0,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,9.15461e-08,1.11281e-08,1.35532e-08,0.178648,0,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,3.5252e-08,-3.74541e-09,8.69535e-10,-0.695787,0,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,2.93294e-08,-1.33432e-08,2.3605e-08,-2.51948,0,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,4.13202e-08,9.61336e-10,-2.88646e-10,-3.63202,0,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,-4.51473e-08,2.56051e-08,3.82829e-08,-1.93184,0,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,-9.97243e-08,-2.38374e-08,-9.05047e-10,0.989492,0,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,3.12066e-08,-1.71973e-08,2.66435e-08,0.188657,0,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,-3.25235e-09,-3.0717e-09,-1.47203e-08,-0.343903,0,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,-1.24201e-08,6.03723e-09,4.2148e-08,1.06986,0,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,8.08359e-09,9.02742e-09,-1.66084e-08,-0.920859,0,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,4.65734e-08,1.13863e-08,-3.9604e-08,-0.83767,0,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,7.83693e-08,-8.24809e-09,1.0986e-08,2.41671,0,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,2.54659e-10,5.83464e-09,6.73873e-08,1.39769,0,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,-8.73333e-08,-1.34186e-08,-6.75598e-09,0.891134,0,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,-8.49104e-08,-8.82028e-09,-8.35945e-09,1.0528,0,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,-2.39452e-08,4.39991e-09,5.33798e-09,-0.955009,0,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,5.4024e-08,-2.25962e-08,1.98656e-08,-2.92703,0,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,9.57225e-08,1.82753e-08,2.29473e-08,-2.76097,0,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,1.2602e-07,1.63052e-08,-1.60424e-08,-2.73306,0,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,6.69388e-10,1.24867e-08,-5.34343e-09,-2.83885,0,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,3.00643e-08,2.10495e-08,1.73418e-08,-2.45659,0,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,-8.25385e-08,2.02816e-08,1.08043e-08,-2.93738,0,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,-5.09681e-08,-1.94784e-08,-1.60206e-08,-3.6901,0,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,1.31258e-08,-1.7349e-08,7.54511e-08,-3.19927,0,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,1.64437e-09,-3.81579e-09,-4.42802e-08,-3.0468,0,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,-7.14572e-08,-8.80073e-09,-1.17666e-08,-2.94923,0,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,2.24463e-08,-1.09649e-08,1.27738e-09,-2.95013,0,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,1.18816e-08,-3.78714e-09,-4.86289e-10,-3.43479,0,True,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,2.72921e-08,-3.23473e-09,1.37512e-08,-1.01517,0,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,-3.13667e-08,5.81758e-09,2.43265e-08,0.15876,0,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,1.27548e-08,-3.35608e-08,-6.72875e-09,1.30837,0,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,-1.34096e-08,-1.7009e-08,2.18439e-08,1.77127,0,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,-7.34144e-08,-1.28813e-08,-3.42439e-08,4.01098,0,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,-3.4408e-08,-1.32196e-08,-1.68481e-08,1.15227,0,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,6.45741e-08,1.88451e-08,-5.90268e-08,-0.31407,0,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,-2.39816e-08,1.24254e-08,3.64676e-09,-0.925169,0,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,-3.98213e-08,2.50593e-08,-3.04748e-08,-1.99044,0,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,5.13464e-08,-2.34041e-08,-2.48283e-08,0.0310675,0,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,-2.22935e-08,1.11247e-08,8.62842e-09,-0.613804,0,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,-4.82833e-08,1.03569e-08,-2.38715e-08,-1.38818,0,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,-5.12591e-08,1.1521e-09,-2.14633e-10,-0.659405,0,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,-9.20409e-09,4.82828e-09,-1.64069e-08,-1.01991,0,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,-7.66158e-09,1.73269e-08,-2.14996e-08,0.283639,0,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,-8.21456e-09,-2.032e-08,2.25406e-08,1.5196,0,False,69.0|103,1197
