id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-3.96643e-09,0,0.012029,-2.30462e-08,-5.54616,0,0,0,0.0111465,-7.34087e-11,-6.1233,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.28508e-09,0,0.0336826,4.16019e-08,-6.38415,0,0,0,-0.000479546,3.73659e-12,-7.24755,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,3.32097e-09,0,0.0171889,2.71901e-11,-1.55741,0,0,0,-6.50179e-05,9.5135e-13,-2.90631,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-4.8535e-10,0,-0.0437149,-1.69978e-08,-0.34858,0,0,0,-5.30601e-05,9.4369e-13,-1.926,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-3.80939e-09,0,0.02162,-3.72309e-09,-6.41363,0,0,0,-0.000420091,3.32848e-12,-6.84212,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,7.36897e-09,0,0.00192658,1.24406e-08,-6.12595,0,0,0,0.00179718,1.8294e-12,-6.76891,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-4.10626e-10,0,0.00582128,9.68898e-09,-0.723299,0,0,0,-0.00369022,2.89255e-11,-2.36698,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,9.04838e-11,0,0.0104733,7.28465e-09,-1.37186,0,0,0,0.00521167,2.39975e-11,-2.63371,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-5.65313e-10,0,-0.0282233,-3.05607e-08,-8.83031,0,0,0,-0.000704697,4.3591e-12,-9.23849,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,1.0205e-09,0,-0.0268882,-2.47876e-08,-6.33858,0,0,0,-0.000463719,3.69421e-12,-7.13939,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,2.74295e-09,0,-0.0066172,2.37157e-08,-0.57026,0,0,0,-0.0110454,-5.95302e-12,-0.00790959,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,7.97707e-10,0,-0.0652236,-2.52088e-08,-0.494206,0,0,0,-7.82353e-09,2.66454e-14,8.69991e-08,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,4.5045e-09,0,-0.0644917,1.3276e-08,0.233989,0,0,0,5.12618e-08,-3.63598e-15,-1.82225e-08,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,2.46495e-09,0,0.0112655,2.32685e-08,-0.423872,0,0,0,-3.62136e-08,1.19349e-15,-2.91437e-07,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,2.74096e-09,0,-0.00934556,-4.12715e-09,-0.0944355,0,0,0,1.10879e-08,-4.08007e-15,-6.08937e-07,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,4.24734e-09,0,0.062649,2.92084e-08,0.057604,0,0,0,1.35732e-08,8.52096e-15,2.61082e-07,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-1.69074e-09,0,-0.0367499,1.59146e-08,0.0296858,0,0,0,2.71642e-05,1.1835e-11,0.0295326,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-1.54691e-09,0,0.0183524,2.37753e-08,0.0361493,0,0,0,0.000631826,-8.00213e-12,0.0562601,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,2.97002e-09,0,-0.0110071,7.94523e-09,0.303422,0,0,0,-8.63437e-09,-1.36557e-14,3.10924e-07,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-5.3634e-10,0,0.0107217,3.5154e-08,0.0834636,0,0,0,-0.00155935,7.80445e-12,0.0507692,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-2.7419e-09,0,0.0025508,2.01259e-08,0.102074,0,0,0,0.00373553,6.697e-12,0.00414683,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,3.61004e-10,0,-0.0295046,1.49293e-08,-0.219239,0,0,0,-6.06839e-08,-9.35363e-15,9.37122e-08,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,1.04686e-10,0,-0.0231346,7.1223e-09,-0.055465,0,0,0,3.12873e-08,1.10745e-14,-1.93822e-07,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,1.67472e-09,0,0.0469847,-8.38633e-09,0.0216727,0,0,0,3.97059e-05,-5.36018e-12,0.0295155,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,1.89399e-09,0,0.0963885,3.08624e-09,0.150865,0,0,0,2.39168e-08,-1.40443e-14,2.19017e-07,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,4.48558e-09,0,0.0148827,-1.20417e-08,-0.0861928,0,0,0,-0.000778115,-3.15493e-11,-0.0679731,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,-5.50936e-11,0,-0.00216414,-7.70989e-09,-8.59788,0,0,0,-0.00209715,-8.34913e-12,-9.06399,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,3.47849e-09,0,0.0378666,2.26191e-08,-7.98941,0,0,0,0.000364491,2.38844e-11,-8.43396,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,1.16463e-09,0,0.0752991,1.38076e-08,-7.98642,0,0,0,0.000378586,2.13218e-11,-8.48006,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,-3.69585e-09,0,0.0094463,-4.45069e-08,-7.70782,0,0,0,0.00909852,-5.83375e-12,-8.39984,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,-3.30372e-10,0,0.0435698,2.01459e-09,-8.56963,0,0,0,0.000284171,1.67494e-12,-8.9874,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,4.10223e-09,0,-0.00714108,8.30895e-09,-8.12016,0,0,0,-0.00701048,4.68586e-12,-8.46675,0,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,3.45052e-09,0,0.0282214,3.22571e-08,-15.5212,0,-7.27596e-12,0,-0.00157862,6.02812e-12,-15.9307,0,True,6.0|233,705
