id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,52967,768.839,1.06552,0.159,1.05728,0.191372,52967,768.839,0.999775,0.159,0.0131189,0.172299,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,52967,768.839,1.21454,0.159,4.06581,0.191372,52967,768.839,0.999732,0.159,0.00747656,0.172299,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,52967,768.839,1.21768,0.159,81.6739,0.191372,52967,768.839,0.999998,0.159,0.125133,0.172299,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,52967,768.839,1.53932,0.159,34128,0.191372,52967,768.839,0.999959,0.159,0.363152,0.172299,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,52967,768.839,1.33549,0.159,0.466041,0.191372,52967,768.839,0.999739,0.159,0.00692411,0.172299,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,52967,768.839,1.16291,0.159,7.83896,0.191372,52967,768.839,0.999745,0.159,0.00814102,0.172299,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,52967,768.839,1.16829,0.159,409.416,0.191372,52967,768.839,0.999929,0.159,0.19333,0.172299,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,52967,768.839,1.21306,0.159,3759.26,0.191372,52967,768.839,0.999754,0.159,0.204994,0.172299,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,52967,768.839,1.29372,0.159,0.266916,0.191372,52967,768.839,0.989233,0.159,0.00346166,0.172299,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,52967,768.839,1.22745,0.159,0.109087,0.191372,52967,768.839,0.999741,0.159,0.00803904,0.172299,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,52967,766.078,1.41259,0.159,802759,0.191372,52967,766.078,1,0.159,1,0.172299,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,52967,766.078,1.38961,0.159,1.24506e+08,0.191372,52967,766.078,1,0.159,0.999995,0.172299,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,52967,766.078,1.32524,0.159,4.35455e+06,0.191372,52967,766.078,0.993752,0.159,1.21313,0.172299,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,52967,766.078,1.38196,0.159,99218.3,0.191372,52967,766.078,1,0.159,1,0.172299,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,52967,766.078,1.17837,0.159,204452,0.191372,52967,766.078,0.996556,0.159,0.625008,0.172299,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,52967,766.078,1.5734,0.159,58776.9,0.191372,52967,766.078,0.999991,0.159,0.999974,0.172299,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,52967,766.078,1.31161,0.159,587575,0.191372,52967,766.078,0.999909,0.159,0.961828,0.172299,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,52967,766.078,1.35295,0.159,49143.7,0.191372,52967,766.078,1.0201,0.159,0.986967,0.172299,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,52967,766.078,1.37203,0.159,118979,0.191372,52967,766.078,0.977099,0.159,0.912036,0.172299,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,52967,766.078,1.21999,0.159,232971,0.191372,52967,766.078,0.992777,0.159,1.37943,0.172299,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,52967,766.078,1.59715,0.159,290651,0.191372,52967,766.078,1.00037,0.159,0.898558,0.172299,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,52967,766.078,1.38873,0.159,90722.5,0.191372,52967,766.078,1,0.159,1,0.172299,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,52967,766.078,1.24184,0.159,499573,0.191372,52967,766.078,1.00034,0.159,1.00041,0.172299,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,52967,766.078,1.53501,0.159,17908.5,0.191372,52967,766.078,1,0.159,0.999999,0.172299,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,52967,766.078,1.52148,0.159,1.14453e+07,0.191372,52967,766.078,1,0.159,1,0.172299,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,52967,766.078,1.27951,0.159,373709,0.191372,52967,766.078,1,0.159,1,0.172299,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,52967,767.538,1.18504,0.159,0.00781282,1.81321,52967,767.538,1.00012,0.159,0.000372129,1.81039,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,52967,767.538,1.39851,0.159,0.179553,1.81321,52967,767.538,1.00014,0.159,0.000823151,1.81039,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,52967,767.538,1.20218,0.159,0.00414389,1.81321,52967,767.538,0.999944,0.159,0.000761667,1.81039,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,52967,767.538,1.49408,0.159,0.466398,1.81321,52967,767.538,1.00023,0.159,0.000829054,1.81039,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,52967,767.538,1.29281,0.159,0.00591964,1.81321,52967,767.538,1.00182,0.159,0.000341373,1.81039,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,52967,767.538,1.2894,0.159,0.0133326,1.81321,52967,767.538,1.00022,0.159,0.000754861,1.81039,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,52967,767.538,1.21791,0.159,7.73081e-06,1.81321,52967,767.538,0.998744,0.159,2.19363e-07,1.81039,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,52967,767.538,1.18775,0.159,9.51834e-07,1.81321,52967,767.538,0.998678,0.159,2.24072e-07,1.81039,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,52967,767.538,1.19503,0.159,3.70097e-05,1.81321,52967,767.538,0.999277,0.159,2.31803e-06,1.81039,True,6.0|233,705
