rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-7.65358e-08,4.04616e-08,-0.88671,1.7824e-07,-1.59798,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.43897e-07,-6.29669e-08,-0.0156873,-2.84101e-07,-4.89798,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,4.22151e-08,-7.62429e-09,0.0705989,-2.24906e-07,1.99589,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-2.8027e-08,-6.62847e-08,0.334978,-3.82887e-08,-3.9007,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-1.83136e-08,-1.70969e-08,-0.598739,3.46079e-07,-5.72777,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-6.52653e-09,5.48699e-08,1.02152,-6.72139e-07,-7.30096,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-1.39917e-08,3.69434e-08,0.139557,4.01323e-07,-4.99476,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,2.27665e-08,-1.13929e-07,1.26258,2.79461e-08,-2.64832,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.33514e-08,-5.56508e-09,1.798,3.54308e-07,-6.04125,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-2.19734e-08,-4.62308e-09,0.281965,1.12318e-07,-6.27453,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-7.93661e-08,-3.25008e-09,-0.148642,3.08214e-07,-5.83564,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,4.24552e-08,-7.57553e-08,-0.455745,1.02977e-06,8.25296,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,2.74667e-08,-5.64731e-08,0.635923,-7.18318e-07,0.7096,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-3.27418e-10,-6.8461e-08,0.422691,-1.14738e-07,8.4587,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,7.46295e-08,2.344e-09,-1.36421,1.99017e-07,-3.10402,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,1.99361e-09,-3.47924e-08,0.961161,-3.8798e-07,0.00446987,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,6.77828e-08,-4.37684e-08,0.298994,4.69123e-07,-4.80371,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-5.36602e-08,1.26571e-08,-1.32125,1.91963e-07,2.2735,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.62327e-08,6.5791e-08,1.67456,1.25211e-07,6.57142,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-4.65661e-09,8.79311e-09,-0.123999,3.49231e-07,-0.582118,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,4.00105e-08,-5.44601e-08,-0.230186,-2.58196e-08,-11.0388,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-7.46004e-08,6.36589e-08,0.442879,8.61086e-08,12.883,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,6.17656e-08,4.24932e-08,1.12042,-1.42759e-07,-5.85758,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,1.50758e-08,-1.16994e-08,-0.685094,-7.4251e-08,2.03486,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.05698e-07,-1.70977e-08,-0.134616,2.59034e-08,-3.87049,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,-4.55257e-08,-2.38664e-08,-0.125051,7.53967e-07,1.45555,0,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,1.35282e-07,-2.53042e-08,0.935331,-1.17055e-06,-6.36365,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,-4.23024e-08,-4.28607e-08,-0.191873,5.79063e-07,-10.0229,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,4.17931e-08,2.09156e-08,0.104645,4.78667e-08,-4.03121,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,3.96976e-08,5.98172e-08,-0.0483654,3.60247e-07,-7.3258,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,5.44533e-08,-2.7106e-08,0.919738,-3.39048e-10,-8.85237,0,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,6.49161e-08,-3.78609e-08,0.526037,-3.10069e-08,-7.59575,0,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,5.02623e-08,-2.43747e-08,-0.346983,5.36315e-07,-17.2024,0,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,1.20272e-08,-3.49251e-08,0.235497,3.32139e-07,-15.9432,0,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,1.03362e-07,-1.97062e-08,0.364052,-8.57232e-07,-12.8076,0,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,4.19823e-09,-2.31871e-08,0.255002,-1.93097e-07,-15.6885,0,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,-3.21597e-09,-2.94992e-08,1.16493,1.31258e-07,6.07507,0,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,-6.90488e-08,-3.82631e-08,0.890683,7.32743e-08,-2.47028,0,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,1.05501e-08,-2.24035e-08,-0.0637737,-8.51276e-07,-10.3542,0,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,4.23461e-08,-1.52259e-08,0.00635992,-2.61839e-07,10.3324,0,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,8.34916e-08,-3.10506e-08,0.164338,-3.18485e-07,-3.43619,0,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,2.12967e-08,-3.64953e-08,-0.395569,-1.89894e-07,-1.27202,0,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,-1.218e-08,1.13777e-08,-2.02585,-3.08058e-07,-3.80255,0,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,4.5904e-08,1.31739e-08,0.540852,6.09247e-07,-15.0951,0,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,-6.67496e-08,-3.67345e-09,0.67419,1.20302e-07,5.91815,0,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,6.14164e-08,7.88621e-08,-1.5425,1.75819e-07,0.40689,0,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,-5.17321e-09,-1.55746e-08,1.01669,-4.94231e-07,-3.96319,0,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,-1.98634e-09,4.32406e-08,-0.121925,5.70343e-08,-7.75488,0,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,-1.82627e-09,3.33989e-08,0.806655,1.53945e-07,-8.48618,0,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,-1.83281e-08,-1.76965e-08,0.902914,2.41376e-07,-14.0641,0,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,6.81976e-08,-2.17988e-08,-0.234378,-2.21669e-07,1.82046,0,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,-2.06201e-08,-2.58356e-08,0.644244,1.55303e-08,1.03158,0,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,-7.12316e-08,-6.87269e-08,0.808711,3.85156e-07,3.38151,0,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,3.90137e-08,1.41529e-09,0.295934,-6.2103e-09,5.87884,0,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,6.94054e-08,1.21568e-08,0.983485,-6.54392e-08,-0.696881,0,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,-4.46817e-08,1.70261e-08,0.918714,-4.17968e-07,3.85854,0,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,3.98068e-08,-1.05335e-08,-0.467849,-7.50716e-07,-5.24822,0,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,1.1838e-08,-7.54188e-08,-0.457116,-4.13866e-07,-0.133291,0,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,-3.76749e-08,7.63341e-08,-0.315165,-1.18598e-07,0.638217,0,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,7.99409e-08,-3.61865e-10,-0.628361,1.10021e-07,-3.15235,0,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,8.02684e-08,-2.22539e-08,-0.0678796,5.77584e-07,-3.44164,0,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,1.04264e-08,-4.54413e-08,-0.0184819,-2.4962e-07,-0.44464,0,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,2.88128e-09,-5.66467e-09,-0.464531,2.28655e-07,6.67251,0,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,-2.80779e-08,3.07912e-08,0.345734,3.41185e-08,3.0775,0,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,4.29063e-08,-8.0365e-08,0.668717,-7.06796e-07,-2.67765,0,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,9.04402e-09,-2.89306e-08,-1.44391,-9.35827e-07,3.9379,0,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,-1.44792e-08,5.71504e-08,-0.449541,3.03735e-07,1.10818,0,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,9.48785e-08,-2.882e-08,-0.0822694,-8.15496e-07,1.22475,0,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-7.07223e-09,-1.03234e-08,-1.06234,8.72747e-08,-10.0449,0,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,5.21686e-08,1.00673e-08,-0.629259,7.27154e-07,-3.27081,0,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,-5.7822e-08,6.17555e-08,-0.994851,-2.20917e-07,4.15043,0,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,-3.92902e-10,4.49124e-08,0.112608,-1.80652e-07,-16.2499,0,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,-2.34868e-08,-9.41737e-08,-0.719408,5.34391e-07,2.88719,0,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,2.6339e-09,1.54796e-09,-0.497575,1.0161e-06,-5.25141,0,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,2.14059e-08,9.29413e-09,0.645245,1.09555e-07,-1.10886,0,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,5.927e-08,-4.34818e-09,1.222,-2.42862e-07,2.72258,0,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,1.74623e-10,-5.26541e-09,2.28443,-1.93547e-06,-4.88823,0,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,2.72194e-08,6.28643e-09,-0.743857,1.65595e-07,4.60657,0,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,1.23182e-08,7.20195e-09,0.695857,-1.41792e-07,2.30095,0,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,-2.57642e-08,5.6002e-08,0.736808,-6.01949e-07,13.643,0,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,5.4999e-08,3.97886e-08,0.289685,-5.36561e-07,9.05771,0,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,-9.01055e-08,-1.8124e-08,0.382345,8.77594e-07,10.9895,0,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,1.82481e-08,-9.49332e-08,0.00310419,-6.13899e-07,-0.516073,0,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,6.07324e-08,1.09387e-07,-1.03789,5.42679e-07,-2.32765,0,True,28.0|292,1159
