rep,id,U,L,L_gap,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,52966.2,517.632,0.862367,1.5517,0.700107,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,52966.2,517.632,0.671049,1.5517,0.373435,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,52966.2,517.632,1.18822,1.5517,0.438052,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,52966.2,517.632,0.896921,1.5517,0.682478,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,52966.2,517.632,1.34491,1.5517,0.372239,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,52966.2,517.632,1.99876,1.5517,0.607481,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,52966.2,517.632,0.637531,1.5517,0.69548,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,52966.2,517.632,0.705264,1.5517,0.814295,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,52966.2,517.632,1.50414,1.5517,0.597038,-0.674028,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,52966.2,517.632,2.65396,1.5517,0.438629,-0.674028,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,52966.2,517.632,1.73638,-0.397621,0.0363947,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,52966.2,517.632,1.00228,-0.397621,0.315337,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,52966.2,517.632,0.519923,-0.397621,0.223335,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,52966.2,517.632,1.59941,-0.397621,0.384275,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,52966.2,517.632,0.464001,-0.397621,142.164,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,52966.2,517.632,0.89857,-0.397621,0.100874,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,52966.2,517.632,1.34662,-0.397621,58.0678,-0.674028,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,52966.2,517.632,0.7057,-0.397621,0.781827,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,52966.2,517.632,0.614549,-0.397621,550.269,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,52966.2,517.632,1.33593,-0.397621,0.900187,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,52966.2,517.632,0.48946,-0.397621,0.222454,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,52966.2,517.632,3.01851,-0.397621,2.41897,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,52966.2,517.632,2.32843,-0.397621,2.63765,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,52966.2,517.632,0.532936,-0.397621,64.1324,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,52966.2,517.632,0.766901,-0.397621,0.0153682,-0.674028,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,52966.2,517.632,1.39761,-0.397621,0.976879,-0.674028,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,52965.1,517.632,0.79449,0.129707,0.00183082,1.42372,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,52965.1,517.632,0.627199,0.129707,0.00872133,1.42372,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,52965.1,517.632,0.467268,0.129707,0.000279512,1.42372,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,52965.1,517.632,0.384677,0.129707,0.0101923,1.42372,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,52965.1,517.632,0.758298,0.129707,0.000136461,1.42372,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,52965.1,517.632,0.859308,0.129707,0.000335503,1.42372,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,52964.7,517.632,1.04348,2.23335,0.0737784,1.42372,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,52964.7,517.632,0.994456,2.23335,0.0846536,1.42372,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,52964.7,517.632,0.856305,2.23335,0.195485,1.42372,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,52964.7,517.632,0.289948,2.23335,0.15103,1.42372,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,52964.8,517.632,2.61061,1.29276,0.390691,1.42372,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,52964.8,517.632,1.2147,1.29276,2.51584,1.42372,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,52964.8,517.632,0.612029,1.29276,0.474999,1.42372,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,52964.8,517.632,0.660483,1.29276,0.0377243,1.42372,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,52964.8,517.632,0.954171,1.29276,0.126361,1.42372,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,52964.8,517.632,1.28703,1.29276,0.648519,1.42372,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,52964.8,517.632,0.758289,1.29276,1.51561,1.42372,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,52964.8,517.632,1.7358,1.29276,0.0822762,1.42372,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,52964.8,517.632,1.03235,1.29276,0.0131888,1.42372,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,52964.8,517.632,0.803768,1.29276,356.538,1.42372,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,52964.8,517.632,0.815564,1.29276,0.447286,1.42372,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,52964.8,517.632,1.33282,1.29276,15.0604,1.42372,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,52964.8,517.632,0.248563,1.29276,0.0206101,1.42372,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,52964.8,517.632,1.20543,1.29276,0.091122,1.42372,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,52964.8,517.632,2.18184,1.29276,0.0533653,1.42372,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,52964.8,517.632,0.542516,1.29276,0.18754,1.42372,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,52966.7,313.714,0.698398,1.19772,0.523706,-2.34602,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,52966.7,313.714,3.43896,1.19772,0.371889,-2.34602,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,52966.7,313.714,1.06304,1.19772,0.329664,-2.34602,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,52966.7,313.714,2.30731,1.19772,0.316306,-2.34602,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,52966.5,313.714,2.36076,1.22974,0.0475097,-2.34602,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,52966.5,313.714,1.01663,1.22974,0.090248,-2.34602,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,52966.5,313.714,2.86304,1.22974,0.186885,-2.34602,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,52966.5,313.714,0.511415,1.22974,0.128455,-2.34602,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,52966.6,313.714,1.06735,1.17448,0.30779,-2.34602,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,52966.6,313.714,1.07346,1.17448,0.39694,-2.34602,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,52966.7,313.714,1.32585,0.752566,0.114784,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,52966.7,313.714,1.37227,0.752566,0.344998,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,52966.7,313.714,2.02911,0.752566,0.211371,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,52966.7,313.714,0.530785,0.752566,0.470275,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,52966.7,313.714,1.22031,0.752566,6.51694,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,52966.7,313.714,3.83387,0.752566,1956.03,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,52966.7,313.714,1.62714,0.752566,263.072,-2.34602,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,52966.7,313.714,1.08036,0.752566,0.104187,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,52966.7,313.714,0.941906,0.752566,0.00293243,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,52966.7,313.714,1.46863,0.752566,0.796692,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,52966.7,313.714,0.647882,0.752566,1.15169,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,52966.7,313.714,0.82928,0.752566,102.812,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,52966.7,313.714,1.14966,0.752566,0.0589521,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,52966.7,313.714,0.584617,0.752566,13.1286,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,52966.7,313.714,0.910803,0.752566,18.43,-2.34602,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,52966.7,313.714,1.08437,0.752566,0.000922963,-2.34602,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,52966.9,517.632,0.80032,2.15,0.807343,-2.34566,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,52966.9,517.632,0.958082,2.15,0.693018,-2.34566,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,52966.9,517.632,0.441648,2.15,0.468663,-2.34566,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,52966.9,517.632,0.963914,2.15,0.588341,-2.34566,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,52966.8,517.632,0.657121,2.21298,0.0789051,-2.34566,True,28.0|292,1159
