id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mean,eta_L_mean,eta_L_gap_mean,eta_h_mean,eta_f_mean,eta_alpha_mean,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_U_sd,eta_L_sd,eta_L_gap_sd,eta_h_sd,eta_f_sd,eta_alpha_sd,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,7.38015e-10,2.60908e-09,-4.82736e-09,-6.72301e-10,-2.06929,0,1.11022e-09,-2.68587e-09,1.12013e-09,-6.49299e-10,-2.11671,0,0,-1.81899e-12,-6.79456e-14,-5.06262e-14,-2.13201,0,4.68199e-08,3.75987e-08,2.9451e-08,4.13686e-08,0.325158,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.45691e-09,-4.1087e-10,2.61079e-09,9.82903e-10,-2.286,0,-5.63749e-10,-1.06438e-09,-7.27589e-10,-1.73892e-09,-2.35503,0,0,1.81899e-12,2.01505e-14,1.11022e-13,-2.41403,0,4.48344e-08,3.84434e-08,2.99056e-08,4.07652e-08,0.305394,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,2.5054e-09,-1.11552e-09,-2.73947e-09,4.64432e-10,-2.37936,0,-4.77061e-10,-1.99432e-09,-1.05337e-09,5.57042e-10,-2.38815,0,0,0,1.14686e-13,-2.13651e-12,-2.42717,0,4.68099e-08,4.01621e-08,3.01042e-08,4.14308e-08,0.416232,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-4.3927e-09,4.11464e-09,3.22623e-09,6.52414e-09,-2.30154,0,1.01872e-09,1.4131e-09,1.85325e-10,-2.19906e-10,-2.33037,0,0,-1.81899e-12,1.92069e-14,-1.19904e-14,-2.34082,0,4.76239e-08,3.83605e-08,2.8396e-08,4.30892e-08,0.397165,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-3.17156e-09,7.11123e-10,3.06174e-09,4.76201e-09,-2.27887,0,1.64394e-09,1.12815e-09,-5.22046e-10,-1.003e-09,-2.35648,0,0,0,-1.30407e-12,-5.52669e-13,-2.38029,0,4.51723e-08,3.84595e-08,2.95612e-08,4.03409e-08,0.329194,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-3.68396e-09,-3.95121e-09,-1.53892e-09,-8.39131e-10,-2.32245,0,-7.63293e-10,-1.48551e-09,-5.04223e-10,5.68205e-10,-2.34252,0,0,0,2.12608e-14,5.01821e-14,-2.39028,0,4.69527e-08,3.9761e-08,2.89767e-08,4.26795e-08,0.295826,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-1.45473e-09,1.65276e-09,-2.79358e-10,6.22021e-09,-2.2352,0,-2.30239e-10,3.41543e-10,-1.6289e-09,-2.38463e-10,-2.31574,0,-2.91038e-11,0,-1.18794e-14,-4.24105e-14,-2.33411,0,4.70439e-08,3.8347e-08,2.94107e-08,4.08023e-08,0.33879,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-1.49658e-09,3.00814e-10,1.72712e-09,-3.41714e-09,-2.23626,0,-1.08247e-09,7.92108e-10,2.17518e-10,-2.87089e-10,-2.15609,0,0,5.45697e-12,-1.35447e-14,-1.90958e-14,-2.2264,0,4.63941e-08,3.75829e-08,2.9722e-08,4.20777e-08,0.39907,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-1.98919e-09,4.664e-10,1.18759e-09,-9.71141e-09,-1.42311,0,-1.0074e-09,6.34169e-10,-4.03122e-10,6.96149e-11,-1.44746,0,0,0,-5.46341e-13,-3.54383e-13,-1.46978,0,4.36418e-08,3.86366e-08,2.91996e-08,4.02281e-08,0.321142,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-2.02641e-09,-1.90789e-09,7.95667e-09,-8.89093e-11,-2.08928,0,-5.81075e-10,1.32277e-09,1.83339e-09,-2.04197e-09,-2.04658,0,0,1.81899e-12,-4.25771e-14,-1.03251e-13,-2.09093,0,4.5507e-08,3.95017e-08,2.87369e-08,4.09514e-08,0.35012,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,4.51668e-09,3.47286e-09,1.98614e-11,1.03902e-09,-1.32142,0,1.40636e-09,3.05453e-10,-7.93613e-10,2.58303e-10,-0.228244,0,-1.45519e-11,1.81899e-11,1.32117e-12,-2.41618e-12,-0.231368,0,4.71938e-08,3.80457e-08,2.92835e-08,4.08796e-08,18.7301,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-1.15987e-09,-1.02145e-09,1.27782e-09,-5.95549e-10,-0.298054,0,-1.03256e-09,5.68328e-11,-3.6258e-10,4.02388e-10,0.273721,0,-1.45519e-11,-7.27596e-12,-2.56373e-12,-5.19051e-12,0.279018,0,4.6707e-08,3.74164e-08,3.06072e-08,4.11469e-08,18.2702,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,1.03904e-09,-7.61986e-10,7.26174e-11,1.30018e-09,0.326866,0,-1.15707e-09,1.51369e-10,-9.81957e-10,-1.17073e-09,-0.686373,0,-2.91038e-11,-1.23691e-10,-5.46154e-11,2.86221e-11,-0.674289,0,4.65131e-08,3.81694e-08,3.02746e-08,4.21719e-08,18.5147,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,3.10861e-09,-1.55654e-09,-2.62445e-10,-3.32193e-10,1.03265,0,-9.82856e-11,1.35562e-10,3.97686e-10,8.03971e-10,0.125664,0,-1.45519e-11,1.09139e-11,-1.84075e-12,-4.84146e-12,0.128412,0,4.76452e-08,3.82005e-08,2.99847e-08,4.3041e-08,18.9367,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,2.81434e-11,8.9399e-10,-2.55057e-09,1.81232e-09,0.341191,0,8.83958e-10,-1.17385e-09,-2.14825e-10,-1.4534e-11,0.136947,0,0,0,-1.77636e-15,9.99201e-16,9.35685e-07,0,4.6867e-08,3.78997e-08,3.01428e-08,4.04563e-08,18.3169,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-2.88966e-09,6.70698e-10,4.0374e-10,2.67554e-09,0.288575,0,-1.10724e-09,1.72549e-10,7.13418e-10,1.84065e-10,-0.101883,0,0,0,-8.88178e-16,1.44329e-15,8.38728e-07,0,4.63318e-08,3.82507e-08,2.95276e-08,4.19759e-08,18.2547,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-1.54995e-09,1.04258e-09,-1.23396e-09,-2.14508e-09,-0.235647,0,-1.22025e-10,-3.51782e-10,8.22836e-10,-2.8217e-10,0.219162,0,0,0,1.77636e-15,5.55112e-16,7.80465e-08,0,4.57893e-08,3.8047e-08,2.9602e-08,4.06815e-08,18.7471,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-2.56987e-10,-2.69056e-09,1.73163e-09,2.18864e-09,0.550725,0,-3.76211e-10,6.48808e-10,6.06119e-10,5.67124e-10,0.778882,0,0,0,0,-8.88178e-16,-1.26522e-06,0,4.60536e-08,3.90101e-08,2.9189e-08,4.17591e-08,18.4774,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,-4.22151e-10,-5.19536e-10,-1.60784e-09,-2.19715e-09,0.620286,0,-1.01712e-09,-2.37475e-09,2.83599e-10,-8.25343e-10,0.0708161,0,-1.45519e-11,0,5.69766e-13,1.53894e-12,0.0722893,0,4.71745e-08,3.84335e-08,2.90241e-08,4.0787e-08,19.0052,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-5.47152e-10,-1.39117e-09,-9.47194e-11,-1.66057e-10,0.17663,0,-1.2057e-10,-7.9947e-11,-1.15329e-09,7.5386e-10,-0.798853,0,0,0,1.77636e-15,-2.10942e-15,-1.99849e-07,0,4.60596e-08,3.96331e-08,2.93306e-08,4.215e-08,18.5688,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,1.75554e-10,7.66926e-10,1.72511e-09,7.76726e-10,-0.604555,0,5.8111e-10,8.10512e-10,6.74399e-10,-3.91322e-10,-0.537587,0,2.91038e-11,0,-1.33227e-15,0,-2.28445e-07,0,4.57161e-08,3.84707e-08,2.9683e-08,4.36243e-08,18.5194,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,-2.35744e-09,-1.26344e-09,-8.32553e-11,1.81822e-09,-0.543883,0,1.18482e-09,-8.31148e-10,-2.28912e-10,-6.25483e-10,0.314519,0,0,0,8.88178e-16,2.05391e-15,1.75603e-06,0,4.57386e-08,3.89355e-08,2.92507e-08,4.11269e-08,18.9847,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-3.47424e-09,-4.19687e-09,-2.71514e-09,-1.99741e-09,1.04849,0,-8.0213e-10,9.13071e-12,4.02852e-10,-7.03031e-10,0.362069,0,2.91038e-11,-3.63798e-12,-1.998e-11,-1.60721e-11,0.365031,0,4.80597e-08,3.81401e-08,3.00502e-08,4.06731e-08,18.7923,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-4.88944e-11,1.03768e-09,-9.76242e-10,-1.29701e-09,-0.613899,0,-2.90234e-10,-1.58298e-10,6.0736e-10,2.70447e-10,-0.0912917,0,0,0,-1.77636e-15,2.22045e-15,-2.13402e-07,0,4.67535e-08,3.71058e-08,2.94591e-08,4.03838e-08,18.8316,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,5.91477e-10,2.01145e-09,-8.30734e-10,1.37161e-09,1.01638,0,1.76045e-09,-3.03148e-10,-3.48514e-10,-1.25058e-10,-0.722696,0,-2.91038e-11,0,-2.56239e-12,-1.50946e-12,0.000798696,0,4.64569e-08,3.88277e-08,2.94784e-08,4.11864e-08,18.6545,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,1.28601e-09,-1.92396e-09,1.71908e-09,9.65683e-10,0.158225,0,-1.56144e-10,-1.02877e-10,-5.33943e-10,5.48019e-10,-0.436693,0,0,0,0,2.9976e-15,3.72809e-07,0,4.65349e-08,3.77157e-08,2.99234e-08,4.10951e-08,18.7923,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,-3.32066e-09,2.19248e-09,1.13173e-09,6.34324e-09,-48.6926,0,4.45978e-10,9.2256e-10,6.0203e-10,-2.09176e-10,-47.7382,0,2.91038e-11,-3.63798e-12,-9.76996e-15,1.45467e-13,-45.6842,0,4.65295e-08,3.77293e-08,3.00219e-08,4.03659e-08,8.02442,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,3.55783e-09,1.13405e-09,5.17373e-09,-5.71625e-09,-49.3485,0,1.59441e-09,-1.27663e-09,5.1483e-10,-1.78499e-09,-49.6109,0,0,0,-1.15463e-14,1.60011e-13,-47.4264,0,4.58821e-08,3.79571e-08,2.96062e-08,4.12858e-08,8.4963,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,-1.45752e-10,3.55124e-09,-4.85401e-10,1.82959e-09,-50.0875,0,1.18399e-09,-2.97863e-10,5.11601e-10,-5.35573e-10,-50.3467,0,0,0,-7.10543e-15,1.61551e-13,-48.0804,0,4.56394e-08,3.81003e-08,3.03359e-08,4.16464e-08,8.61463,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,2.72886e-09,1.6405e-09,-2.78378e-10,-4.2775e-09,-50.8978,0,-1.39993e-09,2.41729e-10,1.06828e-10,-2.02761e-10,-50.7341,0,0,0,-1.15463e-14,1.7128e-13,-48.2633,0,4.72865e-08,3.94327e-08,2.98655e-08,4.09508e-08,8.69024,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,-5.6492e-09,2.05228e-09,-3.06992e-09,-1.1116e-09,-50.2981,0,2.7894e-10,-2.85914e-10,-3.09465e-10,-1.11529e-09,-50.0233,0,0,0,-9.32587e-15,1.66034e-13,-48.2501,0,4.61236e-08,3.76059e-08,3.01059e-08,4.01245e-08,8.70277,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,-1.02702e-09,2.95492e-09,-3.96059e-09,-9.54625e-10,-50.1158,0,-1.01184e-09,-3.68824e-10,-1.15748e-09,2.2199e-10,-49.963,0,0,0,-1.15463e-14,1.60968e-13,-47.9618,0,4.61096e-08,3.65517e-08,2.96388e-08,4.0189e-08,8.52535,0,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,-1.68922e-09,-1.07704e-09,-1.28986e-09,6.70218e-10,-19.5672,0,8.47569e-10,-1.48607e-09,2.47618e-10,-8.44901e-10,-19.4337,0,0,1.81899e-12,2.22045e-16,-1.59872e-14,-8.43013,0,4.65242e-08,3.92271e-08,3.02657e-08,4.14423e-08,9.93534,0,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,-1.91719e-09,9.98993e-10,7.11803e-10,-5.07248e-09,-19.9289,0,-2.56908e-10,1.06466e-09,-6.26601e-10,-9.78894e-10,-19.7564,0,0,1.81899e-12,2.44249e-15,8.88178e-15,-8.58448,0,4.5577e-08,3.86227e-08,2.96733e-08,4.13047e-08,9.73268,0,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,-2.25886e-09,-1.13566e-09,-6.38639e-10,-9.82065e-10,-21.0963,0,-8.06588e-11,1.74443e-09,3.56513e-10,-6.04966e-10,-21.2586,0,0,0,-8.99947e-13,8.06466e-13,-10.8384,0,4.662e-08,3.8424e-08,3.02539e-08,4.16142e-08,10.1178,0,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,2.8139e-09,-7.62622e-10,4.10978e-10,2.31341e-09,-17.196,0,-1.70836e-09,-1.0445e-09,4.25029e-10,-8.04324e-10,-17.4207,0,0,0,4.96714e-13,-5.78204e-13,-7.24372,0,4.50139e-08,3.82501e-08,2.88524e-08,4.33701e-08,10.0338,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,-8.37579e-10,-2.65077e-09,-1.10588e-09,2.37977e-09,0.276564,0,3.4646e-11,-5.6497e-10,3.71305e-10,5.08443e-10,0.31426,0,2.91038e-11,3.63798e-12,9.76996e-15,4.88498e-14,1.99444e-05,0,4.66147e-08,3.9037e-08,3.01913e-08,4.17342e-08,18.7675,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,-1.32481e-10,1.30032e-09,4.09565e-10,1.81273e-10,0.525681,0,-9.51933e-10,-2.07086e-09,1.19051e-10,2.50345e-10,0.185512,0,0,-3.63798e-12,-1.11022e-15,-8.88178e-16,-1.31308e-06,0,4.6081e-08,3.94357e-08,3.03605e-08,3.98959e-08,18.2339,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,2.21713e-10,1.84442e-10,1.31527e-09,-1.04149e-09,-0.496731,0,-3.44992e-10,-1.80905e-10,6.03829e-10,-2.45747e-10,-0.180278,0,-2.91038e-11,-1.81899e-12,7.50888e-12,1.75011e-11,-0.180326,0,4.50674e-08,3.97015e-08,2.93183e-08,4.23214e-08,18.7096,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,-3.35681e-09,-4.41887e-10,-1.65245e-09,-1.0253e-10,0.0114119,0,-1.58783e-09,5.15895e-10,4.14871e-10,-2.84308e-10,-0.509361,0,0,1.09139e-11,-4.44089e-16,6.66134e-16,-7.83636e-07,0,4.80081e-08,3.96209e-08,2.93228e-08,4.17738e-08,18.2304,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,1.75321e-09,1.43973e-09,-1.34417e-09,6.73106e-10,1.78054,0,-2.29718e-10,-5.81019e-10,-2.30783e-11,9.1478e-11,0.612295,0,0,0,-4.44089e-16,2.22045e-15,-8.0388e-07,0,4.52873e-08,3.78778e-08,3.00004e-08,4.20461e-08,18.3408,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,1.35347e-09,1.62493e-09,-1.89933e-09,-4.17353e-09,0.0775362,0,2.40925e-10,-6.65969e-10,1.01048e-10,-2.67502e-09,-0.824846,0,0,0,-4.44089e-16,-1.77636e-15,6.16143e-07,0,4.62921e-08,3.79746e-08,2.95817e-08,4.17307e-08,18.4821,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,4.44415e-11,1.99045e-09,1.66454e-09,-2.83506e-09,0.807162,0,2.0152e-09,8.13069e-10,-2.08856e-10,-4.32724e-10,0.735996,0,0,-3.63798e-12,-6.66134e-16,-3.9968e-15,-2.16363e-06,0,4.53002e-08,3.81765e-08,2.99563e-08,4.17441e-08,19.2885,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,4.62169e-10,1.36459e-09,1.38817e-09,2.56963e-10,-0.280462,0,-7.65171e-10,1.38753e-09,-7.62761e-10,7.18702e-11,0.08586,0,0,0,1.33227e-15,2.66454e-15,-5.60178e-07,0,4.67415e-08,3.84979e-08,2.97718e-08,4.22097e-08,18.7892,0,False,69.0|233,705
