rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,84767.9,780.439,1.5457,0.34426,0.284962,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,84767.9,780.439,1.5457,0.240932,0.284962,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,84767.9,780.439,1.5457,0.375434,0.284962,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,84767.9,780.439,1.5457,0.659045,0.284962,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,84767.9,780.439,1.5457,0.273425,0.284962,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,84767.9,780.439,1.5457,0.260908,0.284962,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,84767.9,780.439,1.5457,0.665925,0.284962,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,84767.9,780.439,1.5457,0.489854,0.284962,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,84767.9,780.439,1.5457,0.447948,0.284962,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,84767.9,780.439,1.5457,0.27584,0.284962,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,84767.9,777.678,-0.403621,126.706,0.284962,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,84767.9,777.678,-0.403621,93.0968,0.284962,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,84767.9,777.678,-0.403621,1.65465,0.284962,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,84767.9,777.678,-0.403621,0.0175312,0.284962,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,84767.9,777.678,-0.403621,0.000156862,0.284962,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,84767.9,777.678,-0.403621,0.000163968,0.284962,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,84767.9,777.678,-0.403621,33.1483,0.284962,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,84767.9,777.678,-0.403621,20.1395,0.284962,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,84767.9,777.678,-0.403621,201.75,0.284962,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,84767.9,777.678,-0.403621,3.88353,0.284962,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,84767.9,777.678,-0.403621,97.8876,0.284962,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,84767.9,777.678,-0.403621,0.11054,0.284962,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,84767.9,777.678,-0.403621,1226.35,0.284962,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,84767.9,777.678,-0.403621,0.291774,0.284962,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,84767.9,777.678,-0.403621,6.31479,0.284962,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,84767.9,777.678,-0.403621,0.276044,0.284962,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,84767.9,779.138,0.123707,4.3862e-07,0.9627,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,84767.9,779.138,0.123707,1.65342e-07,0.9627,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,84767.9,779.138,0.123707,2.19519e-07,0.9627,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,84767.9,779.138,0.123707,2.14811e-07,0.9627,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,84767.9,779.138,0.123707,1.0439e-05,0.9627,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,84767.9,779.138,0.123707,1.93681e-07,0.9627,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,84767.9,779.138,2.22735,0.0556387,0.9627,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,84767.9,779.138,2.22735,0.0757733,0.9627,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,84767.9,779.138,2.22735,0.0798917,0.9627,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,84767.9,779.138,2.22735,0.0892047,0.9627,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,84767.9,777.319,1.28676,0.000589586,0.9627,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,84767.9,777.319,1.28676,142.447,0.9627,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,84767.9,777.319,1.28676,481.135,0.9627,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,84767.9,777.319,1.28676,0.180905,0.9627,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,84767.9,777.319,1.28676,4689.05,0.9627,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,84767.9,777.319,1.28676,0.150498,0.9627,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,84767.9,777.319,1.28676,0.0970627,0.9627,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,84767.9,777.319,1.28676,0.000159486,0.9627,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,84767.9,777.319,1.28676,41.8685,0.9627,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,84767.9,777.319,1.28676,2571.64,0.9627,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,84767.9,777.319,1.28676,5.11107e-05,0.9627,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,84767.9,777.319,1.28676,498.531,0.9627,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,84767.9,777.319,1.28676,0.191882,0.9627,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,84767.9,777.319,1.28676,37.0599,0.9627,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,84767.9,777.319,1.28676,0.335974,0.9627,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,84767.9,777.319,1.28676,894.556,0.9627,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,84767.9,779.988,1.19172,0.197745,0.278684,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,84767.9,779.988,1.19172,0.265892,0.278684,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,84767.9,779.988,1.19172,0.418633,0.278684,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,84767.9,779.988,1.19172,0.151534,0.278684,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,84767.9,780.084,1.22374,0.0861698,0.278684,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,84767.9,780.084,1.22374,0.0795704,0.278684,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,84767.9,780.084,1.22374,0.0913078,0.278684,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,84767.9,780.084,1.22374,0.0923755,0.278684,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,84767.9,780.289,1.16848,0.174463,0.278684,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,84767.9,780.289,1.16848,0.186169,0.278684,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,84767.9,777.33,0.746566,2.82662e-05,0.278684,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,84767.9,777.33,0.746566,0.0524275,0.278684,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,84767.9,777.33,0.746566,2.93336e-05,0.278684,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,84767.9,777.33,0.746566,1.2214,0.278684,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,84767.9,777.33,0.746566,0.00987805,0.278684,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,84767.9,777.33,0.746566,15.7927,0.278684,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,84767.9,777.33,0.746566,0.0380865,0.278684,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,84767.9,777.33,0.746566,4.27498,0.278684,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,84767.9,777.33,0.746566,1.11976,0.278684,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,84767.9,777.33,0.746566,580.595,0.278684,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,84767.9,777.33,0.746566,0.010815,0.278684,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,84767.9,777.33,0.746566,28.3681,0.278684,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,84767.9,777.33,0.746566,9.61862,0.278684,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,84767.9,777.33,0.746566,2.04433,0.278684,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,84767.9,777.33,0.746566,0.425829,0.278684,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,84767.9,777.33,0.746566,0.000626766,0.278684,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,84767.9,780.087,2.14401,0.635142,0.0908247,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,84767.9,780.087,2.14401,0.505419,0.0908247,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,84767.9,780.087,2.14401,0.52794,0.0908247,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,84767.9,780.087,2.14401,0.545214,0.0908247,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,84767.9,780.108,2.20698,0.0780579,0.0908247,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,84767.9,780.108,2.20698,0.0995099,0.0908247,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,84767.9,780.108,2.20698,0.163916,0.0908247,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,84767.9,780.108,2.20698,0.187773,0.0908247,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,84767.9,779.747,2.05003,0.515627,0.0908247,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,84767.9,779.747,2.05003,0.514414,0.0908247,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,84767.9,777.431,1.57252,42.9142,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,84767.9,777.431,1.57252,0.101682,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,84767.9,777.431,1.57252,0.0249214,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,84767.9,777.431,1.57252,0.477179,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,84767.9,777.431,1.57252,0.585444,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,84767.9,777.431,1.57252,0.776917,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,84767.9,777.431,1.57252,0.00107185,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,84767.9,777.431,1.57252,2099.74,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,84767.9,777.431,1.57252,3.15817,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,84767.9,777.431,1.57252,1.50034e-05,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,84767.9,777.431,1.57252,8.39651,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,84767.9,777.431,1.57252,1.89107,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,84767.9,777.431,1.57252,0.00167165,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,84767.9,777.431,1.57252,14.6545,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,84767.9,777.431,1.57252,0.412477,0.0908247,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,84767.9,777.431,1.57252,9.48669,0.0908247,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,84768,780.105,2.08128,0.0525358,0.519016,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,84768,780.105,2.08128,0.0509565,0.519016,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,84768,780.105,2.08128,0.0548055,0.519016,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,84768,780.105,2.08128,0.0525074,0.519016,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,84768,780.044,2.03717,0.0221577,0.519016,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,84768,780.044,2.03717,0.0352755,0.519016,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,84768,780.044,2.03717,0.0333492,0.519016,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,84768,780.2,2.25664,0.059676,0.519016,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,84768,780.2,2.25664,0.0346677,0.519016,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,84768,780.044,2.03717,0.0314299,0.519016,True,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,84768,777.279,1.03975,0.0420907,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,84768,777.279,1.03975,0.777766,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,84768,777.279,1.03975,0.00685192,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,84768,777.279,1.03975,1.32472,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,84768,777.279,1.03975,0.00208641,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,84768,777.279,1.03975,0.000475506,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,84768,777.279,1.03975,0.393396,0.519016,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,84768,777.279,1.03975,0.00819307,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,84768,777.279,1.03975,0.00290853,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,84768,777.279,1.03975,0.425815,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,84768,777.279,1.03975,0.0636859,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,84768,777.279,1.03975,0.000426294,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,84768,777.279,1.03975,1.24144,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,84768,777.279,1.03975,851.999,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,84768,777.279,1.03975,0.0018052,0.519016,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,84768,777.279,1.03975,0.0153353,0.519016,False,69.0|103,1197
