id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,83774.9,780.439,0.153,0.00330678,0.205677,84160.1,780.439,0.153,0.000341169,0.215664,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,83774.9,780.439,0.153,0.00550913,0.205677,84160.1,780.439,0.153,0.0002236,0.215664,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,83774.9,780.439,0.153,0.157502,0.205677,84160.1,780.439,0.153,0.00143989,0.215664,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,83774.9,780.439,0.153,0.195196,0.205677,84160.1,780.439,0.153,0.00343597,0.215664,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,83774.9,780.439,0.153,0.00662977,0.205677,84160.1,780.439,0.153,0.00018613,0.215664,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,83774.9,780.439,0.153,0.0536457,0.205677,84160.1,780.439,0.153,0.000215905,0.215664,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,83774.9,780.439,0.153,5.00016,0.205677,84160.1,780.439,0.153,0.0021476,0.215664,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,83774.9,780.439,0.153,0.137678,0.205677,84160.1,780.439,0.153,0.00235172,0.215664,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,83774.9,780.439,0.153,0.0736489,0.205677,84160.1,780.439,0.153,0.000161458,0.215664,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,83774.9,780.439,0.153,0.00699456,0.205677,84160.1,780.439,0.153,0.000272435,0.215664,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,83774.9,777.678,0.153,1.13971e+07,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,83774.9,777.678,0.153,1.16761e+09,0.205677,84160.1,777.678,0.153,1.00001,0.215664,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,83774.9,777.678,0.153,493241,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,83774.9,777.678,0.153,4.5284e+07,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,83774.9,777.678,0.153,3.19185e+06,0.205677,84160.1,777.678,0.153,1.00001,0.215664,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,83774.9,777.678,0.153,2.92624e+09,0.205677,84160.1,777.678,0.153,1.00001,0.215664,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,83774.9,777.678,0.153,6.20022e+08,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,83774.9,777.678,0.153,2.30041e+06,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,83774.9,777.678,0.153,6.11992e+06,0.205677,84160.1,777.678,0.153,1,0.215664,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,83774.9,777.678,0.153,1.22221e+10,0.205677,84160.1,777.678,0.153,1.00003,0.215664,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,83774.9,777.678,0.153,7.6663e+06,0.205677,84160.1,777.678,0.153,1.00002,0.215664,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,83774.9,777.678,0.153,7.7168e+09,0.205677,84160.1,777.678,0.153,1.00001,0.215664,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,83774.9,777.678,0.153,3.927e+09,0.205677,84160.1,777.678,0.153,0.999995,0.215664,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,83774.9,777.678,0.153,8.14325e+07,0.205677,84160.1,777.678,0.153,1.00002,0.215664,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,83774.9,777.678,0.153,3.75007e+08,0.205677,84160.1,777.678,0.153,0.99997,0.215664,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,83774.9,777.678,0.153,1.06136e+11,0.205677,84160.1,777.678,0.153,0.99999,0.215664,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,83774.9,779.138,0.153,7.07132e-06,1.02008,84160.1,779.138,0.153,1.01437e-06,1.01882,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,83774.9,779.138,0.153,6.06314e-06,1.02008,84160.1,779.138,0.153,1.20165e-06,1.01882,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,83774.9,779.138,0.153,1.18763e-05,1.02008,84160.1,779.138,0.153,1.07732e-06,1.01882,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,83774.9,779.138,0.153,5.25436e-06,1.02008,84160.1,779.138,0.153,1.10983e-06,1.01882,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,83774.9,779.138,0.153,2.25418e-06,1.02008,84160.1,779.138,0.153,8.8557e-07,1.01882,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,83774.9,779.138,0.153,2.74507e-06,1.02008,84160.1,779.138,0.153,1.12502e-06,1.01882,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,83774.9,779.138,0.153,2.6654e-07,1.02008,84160.1,779.138,0.153,2.58546e-09,1.01882,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,83774.9,779.138,0.153,1.39785e-08,1.02008,84160.1,779.138,0.153,1.95086e-09,1.01882,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,83774.9,779.138,0.153,2.46178e-08,1.02008,84160.1,779.138,0.153,4.42703e-09,1.01882,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,83774.9,779.138,0.153,8.69645e-09,1.02008,84160.1,779.138,0.153,3.36448e-09,1.01882,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,83775.1,777.319,0.153,3.53878e+07,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,83775.1,777.319,0.153,3.18068e+10,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,83775.1,777.319,0.153,5.39481e+08,1.02008,84160.2,777.319,0.153,0.999983,1.01882,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,83775.1,777.319,0.153,4.08824e+07,1.02008,84160.2,777.319,0.153,0.999979,1.01882,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,83775.1,777.319,0.153,2.64221e+06,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,83775.1,777.319,0.153,1.05761e+11,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,83775.1,777.319,0.153,4.04272e+11,1.02008,84160.2,777.319,0.153,1.00001,1.01882,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,83775.1,777.319,0.153,2.07678e+09,1.02008,84160.2,777.319,0.153,0.999999,1.01882,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,83775.1,777.319,0.153,5.41286e+09,1.02008,84160.2,777.319,0.153,0.999998,1.01882,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,83775.1,777.319,0.153,2.25726e+08,1.02008,84160.2,777.319,0.153,1.00001,1.01882,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,83775.1,777.319,0.153,4.24825e+07,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,83775.1,777.319,0.153,8.69378e+06,1.02008,84160.2,777.319,0.153,1.00001,1.01882,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,83775.1,777.319,0.153,2.41104e+09,1.02008,84160.2,777.319,0.153,0.999984,1.01882,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,83775.1,777.319,0.153,2.00758e+06,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,83775.1,777.319,0.153,9.23345e+06,1.02008,84160.2,777.319,0.153,1,1.01882,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,83775.1,777.319,0.153,3.58196e+10,1.02008,84160.2,777.319,0.153,0.999995,1.01882,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,83777.8,779.988,0.153,101.389,0.176271,84163.6,779.988,0.153,0.0207611,0.217392,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,83777.8,779.988,0.153,223.507,0.176271,84163.6,779.988,0.153,0.0238662,0.217392,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,83777.8,779.988,0.153,47707.5,0.176271,84163.6,779.988,0.153,0.0436745,0.217392,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,83777.8,779.988,0.153,2.78699e+08,0.176271,84163.6,779.988,0.153,0.0559004,0.217392,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,83774.9,780.084,0.153,0.0290914,0.176271,84160.1,780.084,0.153,0.00135952,0.217392,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,83774.9,780.084,0.153,0.495784,0.176271,84160.1,780.084,0.153,0.00367842,0.217392,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,83774.9,780.084,0.153,12.5709,0.176271,84160.1,780.084,0.153,0.00863077,0.217392,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,83774.9,780.084,0.153,9.83484,0.176271,84160.1,780.084,0.153,0.00830565,0.217392,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,83774.9,780.289,0.153,32.2068,0.176271,84160.1,780.289,0.153,0.0134497,0.217392,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,83774.9,780.289,0.153,8.66615,0.176271,84160.1,780.289,0.153,0.0173534,0.217392,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,83774.9,777.33,0.153,6.64019e+08,0.176271,84160.1,777.33,0.153,0.999989,0.217392,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,83774.9,777.33,0.153,1.23085e+11,0.176271,84160.1,777.33,0.153,1.02405,0.217392,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,83774.9,777.33,0.153,6.85274e+07,0.176271,84160.1,777.33,0.153,0.999999,0.217392,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,83774.9,777.33,0.153,3.93151e+08,0.176271,84160.1,777.33,0.153,1,0.217392,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,83774.9,777.33,0.153,1.15301e+11,0.176271,84160.1,777.33,0.153,1,0.217392,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,83774.9,777.33,0.153,877806,0.176271,84160.1,777.33,0.153,0.999993,0.217392,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,83774.9,777.33,0.153,1.41861e+07,0.176271,84160.1,777.33,0.153,1,0.217392,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,83774.9,777.33,0.153,4.4086e+10,0.176271,84160.1,777.33,0.153,0.999996,0.217392,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,83774.9,777.33,0.153,1.32065e+07,0.176271,84160.1,777.33,0.153,1.00001,0.217392,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,83774.9,777.33,0.153,5.10937e+07,0.176271,84160.1,777.33,0.153,1.00001,0.217392,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,83774.9,777.33,0.153,5.27849e+08,0.176271,84160.1,777.33,0.153,1.00001,0.217392,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,83774.9,777.33,0.153,2.8693e+06,0.176271,84160.1,777.33,0.153,1,0.217392,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,83774.9,777.33,0.153,2.5018e+08,0.176271,84160.1,777.33,0.153,1.00001,0.217392,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,83774.9,777.33,0.153,3.298e+07,0.176271,84160.1,777.33,0.153,0.999987,0.217392,False,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,83774.9,777.33,0.153,3.73934e+07,0.176271,84160.1,777.33,0.153,1,0.217392,False,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,83774.9,777.33,0.153,7.26272e+07,0.176271,84160.1,777.33,0.153,0.999987,0.217392,False,69.0|322,152
8|1159|8|1159|sample|8|292|8|292|65.0,83774.9,780.087,0.153,26390.6,0.205677,84160.1,780.087,0.153,0.803927,0.215664,True,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,83774.9,780.087,0.153,6.09148e+07,0.205677,84160.1,780.087,0.153,1.28632,0.215664,True,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,83774.9,780.087,0.153,3.415e+09,0.205677,84160.1,780.087,0.153,13.1601,0.215664,True,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,83774.9,780.087,0.153,1.49551e+09,0.205677,84160.1,780.087,0.153,19.3585,0.215664,True,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,83774.9,780.108,0.153,29.9798,0.205677,84160.1,780.108,0.153,0.0456403,0.215664,True,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,83774.9,780.108,0.153,2.67091,0.205677,84160.1,780.108,0.153,0.00711981,0.215664,True,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,83774.9,780.108,0.153,1.23594e+06,0.205677,84160.1,780.108,0.153,0.657997,0.215664,True,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,83774.9,780.108,0.153,983537,0.205677,84160.1,780.108,0.153,0.197629,0.215664,True,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,83774.9,779.747,0.153,6.02551e+06,0.205677,84160.1,779.747,0.153,33.0523,0.215664,True,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,83774.9,779.747,0.153,1.00269e+08,0.205677,84160.1,779.747,0.153,21.678,0.215664,True,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,83779.7,777.431,0.153,1.0598e+09,0.205677,84165.7,777.431,0.153,0.999995,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,83779.7,777.431,0.153,1.12425e+08,0.205677,84165.7,777.431,0.153,0.999997,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,83779.7,777.431,0.153,7.80249e+10,0.205677,84165.7,777.431,0.153,0.999994,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,83779.7,777.431,0.153,4.87368e+07,0.205677,84165.7,777.431,0.153,0.999994,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,83779.7,777.431,0.153,1.63416e+06,0.205677,84165.7,777.431,0.153,0.999997,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,83779.7,777.431,0.153,1.62566e+10,0.205677,84165.7,777.431,0.153,1.00001,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,83779.7,777.431,0.153,1.5898e+06,0.205677,84165.7,777.431,0.153,1,0.215664,False,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,83779.7,777.431,0.153,2.27949e+07,0.205677,84165.7,777.431,0.153,0.999976,0.215664,False,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,83779.7,777.431,0.153,2.16053e+08,0.205677,84165.7,777.431,0.153,0.999979,0.215664,False,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,83779.7,777.431,0.153,6.58106e+09,0.205677,84165.7,777.431,0.153,0.999994,0.215664,False,69.0|292,1159
