id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-2.70887e-09,-1.06249e-08,-0.888219,0,0,-1.13687e-13,9.59233e-14,-0.898307,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-2.45052e-10,-8.8551e-09,-1.40991,0,0,0,1.61648e-13,-1.46541,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-5.43205e-10,4.56839e-09,-0.783543,0,0,-1.13687e-13,-2.4647e-13,-0.779666,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,1.19972e-08,8.20603e-09,-0.621661,0,0,0,-1.40332e-13,-0.683235,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,-4.89184e-10,-2.36079e-09,-1.06879,0,0,1.13687e-13,-1.6076e-13,-1.15902,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,2.45813e-09,-3.50915e-09,-1.22539,0,0,1.13687e-13,1.45661e-13,-1.23471,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,-3.27693e-09,-4.73334e-09,-0.71169,0,0,0,-1.33227e-13,-0.854505,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-3.11037e-09,2.37238e-08,-0.735294,0,0,1.13687e-13,-1.23013e-13,-0.715569,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,3.36314e-09,1.89795e-09,-1.17324,0,0,1.13687e-13,-5.24025e-14,-1.21288,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-5.6272e-09,-1.37964e-08,-1.0786,0,0,-1.13687e-13,-1.83853e-13,-1.10848,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,1.71197e-09,7.87145e-09,-0.401596,0,0,0,-7.07212e-14,-8.30006e-07,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-6.84587e-09,-6.95922e-10,0.58089,0,0,0,2.63123e-14,3.348e-06,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-4.57143e-09,1.0033e-08,-0.436362,0,0,0,4.08562e-14,6.65491e-07,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-1.35048e-09,2.97188e-09,-0.483341,0,0,0,1.62093e-14,3.8992e-06,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,-1.48018e-10,-4.85848e-09,0.164914,0,0,0,-9.88098e-15,7.78828e-07,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,1.46786e-09,-1.83715e-09,-0.570669,0,0,0,7.04992e-15,1.46551e-06,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,6.22822e-09,-8.36612e-09,0.435053,0,0,0,3.18634e-14,-5.67112e-06,0,False,69.0|274,411
