rep,id,U,L,L_gap,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,125886,782.215,1.33433,1.48764,0.232115,0.636077,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,125886,782.215,1.33433,1.48764,0.177056,0.636077,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,125886,782.215,1.33433,1.48764,0.298695,0.636077,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,125886,782.215,1.33433,1.48764,0.638806,0.636077,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,125886,782.215,1.33433,1.48764,0.23509,0.636077,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,125886,782.215,1.33433,1.48764,0.241241,0.636077,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,125886,782.215,1.33433,1.48764,0.281308,0.636077,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,125886,782.215,1.33433,1.48764,0.401259,0.636077,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,125886,782.215,1.33433,1.48764,0.224398,0.636077,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,125886,782.215,1.33433,1.48764,0.188169,0.636077,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,0.00364168,0.636077,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,1.25329,0.636077,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,0.168773,0.636077,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,0.821683,0.636077,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,0.00424708,0.636077,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,1.32133,0.636077,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,4.18254e+07,0.636077,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,125886,782.215,35.6488,-0.46168,71.0951,0.636077,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,0.000798263,0.636077,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,1.50902e-08,0.636077,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,6.95268,0.636077,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,7.56047e+13,0.636077,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,0.000174831,0.636077,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,8.68528,0.636077,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,1.20264e-05,0.636077,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,125886,782.215,35.6488,-0.46168,20.9758,0.636077,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,125885,834.256,8.26253,0.0656483,3.623e-16,1.82686,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,125885,834.256,8.26254,0.0656484,5.04172e-15,1.82686,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,125885,834.256,8.26253,0.0656484,1.56547e-14,1.82686,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,125885,834.256,8.26253,0.0656484,5.55274e-16,1.82686,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,125885,834.256,8.26253,0.0656483,0,1.82686,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,125885,834.256,8.26253,0.0656484,4.4954e-15,1.82686,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,125884,834.256,5.70498,2.16929,0.0349402,1.82686,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,125884,834.256,5.70498,2.16929,0.0657098,1.82686,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,125884,834.256,5.70498,2.16929,0.0912338,1.82686,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,125884,834.256,5.70498,2.16929,0.0624134,1.82686,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,4.49034e-06,1.82686,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,489516,1.82686,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,2.26222,1.82686,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,2.59822e-05,1.82686,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,100228,1.82686,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,15088,1.82686,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,3.62219e+06,1.82686,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,125884,834.256,3.92643,1.2287,1.18511e+08,1.82686,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,0.00422968,1.82686,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,43127.8,1.82686,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,0.032346,1.82686,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,2.26155,1.82686,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,1.20859e-06,1.82686,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,0.0662552,1.82686,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,1.50202e+13,1.82686,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,125884,834.256,3.92643,1.2287,5.34353e+08,1.82686,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,125886,782.224,0.0939702,1.13367,0.140618,0.695908,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,125886,782.224,0.0939702,1.13367,0.15021,0.695908,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,125886,782.224,0.0939702,1.13367,0.0933159,0.695908,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,125886,782.224,0.0939702,1.13367,0.153004,0.695908,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,125886,782.224,3.25916,1.16568,0.110663,0.695908,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,125886,782.224,3.25916,1.16568,0.0609607,0.695908,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,125886,782.224,3.25916,1.16568,0.0418083,0.695908,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,125886,782.224,3.25916,1.16568,0.0630904,0.695908,True,28.0|322,152
