rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-1.50874e-07,0,5.13157e-08,2.19252e-07,-16.3708,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.77635e-07,0,-7.85245e-08,1.1069e-07,-17.7473,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-2.10275e-08,0,8.2692e-08,-7.65654e-07,-16.0972,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-6.37374e-09,0,-2.43014e-08,-3.37139e-07,-9.4319,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,7.81583e-08,0,-4.16867e-08,1.08129e-07,-17.2796,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,3.26545e-08,0,1.53573e-07,6.32424e-08,-15.3117,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-3.92174e-08,0,-3.84926e-09,9.96518e-08,-13.0546,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-1.15237e-07,0,-6.87494e-08,-7.15376e-07,-17.1345,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-1.13359e-07,0,5.2249e-08,2.51e-07,-19.8593,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.27679e-07,0,1.07662e-07,5.18197e-07,-15.6112,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,4.87926e-08,0,-3.65059e-08,-2.09721e-07,-35.1095,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-1.05283e-07,0,6.16495e-08,-4.67032e-07,5.92598,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,9.80217e-08,0,5.49439e-08,1.52943e-08,-7.26117,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-6.33008e-09,0,1.08825e-07,-6.26826e-08,1.20751,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.39524e-07,0,3.36102e-08,1.5867e-07,9.0813,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-7.26432e-08,0,1.44546e-07,2.23847e-07,-32.1083,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-8.8723e-08,0,-4.41178e-08,5.32771e-07,-15.5038,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-2.64408e-08,0,-1.71246e-08,-2.94933e-07,-6.89419,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.17245e-07,0,1.64621e-07,1.01924e-07,8.41199,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,4.42378e-09,0,-6.40758e-08,-6.72772e-07,8.44752,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,-2.72848e-08,0,6.93429e-08,-1.33233e-07,-11.2955,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-4.51691e-08,0,-6.56687e-08,2.21261e-07,30.0685,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-1.38563e-07,0,1.2641e-07,5.81347e-07,-17.3287,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-3.3222e-08,0,-8.12908e-08,2.94183e-07,-7.58742,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,6.3068e-08,0,1.33137e-09,1.87698e-07,7.17231,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,-8.06176e-09,0,3.60102e-08,-6.464e-07,8.84848,0,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,5.21832e-08,0,-6.98356e-08,1.73603e-08,-33.4492,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,-4.49945e-08,0,5.36236e-08,-4.61461e-07,-25.9016,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,4.14293e-08,0,-1.67233e-08,-2.82644e-07,-29.5874,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,-4.92e-08,0,1.0819e-07,2.09102e-08,-39.3347,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,-1.15266e-07,0,-8.94956e-08,2.22884e-07,-35.5204,0,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,5.66797e-08,0,9.12555e-08,-4.85976e-07,-35.3256,0,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,-3.16359e-08,0,-2.16127e-08,5.32327e-07,-30.0019,0,True,6.0|233,705
1,14|705|14|705|sample|9|233|9|233|6.0,-9.32923e-08,0,5.0331e-08,4.14479e-07,-34.8468,0,True,6.0|233,705
1,14|705|14|705|sample|12|233|12|233|6.0,7.48551e-08,0,-8.61657e-08,-1.3908e-07,-32.3756,0,True,6.0|233,705
1,14|705|14|705|sample|11|233|11|233|6.0,-3.9101e-08,0,7.7547e-08,1.92142e-07,-31.7181,0,True,6.0|233,705
1,14|705|14|705|cc|1|1|233|1|233|69.0,-8.06758e-08,0,1.12793e-07,5.17065e-07,24.6372,0,False,69.0|233,705
1,14|705|14|705|cc|2|1|233|1|233|69.0,-1.46887e-07,0,-1.43026e-07,-8.87955e-09,16.0779,0,False,69.0|233,705
1,14|705|14|705|cc|3|1|233|1|233|69.0,1.32844e-07,0,2.22933e-08,-1.04676e-07,-8.47089,0,False,69.0|233,705
1,14|705|14|705|cc|4|1|233|1|233|69.0,-1.09358e-07,0,-3.28761e-08,-3.93334e-07,-25.7888,0,False,69.0|233,705
1,14|705|14|705|cc|5|1|233|1|233|69.0,-7.66013e-08,0,-3.40947e-08,-2.37711e-07,38.9317,0,False,69.0|233,705
1,14|705|14|705|cc|6|1|233|1|233|69.0,1.38753e-07,0,5.18748e-08,-3.01742e-07,-18.335,0,False,69.0|233,705
1,14|705|14|705|cc|7|1|233|1|233|69.0,-2.85363e-08,0,6.39351e-08,1.37308e-07,2.67956,0,False,69.0|233,705
1,14|705|14|705|cc|8|1|233|1|233|69.0,-8.80827e-08,0,-1.23232e-07,-3.87701e-07,4.05688,0,False,69.0|233,705
1,14|705|14|705|vc|1|2|233|2|233|69.0,-1.36002e-07,0,-2.70259e-08,-5.64153e-07,-31.3085,0,False,69.0|233,705
1,14|705|14|705|vc|2|2|233|2|233|69.0,-5.09172e-08,0,9.73263e-08,1.7774e-07,-11.9162,0,False,69.0|233,705
1,14|705|14|705|vc|3|2|233|2|233|69.0,1.80735e-08,0,-3.22255e-08,2.4797e-07,13.5619,0,False,69.0|233,705
1,14|705|14|705|vc|4|2|233|2|233|69.0,1.30836e-07,0,-9.91747e-09,3.95504e-08,-18.5407,0,False,69.0|233,705
1,14|705|14|705|vc|5|2|233|2|233|69.0,1.23939e-07,0,1.26524e-08,-3.66623e-07,-15.889,0,False,69.0|233,705
1,14|705|14|705|vc|6|2|233|2|233|69.0,7.20029e-08,0,-9.88634e-08,7.39203e-07,10.8207,0,False,69.0|233,705
1,14|705|14|705|vc|7|2|233|2|233|69.0,2.42144e-08,0,1.14746e-07,-2.57035e-07,-17.7638,0,False,69.0|233,705
1,14|705|14|705|vc|8|2|233|2|233|69.0,9.98552e-08,0,-3.87163e-08,3.48978e-08,10.3344,0,False,69.0|233,705
1,8|152|8|152|sample|8|322|8|322|65.0,5.82659e-08,0,3.10782e-08,-7.33817e-08,-10.2406,0,True,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-3.22179e-08,0,5.81684e-08,-3.52192e-07,-13.4712,0,True,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,5.92991e-08,0,-1.03647e-08,-5.67399e-07,-13.5065,0,True,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,5.18485e-08,0,1.33413e-07,1.21055e-07,-11.6084,0,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,8.93488e-09,0,1.84462e-08,-5.5373e-08,-11.6923,0,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-1.77824e-08,0,-2.00858e-08,-1.08761e-07,-17.3059,0,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,2.51253e-07,0,2.24882e-10,2.5467e-07,-5.9474,0,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,-1.08514e-07,0,5.41068e-10,1.01531e-07,-14.8587,0,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,-1.36381e-07,0,5.08458e-08,-2.7483e-07,-3.09978,0,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,3.38623e-08,0,-9.1749e-09,-1.77735e-07,-13.1399,0,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,2.11876e-08,0,1.1248e-07,4.17489e-07,-2.6261,0,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,-4.43688e-08,0,-2.20526e-07,-8.41813e-07,-35.6706,0,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,6.84231e-08,0,4.11589e-08,-7.81673e-08,-0.763072,0,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,8.60746e-08,0,3.99706e-08,3.54693e-07,-20.7469,0,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,8.42556e-09,0,1.9484e-08,8.31729e-07,9.58783,0,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,1.42551e-07,0,-1.43343e-10,-4.7201e-07,-7.86355,0,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,5.74073e-08,0,-3.94515e-08,7.43142e-08,4.4982,0,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,5.68398e-08,0,1.67081e-07,-4.16985e-07,18.5219,0,False,69.0|322,152
