id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,2.3428e-09,2.299e-09,4.49327e-09,-2.63766e-09,-2.10333,0,0,0,2.99205e-14,-3.39728e-14,-2.13222,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.31823e-09,1.30955e-09,1.13419e-09,-2.12223e-09,-2.44206,0,0,3.63798e-12,-4.11005e-13,5.51115e-13,-2.41357,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,5.81058e-10,-1.34025e-09,1.97097e-09,7.46145e-10,-2.40581,0,0,0,1.35447e-14,8.43769e-15,-2.42917,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-4.36883e-09,-4.34847e-09,-1.33006e-09,4.81174e-09,-2.28522,0,0,0,-1.5099e-14,-5.86198e-14,-2.34211,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,2.94999e-09,1.62479e-09,1.03989e-09,1.79664e-09,-2.31524,0,0,0,8.99281e-15,3.15303e-14,-2.38024,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-9.47417e-10,-5.8773e-10,-2.6181e-09,-5.73054e-10,-2.35041,0,0,0,-1.59872e-14,-1.75415e-14,-2.39012,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-7.35305e-09,8.11923e-09,1.45295e-09,2.02034e-09,-2.26899,0,0,0,-7.60503e-15,-5.10703e-15,-2.33518,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,9.85863e-10,2.31968e-10,2.67564e-09,-1.65415e-09,-2.18934,0,0,0,1.03251e-14,7.99361e-15,-2.22788,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-2.66093e-09,-6.5675e-10,-4.06404e-10,1.0267e-09,-1.38623,0,0,0,-2.9976e-14,3.41949e-14,-1.46836,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,6.53285e-09,-3.26327e-10,-1.09418e-09,-2.05146e-09,-2.06653,0,0,0,3.21965e-15,1.42109e-14,-2.0903,0,True,70.0|274,411
