id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,125886,10896.4,1.33433,0.0949411,0.221517,0.750516,125886,10896.4,1.33433,0.0949411,4.61086e-09,0.764093,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,125886,10896.4,1.33433,0.0949411,1.66395e-05,0.750516,125886,10896.4,1.33433,0.0949411,8.45213e-09,0.764093,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,125886,10896.4,1.33433,0.094941,0.023428,0.750516,125886,10896.4,1.33433,0.0949411,3.23499e-08,0.764093,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,125886,10896.4,1.33433,0.094941,0.0105809,0.750516,125886,10896.4,1.33433,0.0949411,1.79916e-07,0.764093,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,125886,10896.4,1.33433,0.0949411,0.00136513,0.750516,125886,10896.4,1.33433,0.0949411,1.30155e-09,0.764093,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,125886,10896.4,1.33433,0.0949411,4.91392e-06,0.750516,125886,10896.4,1.33433,0.0949411,1.94013e-09,0.764093,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,125886,10896.4,1.33433,0.094941,9.67498e-05,0.750516,125886,10896.4,1.33433,0.0949411,6.033e-08,0.764093,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,125886,10896.4,1.33433,0.0949411,0.127112,0.750516,125886,10896.4,1.33433,0.0949411,1.1147e-07,0.764093,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,125886,10896.4,1.33433,0.0949411,0.135955,0.750516,125886,10896.4,1.33433,0.0949411,5.23866e-07,0.764093,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,125886,10896.4,1.33433,0.094941,0.000877153,0.750516,125886,10896.4,1.33433,0.0949411,2.67857e-08,0.764093,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,125886,10893.6,35.6488,0.0949411,5.53645e+24,0.750516,125886,10893.6,35.6488,0.0949411,0.261103,0.764093,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,125886,10893.6,35.6488,0.094941,2.89267e+24,0.750516,125886,10893.6,35.6488,0.0949411,0.989092,0.764093,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,125886,10893.6,35.6488,0.0949411,2.85918e+23,0.750516,125886,10893.6,35.6488,0.0949411,1,0.764093,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,125886,10893.6,35.6488,0.094941,3.90855e+22,0.750516,125886,10893.6,35.6488,0.0949411,1,0.764093,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,125886,10893.6,35.6488,0.0949411,1.9756e+30,0.750516,125886,10893.6,35.6488,0.0949411,1,0.764093,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,125886,10893.6,35.6488,0.0949411,2.88296e+24,0.750516,125886,10893.6,35.6488,0.0949411,1,0.764093,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,125886,10893.6,35.6488,0.0949411,1.02379e+23,0.750516,125886,10893.6,35.6488,0.0949411,0.284478,0.764093,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,125886,10893.6,35.6488,0.094941,5.13376e+20,0.750516,125886,10893.6,35.6488,0.0949411,1.08642,0.764093,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,125886,10893.6,35.6488,0.094941,5.74482e+27,0.750516,125886,10893.6,35.6488,0.0949411,1.69303,0.764093,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,125886,10893.6,35.6488,0.0949411,6.50044e+23,0.750516,125886,10893.6,35.6488,0.0949411,1.00839,0.764093,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,125886,10893.6,35.6488,0.094941,1.47796e+37,0.750516,125886,10893.6,35.6488,0.0949411,2.42111,0.764093,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,125886,10893.6,35.6488,0.094941,7.83319e+21,0.750516,125886,10893.6,35.6488,0.0949411,0.521567,0.764093,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,125886,10893.6,35.6488,0.0949411,9.42791e+23,0.750516,125886,10893.6,35.6488,0.0949411,0.448218,0.764093,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,125886,10893.6,35.6488,0.0949411,1.31465e+25,0.750516,125886,10893.6,35.6488,0.0949411,1,0.764093,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,125886,10893.6,35.6488,0.094941,6.16712e+30,0.750516,125886,10893.6,35.6488,0.0949411,4.10852,0.764093,False,69.0|274,411
