rep,id,f,h,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.636323,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|4|274|4|274|70.0,0.616956,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|4|274|4|274|70.0,0.588685,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|4|274|4|274|70.0,0.588685,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|4|274|4|274|70.0,0.578445,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|4|274|4|274|70.0,0.578445,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|4|274|4|274|70.0,0.491967,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|4|274|4|274|70.0,0.491967,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|4|274|4|274|70.0,0.516211,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.292272,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|3|274|3|274|70.0,0.29881,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|3|274|3|274|70.0,0.29843,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|3|274|3|274|70.0,0.29843,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|3|274|3|274|70.0,0.29843,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|3|274|3|274|70.0,0.280462,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|3|274|3|274|70.0,0.301877,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|3|274|3|274|70.0,0.305165,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|3|274|3|274|70.0,0.270728,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.561641,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|5|274|5|274|70.0,0.5409,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|5|274|5|274|70.0,0.557056,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|5|274|5|274|70.0,0.597505,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|5|274|5|274|70.0,0.623857,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|5|274|5|274|70.0,0.513586,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|5|274|5|274|70.0,0.618573,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|5|274|5|274|70.0,0.618573,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|5|274|5|274|70.0,0.618573,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.579972,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|6|274|6|274|70.0,0.553254,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|6|274|6|274|70.0,0.653551,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|6|274|6|274|70.0,0.592183,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|6|274|6|274|70.0,0.643811,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|6|274|6|274|70.0,0.600545,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|6|274|6|274|70.0,0.590758,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|6|274|6|274|70.0,0.593636,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|6|274|6|274|70.0,0.593636,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.42531,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|8|274|8|274|70.0,0.414863,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|8|274|8|274|70.0,0.414863,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|8|274|8|274|70.0,0.414863,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|8|274|8|274|70.0,0.403384,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|8|274|8|274|70.0,0.403384,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|8|274|8|274|70.0,0.403384,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|8|274|8|274|70.0,0.403384,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|8|274|8|274|70.0,0.390723,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.377627,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|7|274|7|274|70.0,0.377627,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|7|274|7|274|70.0,0.377627,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|7|274|7|274|70.0,0.367696,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|7|274|7|274|70.0,0.402447,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|7|274|7|274|70.0,0.368377,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|7|274|7|274|70.0,0.414339,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|7|274|7|274|70.0,0.429317,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|7|274|7|274|70.0,0.322635,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.577191,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|9|274|9|274|70.0,0.575246,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|9|274|9|274|70.0,0.583707,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|9|274|9|274|70.0,0.58601,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|9|274|9|274|70.0,0.486251,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|9|274|9|274|70.0,0.580038,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|9|274|9|274|70.0,0.487239,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|9|274|9|274|70.0,0.453858,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|9|274|9|274|70.0,0.635772,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.623203,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|10|274|10|274|70.0,0.685034,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|10|274|10|274|70.0,0.726641,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|10|274|10|274|70.0,0.632764,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|10|274|10|274|70.0,0.649216,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|10|274|10|274|70.0,0.619029,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|10|274|10|274|70.0,0.619029,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|10|274|10|274|70.0,0.753693,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|10|274|10|274|70.0,0.5778,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.294134,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|12|274|12|274|70.0,0.331709,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|12|274|12|274|70.0,0.330914,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|12|274|12|274|70.0,0.3143,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|12|274|12|274|70.0,0.305878,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|12|274|12|274|70.0,0.370761,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|12|274|12|274|70.0,0.370761,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|12|274|12|274|70.0,0.392281,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|12|274|12|274|70.0,0.342997,1.42364,1.24688,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.385619,1.42364,1.24688,70.0|274,411
2,9|411|9|411|sample|11|274|11|274|70.0,0.385619,1.42364,1.24688,70.0|274,411
3,9|411|9|411|sample|11|274|11|274|70.0,0.381878,1.42364,1.24688,70.0|274,411
4,9|411|9|411|sample|11|274|11|274|70.0,0.381878,1.42364,1.24688,70.0|274,411
5,9|411|9|411|sample|11|274|11|274|70.0,0.487991,1.42364,1.24688,70.0|274,411
6,9|411|9|411|sample|11|274|11|274|70.0,0.487991,1.42364,1.24688,70.0|274,411
7,9|411|9|411|sample|11|274|11|274|70.0,0.404222,1.42364,1.24688,70.0|274,411
8,9|411|9|411|sample|11|274|11|274|70.0,0.38581,1.42364,1.24688,70.0|274,411
9,9|411|9|411|sample|11|274|11|274|70.0,0.38581,1.42364,1.24688,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,58.4428,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|1|1|274|1|274|69.0,34.4101,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|1|1|274|1|274|69.0,0.114273,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|1|1|274|1|274|69.0,3.28312,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|1|1|274|1|274|69.0,0.0126224,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|1|1|274|1|274|69.0,0.564123,0.78112,10.0375,69.0|274,411
