id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,138.059171
9|411|9|411|sample|3|274|3|274|70.0,134.186997
9|411|9|411|sample|5|274|5|274|70.0,158.959708
9|411|9|411|sample|6|274|6|274|70.0,156.740727
9|411|9|411|sample|8|274|8|274|70.0,137.410850
9|411|9|411|sample|7|274|7|274|70.0,136.481858
9|411|9|411|sample|9|274|9|274|70.0,155.066368
9|411|9|411|sample|10|274|10|274|70.0,157.932650
9|411|9|411|sample|12|274|12|274|70.0,133.961373
9|411|9|411|sample|11|274|11|274|70.0,135.591462
9|411|9|411|cc|1|1|274|1|274|69.0,12.436393
9|411|9|411|cc|2|1|274|1|274|69.0,12.521189
9|411|9|411|cc|3|1|274|1|274|69.0,12.331739
9|411|9|411|cc|4|1|274|1|274|69.0,12.413804
9|411|9|411|cc|5|1|274|1|274|69.0,-19.048844
9|411|9|411|cc|6|1|274|1|274|69.0,12.385674
9|411|9|411|cc|7|1|274|1|274|69.0,12.562997
9|411|9|411|cc|8|1|274|1|274|69.0,13.369728
9|411|9|411|vc|1|2|274|2|274|69.0,19.773755
9|411|9|411|vc|2|2|274|2|274|69.0,19.755487
9|411|9|411|vc|3|2|274|2|274|69.0,19.926718
9|411|9|411|vc|4|2|274|2|274|69.0,19.785740
9|411|9|411|vc|5|2|274|2|274|69.0,19.874624
9|411|9|411|vc|6|2|274|2|274|69.0,-11.958165
9|411|9|411|vc|7|2|274|2|274|69.0,19.991867
9|411|9|411|vc|8|2|274|2|274|69.0,-12.098476
8|152|8|152|sample|8|322|8|322|65.0,148.479906
8|152|8|152|sample|7|322|7|322|65.0,148.405132
8|152|8|152|sample|6|322|6|322|65.0,153.390499
8|152|8|152|sample|5|322|5|322|65.0,151.777121
8|152|8|152|sample|12|322|12|322|28.0,146.523112
8|152|8|152|sample|11|322|11|322|28.0,111.211178
8|152|8|152|sample|10|322|10|322|28.0,147.552617
8|152|8|152|sample|9|322|9|322|28.0,150.044136
8|152|8|152|sample|3|322|3|322|22.0,147.787396
8|152|8|152|sample|4|322|4|322|22.0,149.303470
8|152|8|152|cc|1|1|322|1|322|69.0,-20.309714
8|152|8|152|cc|2|1|322|1|322|69.0,12.151349
8|152|8|152|cc|3|1|322|1|322|69.0,12.108462
8|152|8|152|cc|4|1|322|1|322|69.0,12.196699
8|152|8|152|cc|5|1|322|1|322|69.0,-20.446031
8|152|8|152|cc|6|1|322|1|322|69.0,12.102409
8|152|8|152|cc|7|1|322|1|322|69.0,12.195687
8|152|8|152|cc|8|1|322|1|322|69.0,-20.291333
