rep,id,f,h,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.479681,1.46229,-25.657,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.304471,1.46229,-13.3549,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.588321,1.46229,-17.9114,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.727118,1.46229,-24.7124,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.376666,1.46229,-32.9733,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.385489,1.46229,-12.8859,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.490922,1.46229,-12.7145,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.70016,1.46229,-20.1572,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.381561,1.46229,-22.7981,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.413274,1.46229,-14.3816,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.360451,1.46229,-26.214,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.895258,1.46229,-19.0342,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.6199,1.46229,-27.784,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.501383,1.46229,-24.962,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.231918,1.46229,-52.2232,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.457859,1.46229,-29.6609,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.927208,1.46229,-17.7271,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.755735,1.46229,-31.942,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.637997,1.46229,3.01562,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0.365553,1.46229,-32.5989,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.269498,1.46229,-19.5545,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.27199,1.46229,2.5519,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.42557,1.46229,-15.4607,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.498315,1.46229,0.712096,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.343447,1.46229,-32.771,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.400126,1.46229,-11.5897,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.180576,1.11906,-12.7522,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.186937,1.11906,3.66493,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.217586,1.11906,-19.3155,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.159418,1.11906,-36.9996,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.0547329,1.11906,-29.47,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.0554439,1.11906,-5.67027,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0.0759859,1.11906,-7.61149,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.0752393,1.11906,-27.7517,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.16671,1.11906,-13.928,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.17627,1.11906,-13.7406,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0.053474,1.11906,-20.5578,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,0.0529136,1.11906,-47.2882,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,0.077557,1.11906,-11.3988,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0.125519,1.11906,-34.1103,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,0.108672,1.11906,-28.6769,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,0.0499743,1.11906,-15.1973,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,0.247751,1.11906,-16.7072,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,1.12223,1.11906,1.11035,69.0|322,152
