id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.0268822,0,0,0.0342248,0,0,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-0.120855,0,0,-0.135203,0,0,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.0860751,0,0,0.078118,0,0,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.110992,0,0,0.114423,0,0,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-0.0516969,0,0,-0.0625325,0,0,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-0.0780539,0,0,-0.0859422,0,0,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.0374033,0,0,0.0414229,0,0,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.11236,0,0,0.105514,0,0,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-0.104131,0,0,-0.0872546,0,0,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-0.0507366,0,0,-0.0518213,0,0,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-0.0043381,0,0,-2.84156e-07,0,0,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-0.00644824,0,0,1.44902e-07,0,0,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.000548043,0,0,2.94109e-07,0,0,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.00565747,0,0,-3.44814e-07,0,0,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.000820951,0,0,-2.65298e-07,0,0,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.0069712,0,0,-1.19849e-07,0,0,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,4.02488e-05,0,0,-1.59571e-07,0,0,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-0.000625333,0,0,-1.14089e-07,0,0,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.00637019,0,0,-1.91393e-07,0,0,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-0.00400786,0,0,-2.14803e-07,0,0,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.00569228,0,0,5.11557e-09,0,0,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.00395331,0,0,2.77763e-07,0,0,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-0.00101965,0,0,-9.17077e-08,0,0,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-0.00318271,0,0,-2.35004e-07,0,0,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.00157084,0,0,-7.73575e-09,0,0,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-0.0109945,0,0,-8.035e-08,0,0,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,-0.0101919,0,0,-0.0166596,0,0,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.0223924,0,0,0.0151812,0,0,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.00653697,0,0,0.00713043,0,0,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-0.0157881,0,0,-0.0222962,0,0,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-0.0370448,0,0,-0.0513642,0,0,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-0.00764522,0,0,-0.012991,0,0,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-0.0105026,0,0,-0.0186568,0,0,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.0381931,0,0,0.0337176,0,0,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-0.017198,0,0,-0.0132867,0,0,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.0242077,0,0,0.0158129,0,0,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.00288089,0,0,1.72836e-07,0,0,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,-8.97666e-05,0,0,2.1436e-07,0,0,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.00249245,0,0,1.74216e-07,0,0,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0.00588452,0,0,1.86797e-07,0,0,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-1.80279e-05,0,0,1.43274e-07,0,0,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-0.00162848,0,0,7.11643e-08,0,0,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0.00704112,0,0,-1.55164e-07,0,0,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0.000249109,0,0,-1.51554e-07,0,0,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0.00140389,0,0,1.79588e-07,0,0,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-0.0101843,0,0,1.6565e-07,0,0,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-0.00326809,0,0,-1.2817e-07,0,0,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,-0.00312674,0,0,-1.2294e-07,0,0,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,-0.00120239,0,0,7.90852e-08,0,0,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0.0115663,0,0,-7.12977e-08,0,0,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,0.00399484,0,0,-2.33479e-07,0,0,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,0.000539712,0,0,1.85507e-07,0,0,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,0.0112758,0,0,0.00462148,0,0,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,-0.00150813,0,0,-0.00418187,0,0,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,0.00077683,0,0,0.00529747,0,0,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,-0.00524162,0,0,-0.011243,0,0,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,-0.115136,0,0,-0.120196,0,0,28.0|276,1056
8|1056|8|1056|sample|11|276|11|276|28.0,-0.0833429,0,0,-0.0790268,0,0,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,0.0915811,0,0,0.0827393,0,0,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0.125061,0,0,0.124215,0,0,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0.0233025,0,0,0.0254548,0,0,22.0|276,1056
