rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,0,-4.44976,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,0,-1.91266,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,0,-0.390859,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,0,3.38616,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,0,2.08469,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,0,-0.525755,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,0,-2.67628,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,0,4.85546,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,0,-3.68274,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,0,1.50547,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,0,-1.25372,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,0,0.334093,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,0,-2.23681,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,0,0.175197,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,0,5.49593,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,0,3.26021,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,0,-1.22554,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,0,4.1021,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,0,-4.91818,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,0,0.0693008,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,0,-6.56466,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,0,3.39994,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,0,-7.51938,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,0,-1.22537,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,0,-1.11279,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,0,3.59509,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0,0,-9.144,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0,0,-7.51901,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0,0,-5.03628,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0,0,0.706974,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0,0,-2.34496,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0,0,-2.60141,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0,0,2.64528,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0,0,3.96026,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0,0,3.77738,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0,0,-2.75907,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0,0,1.9859,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,0,0,2.93645,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,0,0,-0.00883195,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0,0,-1.12102,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,0,0,1.98676,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,0,0,-0.460723,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,0,0,0.59499,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,0,0,5.80995,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0,0,-4.52274,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0,0,5.2261,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,0,0,5.97686,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,0,0,3.94432,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,0,0,7.40313,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,0,0,-1.56218,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,0,0,-7.6098,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,0,0,3.31176,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,0,0,-1.33614,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,0,0,1.36228,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,0,0,-6.81535,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,0,0,1.89464,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,0,0,3.53855,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,0,0,1.23951,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,0,0,-0.713671,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,0,0,-0.775169,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,0,0,6.62145,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,0,0,-6.04807,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,0,0,-6.35196,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,0,0,-1.70963,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,0,0,-4.58216,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,0,0,5.69915,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,0,0,-5.04836,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,0,0,-3.84181,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,0,0,-0.051636,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,0,0,-0.335693,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,0,0,0.458141,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,0,0,7.13395,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,0,0,4.60018,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,0,0,-2.24938,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,0,0,-1.826,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,0,0,2.01536,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,0,0,2.96927,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,0,0,-6.8046,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,0,0,4.86654,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,0,0,4.94247,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,0,0,4.91995,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,0,0,5.02961,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,0,0,-6.88803,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,0,0,-5.23084,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,0,0,-2.21396,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,0,0,-0.591436,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,0,0,-0.675636,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,0,0,-4.6629,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,0,0,-4.47769,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,0,0,-11.0577,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,0,0,4.41557,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,0,0,-5.60628,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,0,0,-5.04843,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,0,0,3.29916,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,0,0,1.46859,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,0,0,0.591079,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,0,0,5.31557,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,0,0,-2.73477,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,0,0,-1.18625,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,0,0,5.12609,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,0,0,7.07735,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,0,0,-2.17914,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,0,0,2.34229,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,0,0,-1.51371,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,0,0,-2.41914,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,0,0,-4.02271,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0,0,-3.70612,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0,0,-2.85666,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0,0,3.7702,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,0,0,-8.97774,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0,0,-4.20409,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0,0,0.883689,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0,0,1.78179,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0,0,1.01677,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0,0,-9.31002,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0,0,-3.72491,69.0|292,1159
