rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,1.64342,0,0,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,1.1626,0,0,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.8689,0,0,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,1.88854,0,0,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,1.5133,0,0,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,1.35184,0,0,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,1.82602,0,0,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,1.79677,0,0,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,1.29893,0,0,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,1.31331,0,0,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-1.2349,0,0,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.348418,0,0,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-0.47771,0,0,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-0.603802,0,0,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.992582,0,0,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.557198,0,0,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-0.468948,0,0,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-0.789325,0,0,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.04678,0,0,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-0.335231,0,0,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.733236,0,0,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-1.01057,0,0,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.190822,0,0,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-1.11837,0,0,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,1.55769,0,0,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.943774,0,0,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.55654,0,0,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.631716,0,0,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.649724,0,0,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.657384,0,0,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,-0.625075,0,0,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-0.576597,0,0,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,-0.481429,0,0,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,-0.220945,0,0,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.336146,0,0,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.340717,0,0,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,-1.04256,0,0,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,-0.546888,0,0,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,-0.994633,0,0,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,-0.510074,0,0,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,1.47431,0,0,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,-0.358859,0,0,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-0.179962,0,0,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,-0.831999,0,0,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0.516321,0,0,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0.44225,0,0,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,0.500063,0,0,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,0.47041,0,0,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,2.30284,0,0,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,-0.0335856,0,0,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,-0.667096,0,0,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,2.92412,0,0,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,0.346815,0,0,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,0.20258,0,0,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,0.237739,0,0,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,0.182435,0,0,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,-1.08581,0,0,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,-0.840449,0,0,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,-0.432246,0,0,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,-0.441216,0,0,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,-0.00963272,0,0,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,0.0650472,0,0,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,-0.422552,0,0,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,2.17967,0,0,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,2.12241,0,0,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,1.01983,0,0,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,-0.640464,0,0,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,0.610094,0,0,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,-0.682312,0,0,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,-1.34282,0,0,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,0.139015,0,0,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.494664,0,0,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,0.282936,0,0,69.0|276,1056
