rep,id,f,h,L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.512478,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.31422,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.567275,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.530134,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.424886,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.408559,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.611172,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.615926,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.361119,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.411935,1.5243,-5.9435,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.212534,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0.115981,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.510814,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.103107,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.307735,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0.0927277,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.0172165,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.568063,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.0127154,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0.0243496,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.0647046,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.53246,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0.112673,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0.0257649,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0.128874,1.52422,-5.9435,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0.377041,1.52422,-5.9435,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,0.310871,1.52431,-5.9435,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,0.373156,1.52431,-5.9435,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,0.437774,1.52431,-5.9435,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,0.363227,1.52431,-5.9435,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,0.0606148,1.10946,-5.94349,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,0.0695864,1.10946,-5.94349,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,0.0683819,1.10946,-5.94349,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,0.0797049,1.10946,-5.94349,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,0.223378,1.5243,-5.9435,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,0.288069,1.5243,-5.9435,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,0.0910977,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,0.276308,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,0.143692,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,0.0495245,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,0.242178,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,0.0152319,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,0.555652,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,0.0253402,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,0.169418,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,0.126398,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,0.2229,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,0.106435,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,0.0363598,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,0.186859,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,0.213165,1.5243,-5.9435,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,0.137818,1.5243,-5.9435,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,0.112654,1.52422,-5.94356,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,0.113654,1.52422,-5.94356,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,0.119114,1.52422,-5.94356,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,0.099044,1.52422,-5.94356,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,0.033138,1.75473,-5.84395,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,0.0420042,1.75473,-5.84395,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,0.0628772,1.75473,-5.84395,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,0.0637051,1.75473,-5.84395,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,0.115985,1.86096,-5.94323,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,0.122314,1.86096,-5.94323,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,0.0571371,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,0.0347711,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,0.46292,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,0.140289,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,0.189149,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,0.547403,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,0.0730084,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,0.182066,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,0.238661,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,0.143634,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,0.670392,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,0.0649303,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,0.0358113,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,0.321326,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,0.0200933,1.5243,-5.9435,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,0.145481,1.5243,-5.9435,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,0.343266,0.392268,-5.9435,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,0.269169,0.392268,-5.9435,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,0.204657,0.392268,-5.9435,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,0.319639,0.392268,-5.9435,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,0.0207241,2.02714,-5.94348,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,0.0198576,2.02714,-5.94348,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,0.0244151,2.02714,-5.94348,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,0.0253389,2.02714,-5.94348,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,0.233831,1.5243,-5.94255,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,0.250626,1.5243,-5.94255,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,0.0115807,1.52429,-5.94346,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,0.178801,1.52429,-5.94346,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,0.389874,1.52429,-5.94346,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,0.0996263,1.52429,-5.94346,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,0.0723894,1.52429,-5.94346,69.0|292,462
