id,f_SAEM,h_SAEM,L_gap_SAEM,f_mean,h_mean,L_gap_mean,f_mode,h_mode,L_gap_mode,f_sd,h_sd,L_gap_sd,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.533403,1.43104,2.70757,0.529446,1.43104,2.70757,0.509941,1.43104,2.70757,0.0394312,3.65002e-08,4.21468e-08,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.288794,1.43104,2.70757,0.28722,1.43104,2.70757,0.290107,1.43104,2.70757,0.0246877,3.65002e-08,9.42432e-08,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.554551,1.43104,2.70757,0.575167,1.43104,2.70757,0.574648,1.43104,2.70757,0.0475797,4.71216e-08,1.22878e-07,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.625172,1.43104,2.70757,0.611143,1.43104,2.70757,0.603189,1.43104,2.70757,0.0404674,2.98023e-08,9.88431e-08,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.394763,1.43104,2.70757,0.394959,1.43104,2.70757,0.392735,1.43104,2.70757,0.0240502,6.98926e-08,5.96046e-08,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.371593,1.43104,2.70757,0.368473,1.43104,2.70757,0.367308,1.43104,2.70757,0.0328178,0,4.21468e-08,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.528351,1.43104,2.70757,0.51903,1.43104,2.70757,0.518552,1.43104,2.70757,0.0380813,4.21468e-08,8.9407e-08,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.630008,1.43104,2.70757,0.626273,1.43104,2.70757,0.610852,1.43104,2.70757,0.0537075,3.65002e-08,5.96046e-08,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.343267,1.43104,2.70757,0.3504,1.43104,2.70757,0.348667,1.43104,2.70757,0.0302607,2.98023e-08,5.96046e-08,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.405113,1.43104,2.70757,0.402883,1.43104,2.70757,0.401732,1.43104,2.70757,0.0391027,4.21468e-08,8.42937e-08,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,22.0561,0.330816,6.08066,32.8267,0.330816,6.08066,1,0.330816,6.08066,206.971,2.58096e-08,0,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,17.511,0.330816,6.08066,23.0601,0.330816,6.08066,1,0.330816,6.08066,109.878,2.78775e-08,0,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,7.45057,0.330816,6.08066,21.8852,0.330816,6.08066,1,0.330816,6.08066,96.5946,2.76275e-08,8.42937e-08,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,9.12809,0.330816,6.08066,22.6037,0.330816,6.08066,0.999999,0.330816,6.08066,193.502,2.55393e-08,1.19209e-07,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,40.0471,0.330816,6.08066,26.1749,0.330816,6.08066,1,0.330816,6.08066,122.441,2.71205e-08,1.46001e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,51.1244,0.330816,6.08066,14.6526,0.330816,6.08066,1,0.330816,6.08066,87.3563,2.44284e-08,8.42937e-08,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,53.0412,0.330816,6.08066,38.3866,0.330816,6.08066,1.00195,0.330816,6.08066,255.491,2.68635e-08,2.6656e-07,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,4.17445,0.330816,6.08066,14.1804,0.330816,6.08066,1,0.330816,6.08066,66.0824,2.23517e-08,2.2302e-07,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,8.07649,0.330816,6.08066,15.4044,0.330816,6.08066,1,0.330816,6.08066,49.089,2.81253e-08,1.19209e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,6.53812,0.330816,6.08066,23.0407,0.330816,6.08066,0.999999,0.330816,6.08066,88.9003,2.32644e-08,2.06477e-07,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,10.3259,0.330816,6.08066,13.8001,0.330816,6.08066,1,0.330816,6.08066,80.4134,2.66039e-08,1.88486e-07,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,8.64926,0.330816,6.08066,30.9357,0.330816,6.08066,1,0.330816,6.08066,184.604,2.499e-08,1.68587e-07,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,31.9144,0.330816,6.08066,48.1368,0.330816,6.08066,1,0.330816,6.08066,477.73,2.86145e-08,1.19209e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,26.3106,0.330816,6.08066,28.7656,0.330816,6.08066,1,0.330816,6.08066,147.622,3.02644e-08,1.19209e-07,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,11.2809,0.330816,6.08066,19.9857,0.330816,6.08066,1,0.330816,6.08066,88.8072,2.52661e-08,1.46001e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,30.6499,0.330816,6.08066,19.7941,0.330816,6.08066,1,0.330816,6.08066,104.306,2.78775e-08,1.88486e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.213393,1.19409,3.36593,0.211344,1.19409,3.36593,0.207289,1.19409,3.36593,0.0224897,1.49012e-08,1.1151e-07,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.237332,1.19409,3.36593,0.239439,1.19409,3.36593,0.23065,1.19409,3.36593,0.0266236,2.58096e-08,5.96046e-08,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.229931,1.19409,3.36593,0.233773,1.19409,3.36593,0.222898,1.19409,3.36593,0.022659,4.21468e-08,1.39785e-07,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.195505,1.19409,3.36593,0.198853,1.19409,3.36593,0.197963,1.19409,3.36593,0.0187574,0,9.42432e-08,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.061173,1.12862,0.363106,0.0605351,1.12862,0.363106,0.0588334,1.12862,0.363106,0.00508091,2.58096e-08,3.332e-08,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.06964,1.12862,0.363106,0.0692336,1.12862,0.363106,0.0699687,1.12862,0.363106,0.00630459,5.16191e-08,2.8371e-08,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.0661575,1.12862,0.363106,0.0691197,1.12862,0.363106,0.0683107,1.12862,0.363106,0.0084195,5.16191e-08,2.98023e-08,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.0816175,1.12862,0.363106,0.0807319,1.12862,0.363106,0.0815004,1.12862,0.363106,0.00911673,4.21468e-08,2.9333e-08,28.0|322,152
