id,f_SAEM,h_SAEM,L_gap_SAEM,f_mode,h_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.513218,1.54635,-19.3036,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.513218,1.54635,-18.9592,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.513218,1.54635,-19.873,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.513218,1.54635,-19.5602,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.513218,1.54635,-19.2683,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.513218,1.54635,-19.9805,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.513218,1.54635,-19.3422,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.513218,1.54635,-19.6357,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.513218,1.54635,-19.7706,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.513218,1.54635,-19.5616,0.513218,1.54617,-19.7608,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.0996626,1.54635,-19.4889,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.0996626,1.54635,-19.541,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.0996626,1.54635,-19.7635,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.0996626,1.54635,-19.3217,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.0996626,1.54635,-19.3552,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.0996626,1.54635,-19.3024,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.0996626,1.54635,-19.8181,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.0996626,1.54635,-19.7347,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.0996626,1.54635,-18.9782,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.0996626,1.54635,-19.8097,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.0996626,1.54635,-19.398,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.0996626,1.54635,-19.568,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.0996626,1.54635,-19.5811,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.0996626,1.54635,-19.6198,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.0996626,1.54635,-19.4213,0.0996495,1.54617,-19.7608,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0.0996626,1.54635,-18.9731,0.0996495,1.54617,-19.7608,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.357144,1.54635,-5.72736,0.356812,1.54617,-5.59802,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.357144,1.54635,-5.86605,0.356812,1.54617,-5.59776,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.357144,1.54635,-5.06002,0.356812,1.54617,-5.59734,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.357144,1.54635,-5.85364,0.356812,1.54617,-5.59749,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.134502,1.54635,-5.49755,0.134447,1.54617,-5.598,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.134502,1.54635,-5.46462,0.134447,1.54617,-5.59795,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.134502,1.54635,-4.83846,0.134447,1.54617,-5.59764,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.134502,1.54635,-6.13812,0.134447,1.54617,-5.59761,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0.286792,1.54635,-5.30869,0.286613,1.54617,-5.59713,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.286792,1.54635,-5.1856,0.286613,1.54617,-5.59738,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.0996759,1.54635,-5.59042,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0.0996759,1.54635,-5.55464,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.0996759,1.54635,-5.1821,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0.0996759,1.54635,-5.63087,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,0.0996759,1.54635,-5.63288,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,0.0996759,1.54635,-5.52704,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0.0996759,1.54635,-5.20687,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0.0996759,1.54635,-5.29509,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0.0996759,1.54635,-5.90136,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,0.0996759,1.54635,-5.94146,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0.0996759,1.54635,-5.62935,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0.0996759,1.54635,-5.69813,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0.0996759,1.54635,-5.22742,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0.0996759,1.54635,-4.67437,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,0.0996759,1.54635,-5.86204,0.0996629,1.54617,-5.59788,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,0.0996759,1.54635,-5.64779,0.0996629,1.54617,-5.59788,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,0.0996626,1.54635,-4.4995,0.0996495,1.54617,-3.85013,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,0.0996626,1.54635,-4.56897,0.0996495,1.54617,-3.84873,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,0.0996626,1.54635,-4.44434,0.0996495,1.54617,-3.84991,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,0.0996626,1.54635,-4.28769,0.0996495,1.54617,-3.84983,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,0.0442256,1.54635,-4.28893,0.0442292,1.54617,-3.85106,28.0|276,1056
8|1056|8|1056|sample|11|276|11|276|28.0,0.0442256,1.54635,-4.6082,0.0442292,1.54617,-3.85025,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,0.0442256,1.54635,-4.70937,0.0442292,1.54617,-3.85014,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0.0442256,1.54635,-3.80166,0.0442292,1.54617,-3.8499,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0.0996626,1.54635,-4.512,0.0996495,1.54617,-3.84958,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,0.0996626,1.54635,-4.30362,0.0996495,1.54617,-3.85023,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0.0996626,1.54635,-4.22891,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0.0996626,1.54635,-4.12007,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0.0996626,1.54635,-4.22931,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0.0996626,1.54635,-3.75028,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0.0996626,1.54635,-4.26096,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,0.0996626,1.54635,-4.33698,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0.0996626,1.54635,-4.21999,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0.0996626,1.54635,-4.55799,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.0996626,1.54635,-4.25129,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,0.0996626,1.54635,-4.21396,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,0.0996626,1.54635,-4.28153,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,0.0996626,1.54635,-4.23465,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,0.0996626,1.54635,-4.50026,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0.0996626,1.54635,-4.16776,0.0996495,1.54617,-3.84899,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,0.0996626,1.54635,-4.49835,0.0996495,1.54617,-3.849,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,0.0996626,1.54635,-4.93018,0.0996495,1.54617,-3.84899,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,0.0192811,1.54635,10.9282,0.0191772,1.54617,10.9636,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,0.0192811,1.54635,11.0139,0.0191772,1.54617,10.9986,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,0.0192811,1.54635,11.1323,0.0191772,1.54617,11.1147,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,0.0192811,1.54635,11.2105,0.0191772,1.54617,11.1114,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,0.0192811,1.54635,1.54396,0.0191772,1.54617,3.10571,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,0.0192811,1.54635,2.36799,0.0191772,1.54617,3.24892,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,0.0192811,1.54635,2.24845,0.0191772,1.54617,3.55699,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,0.0192811,1.54635,1.88411,0.0191772,1.54617,3.39504,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,0.172995,1.54635,2.23902,0.173073,1.54617,4.26463,22.0|292,462
8|462|8|462|sample|12|292|12|292|22.0,0.172995,1.54635,4.55286,0.173073,1.54617,6.0087,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,0.0192811,1.54635,5.61316,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0.0192811,1.54635,6.35408,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,0.0192811,1.54635,6.4104,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0.0192811,1.54635,5.58176,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,0.0192811,1.54635,6.19057,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,0.0192811,1.54635,5.78573,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,0.0192811,1.54635,6.53953,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,0.0192811,1.54635,6.37585,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,0.0192811,1.54635,5.34918,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,0.0192811,1.54635,5.91402,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,0.0192811,1.54635,5.39866,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,0.0192811,1.54635,5.36222,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,0.0192811,1.54635,5.97591,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,0.0192811,1.54635,6.15103,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,0.0192811,1.54635,6.01199,0.0191772,1.54617,5.94012,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,0.0192811,1.54635,6.24013,0.0191772,1.54617,5.94012,69.0|292,462
8|1159|8|1159|sample|8|292|8|292|65.0,0.205014,1.54635,-22.1436,0.205009,1.54617,-22.4386,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,0.205014,1.54635,-21.6877,0.205009,1.54617,-22.4386,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,0.205014,1.54635,-21.8362,0.205009,1.54617,-22.4386,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,0.205014,1.54635,-21.8485,0.205009,1.54617,-22.4386,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,0.0534221,1.54635,-21.8332,0.0534232,1.54617,-22.4386,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,0.0534221,1.54635,-21.8766,0.0534232,1.54617,-22.4386,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,0.0534221,1.54635,-21.9386,0.0534232,1.54617,-22.4386,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,0.0534221,1.54635,-21.9435,0.0534232,1.54617,-22.4386,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,0.479351,1.54635,-22.0303,0.482142,1.54617,-22.4386,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,0.479351,1.54635,-22.3742,0.482142,1.54617,-22.4386,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,0.0534221,1.54635,-22.2065,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,0.0534221,1.54635,-22.264,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,0.0534221,1.54635,-22.0805,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,0.0534221,1.54635,-21.7925,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,0.0534221,1.54635,-22.4099,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,0.0534221,1.54635,-22.7441,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,0.0534221,1.54635,-22.656,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,0.0534221,1.54635,-22.0388,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,0.0534221,1.54635,-22.0099,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,0.0534221,1.54635,-22.4573,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|3|2|292|2|292|69.0,0.0534221,1.54635,-22.1825,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,0.0534221,1.54635,-22.0797,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,0.0534221,1.54635,-21.6374,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,0.0534221,1.54635,-22.1584,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,0.0534221,1.54635,-22.3266,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,0.0534221,1.54635,-22.1638,0.0534232,1.54617,-22.4386,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,0.0242258,1.54635,-15.4873,0.0242265,1.54617,-15.4485,65.0|103,1197
8|1197|8|1197|sample|8|103|8|103|65.0,0.0242258,1.54635,-16.0557,0.0242265,1.54617,-15.4485,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,0.0242258,1.54635,-15.4576,0.0242265,1.54617,-15.4485,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,0.0242258,1.54635,-16.1038,0.0242265,1.54617,-15.4485,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,0.0173802,1.54635,-15.9908,0.0173817,1.54617,-15.4485,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,0.0173802,1.54635,-15.669,0.0173817,1.54617,-15.4485,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,0.0173802,1.54635,-16.1633,0.0173817,1.54617,-15.4485,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,0.0996626,1.54635,-15.6284,0.0996495,1.54617,-15.4485,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,0.0996626,1.54635,-15.4095,0.0996495,1.54617,-15.4485,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,0.0173802,1.54635,-15.9295,0.0173817,1.54617,-15.4485,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,0.0996626,1.54635,-15.7433,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,0.0996626,1.54635,-15.6262,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,0.0996626,1.54635,-15.2856,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,0.0996626,1.54635,-15.8424,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,0.0996626,1.54635,-15.637,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,0.0996626,1.54635,-15.3808,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,0.0996626,1.54635,-15.7151,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,0.0996626,1.54635,-15.5701,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,0.0996626,1.54635,-15.0436,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,0.0996626,1.54635,-15.2241,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,0.0996626,1.54635,-15.7004,0.0996495,1.54617,-15.4485,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,0.0996626,1.54635,-15.2353,0.0996495,1.54617,-15.4485,69.0|103,1197
