id,f_SAEM,h_SAEM,L_gap_SAEM,f_mode,h_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.174323,0.919641,-13.4885,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.174323,0.919641,-13.6851,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.174323,0.919641,-13.8328,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.174323,0.919641,-13.3473,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.174323,0.919641,-13.5042,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.174323,0.919641,-13.8174,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.174323,0.919641,-13.9038,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.174323,0.919641,-14.1226,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.174323,0.919641,-13.5065,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.174323,0.919641,-13.0949,0.174343,0.919689,-13.7093,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.174323,0.919641,-13.4968,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.174323,0.919641,-13.8178,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.174323,0.919641,-13.9159,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.174323,0.919641,-14.1482,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.174323,0.919641,-13.8204,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.174323,0.919641,-14.356,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.174323,0.919641,-13.5902,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.174323,0.919641,-13.7445,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.174323,0.919641,-13.0975,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.174323,0.919641,-13.8025,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.174323,0.919641,-13.8662,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.174323,0.919641,-13.4861,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.174323,0.919641,-13.3551,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.174323,0.919641,-13.2058,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.174323,0.919641,-13.7227,0.174343,0.919689,-13.7093,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0.174323,0.919641,-13.9144,0.174343,0.919689,-13.7093,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.174323,1.23383,-3.81448,0.174343,1.23376,-3.86958,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.174323,1.23383,-4.28838,0.174343,1.23376,-3.86906,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.174323,1.23383,-3.92032,0.174343,1.23376,-3.86814,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.174323,1.23383,-4.36407,0.174343,1.23376,-3.86847,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.174323,1.23383,-4.06316,0.174343,1.23376,-3.87002,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.174323,1.23383,-3.99695,0.174343,1.23376,-3.87013,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.174323,1.23383,-4.00263,0.174343,1.23376,-3.86973,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.174323,1.23383,-4.26283,0.174343,1.23376,-3.86971,28.0|322,152
