id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,151.752700
9|411|9|411|sample|3|274|3|274|70.0,146.225505
9|411|9|411|sample|5|274|5|274|70.0,172.240778
9|411|9|411|sample|6|274|6|274|70.0,172.030105
9|411|9|411|sample|8|274|8|274|70.0,147.307679
9|411|9|411|sample|7|274|7|274|70.0,146.975268
9|411|9|411|sample|9|274|9|274|70.0,169.283213
9|411|9|411|sample|10|274|10|274|70.0,174.780041
9|411|9|411|sample|12|274|12|274|70.0,144.461387
9|411|9|411|sample|11|274|11|274|70.0,145.941587
9|411|9|411|cc|1|1|274|1|274|69.0,13.240567
9|411|9|411|cc|2|1|274|1|274|69.0,13.282364
9|411|9|411|cc|3|1|274|1|274|69.0,13.291422
9|411|9|411|cc|4|1|274|1|274|69.0,13.315266
9|411|9|411|cc|5|1|274|1|274|69.0,13.436764
9|411|9|411|cc|6|1|274|1|274|69.0,13.319444
9|411|9|411|cc|7|1|274|1|274|69.0,13.359362
9|411|9|411|cc|8|1|274|1|274|69.0,13.601657
9|411|9|411|vc|1|2|274|2|274|69.0,21.693475
9|411|9|411|vc|2|2|274|2|274|69.0,21.751363
9|411|9|411|vc|3|2|274|2|274|69.0,21.788945
9|411|9|411|vc|4|2|274|2|274|69.0,21.792037
9|411|9|411|vc|5|2|274|2|274|69.0,21.781908
9|411|9|411|vc|6|2|274|2|274|69.0,21.790379
9|411|9|411|vc|7|2|274|2|274|69.0,21.797375
9|411|9|411|vc|8|2|274|2|274|69.0,21.628392
8|152|8|152|sample|8|322|8|322|65.0,151.418528
8|152|8|152|sample|7|322|7|322|65.0,153.125106
8|152|8|152|sample|6|322|6|322|65.0,160.926650
8|152|8|152|sample|5|322|5|322|65.0,158.699025
8|152|8|152|sample|12|322|12|322|28.0,157.257188
8|152|8|152|sample|11|322|11|322|28.0,155.046072
8|152|8|152|sample|10|322|10|322|28.0,161.728790
8|152|8|152|sample|9|322|9|322|28.0,160.569849
8|152|8|152|sample|3|322|3|322|22.0,152.944382
8|152|8|152|sample|4|322|4|322|22.0,152.769540
8|152|8|152|cc|1|1|322|1|322|69.0,12.837857
8|152|8|152|cc|2|1|322|1|322|69.0,12.785827
8|152|8|152|cc|3|1|322|1|322|69.0,12.829847
8|152|8|152|cc|4|1|322|1|322|69.0,12.891251
8|152|8|152|cc|5|1|322|1|322|69.0,12.840167
8|152|8|152|cc|6|1|322|1|322|69.0,12.835872
8|152|8|152|cc|7|1|322|1|322|69.0,12.870602
8|152|8|152|cc|8|1|322|1|322|69.0,12.827373
8|152|8|152|vc|1|2|322|2|322|69.0,-9.994227
8|152|8|152|vc|2|2|322|2|322|69.0,22.714037
8|152|8|152|vc|3|2|322|2|322|69.0,22.760647
8|152|8|152|vc|4|2|322|2|322|69.0,22.735859
8|152|8|152|vc|5|2|322|2|322|69.0,22.827925
8|152|8|152|vc|6|2|322|2|322|69.0,22.709330
8|152|8|152|vc|7|2|322|2|322|69.0,22.687621
8|152|8|152|vc|8|2|322|2|322|69.0,22.651444
8|1056|8|1056|sample|8|276|8|276|65.0,149.157639
8|1056|8|1056|sample|7|276|7|276|65.0,149.294346
8|1056|8|1056|sample|6|276|6|276|65.0,156.181048
8|1056|8|1056|sample|5|276|5|276|65.0,155.108882
8|1056|8|1056|sample|12|276|12|276|28.0,160.498975
8|1056|8|1056|sample|11|276|11|276|28.0,158.962012
8|1056|8|1056|sample|10|276|10|276|28.0,161.706608
