id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,-0.118921,0,0,-0.0400766,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,0.0178453,0,0,-0.0607602,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,0.0172642,0,0,0.0138369,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,0.125747,0,0,0.0405244,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,0.0363067,0,0,-0.0745037,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,-0.0425853,0,0,-0.0660788,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,-0.0412617,0,0,0.00992562,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,-0.100193,0,0,0.0231501,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,-0.117372,0,0,-0.0688795,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,0.0463652,0,0,-0.061727,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,0.104445,0,0,9.17912e-09,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,0,0.0109276,0,0,3.228e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,0,-0.00162635,0,0,2.51354e-07,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,0,-0.110204,0,0,-9.92518e-08,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0,-0.0130363,0,0,3.39394e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0,-0.145561,0,0,-3.18251e-08,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,0,0.00667258,0,0,-8.9728e-08,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,0,0.0134947,0,0,-4.46241e-08,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,0,0.171306,0,0,-2.72957e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,0,-0.0977153,0,0,5.0717e-08,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,0,-0.0501442,0,0,-1.91155e-08,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,0,0.0803997,0,0,1.34783e-07,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,0,0.0682995,0,0,2.99556e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,0,0.111459,0,0,2.27421e-07,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,0,-0.0100504,0,0,1.96661e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,0,-0.0158642,0,0,-2.29991e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0,0,-0.0172588,0,0,-0.0300304,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0,0,-0.0626444,0,0,-0.00876908,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0,0,0.140053,0,0,0.0273041,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0,0,-0.177476,0,0,0.0122675,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0,0,0.0283449,0,0,-1.84479e-05,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0,0,0.0249994,0,0,-2.05363e-05,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0,0,0.044799,0,0,-1.39829e-05,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0,0,-0.0544767,0,0,-1.37584e-05,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0,0,-0.0445411,0,0,0.00206058,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0,0,-0.152667,0,0,0.00117574,22.0|322,152
