parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,1,,nan,nan,nan,nan
beta_f_mab_virus_22_0_276,0,,2.4991390791085,inf,-4.89822,4.89822
beta_f_mab_virus_22_0_292,0,,1.59471715914135,inf,-3.12559,3.12559
beta_f_mab_virus_22_0_322,0,,2.32597359782486,inf,-4.55882,4.55882
beta_f_mab_virus_28_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_276,0,,2.83388549820898,inf,-5.55431,5.55431
beta_f_mab_virus_28_0_292,0,,2.64991833293971,inf,-5.19374,5.19374
beta_f_mab_virus_28_0_322,0,,2.65680756029458,inf,-5.20725,5.20725
beta_f_mab_virus_32_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_55_0_292,0,,1.61433134974082,inf,-3.16403,3.16403
beta_f_mab_virus_65_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_65_0_276,0,,2.0551382505301,inf,-4.028,4.028
beta_f_mab_virus_65_0_292,0,,1.62264004181444,inf,-3.18032,3.18032
beta_f_mab_virus_65_0_322,0,,1.86011532961486,inf,-3.64576,3.64576
beta_f_mab_virus_69_0_103,0,,46.6860325561594,inf,-91.5029,91.5029
beta_f_mab_virus_69_0_274,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_276,0,,6.43361886581785,inf,-12.6097,12.6097
beta_f_mab_virus_69_0_292,0,,4.14915439164332,inf,-8.13219,8.13219
beta_f_mab_virus_69_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_70_0_274,0,,0.999030499660348,inf,-1.95806,1.95806
h_pop,1.76053301053401,,nan,nan,nan,nan
beta_h_mab_virus_22_0_276,0.180361550217105,,nan,nan,nan,nan
beta_h_mab_virus_22_0_292,0.050214260050117,,9.97988709404309e-08,0.000198746075001056,0.0502141,0.0502145
beta_h_mab_virus_22_0_322,-0.597678809223495,,nan,nan,nan,nan
beta_h_mab_virus_28_0_103,0.281022769273318,,nan,nan,nan,nan
beta_h_mab_virus_28_0_276,0.159917387421729,,8.79752315988779e-08,5.50129244963668e-05,0.159917,0.159918
beta_h_mab_virus_28_0_292,0.151175715548778,,nan,nan,nan,nan
beta_h_mab_virus_28_0_322,-0.618334857232929,,1.3816234153212e-07,2.2344258926369e-05,-0.618335,-0.618335
beta_h_mab_virus_32_0_292,0.325272178076632,,nan,nan,nan,nan
beta_h_mab_virus_55_0_292,-1.37346375143771,,1.09437544101301e-07,7.96799653334457e-06,-1.37346,-1.37346
beta_h_mab_virus_65_0_103,-0.00357229691047678,,2.41537424515462e-07,0.0067614039529325,-0.00357277,-0.00357182
beta_h_mab_virus_65_0_276,0.189376666705045,,5.60905389203789e-08,2.96185057516828e-05,0.189377,0.189377
beta_h_mab_virus_65_0_292,0.136231607137604,,nan,nan,nan,nan
beta_h_mab_virus_65_0_322,-0.612058593468448,,nan,nan,nan,nan
beta_h_mab_virus_69_0_103,4.82089677735564,,6.52134587667857e-07,1.35272464395217e-05,4.8209,4.8209
beta_h_mab_virus_69_0_274,2.59690342142282,,nan,nan,nan,nan
beta_h_mab_virus_69_0_276,-1.89058361996708,,1.31334419567196e-07,6.946765971107e-06,-1.89058,-1.89058
beta_h_mab_virus_69_0_292,-4.94526146405894,,nan,nan,nan,nan
beta_h_mab_virus_69_0_322,1.63754584116741,,1.37179903650641e-07,8.37716418081129e-06,1.63755,1.63755
beta_h_mab_virus_70_0_274,-0.254524234913157,,1.58225215882358e-07,6.21650884978963e-05,-0.254525,-0.254524
L_gap_pop,-1.83098059321981,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_276,-1.42307197627928,,2.29656085110596e-07,1.61380512678669e-05,-1.42307,-1.42307
beta_L_gap_mab_virus_22_0_292,1.1143741651892,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_322,0.901941207576111,,4.27617987059879,474.108493400657,-7.47922,9.2831
beta_L_gap_mab_virus_28_0_103,-7.60917466572835,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_276,-2.48677191392856,,5.1780589658407e-08,2.08224121272968e-06,-2.48677,-2.48677
beta_L_gap_mab_virus_28_0_292,-2.05864961216876,,7.080484508645e-08,3.43938301437602e-06,-2.05865,-2.05865
beta_L_gap_mab_virus_28_0_322,1.95099255504427,,4.2761798705988,219.179712374749,-6.43017,10.3322
beta_L_gap_mab_virus_32_0_292,3.00850241998154,,nan,nan,nan,nan
beta_L_gap_mab_virus_55_0_292,-0.650198883809453,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_103,-9.41048094402016,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_276,0.668347997624161,,5.0924915182626e-08,7.61952087290656e-06,0.668348,0.668348
beta_L_gap_mab_virus_65_0_292,-2.72257217022144,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_322,-3.63357941724206,,4.27617987059879,117.685053209721,-12.0147,4.74758
beta_L_gap_mab_virus_69_0_103,-5.42640871682811,,1.25893286695906e-07,2.32001113932852e-06,-5.42641,-5.42641
beta_L_gap_mab_virus_69_0_274,0.532041724784015,,1.10344454599994e-07,2.07398122101774e-05,0.532042,0.532042
beta_L_gap_mab_virus_69_0_276,-2.83169017348336,,2.19217030047014e-07,7.74156128024935e-06,-2.83169,-2.83169
beta_L_gap_mab_virus_69_0_292,1.10736985077529,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_322,0.735707225154505,,4.27617987059878,581.233909956606,-7.64545,9.11687
beta_L_gap_mab_virus_70_0_274,-0.625534383707729,,nan,nan,nan,nan
beta_L_gap_run_id_1159,2.18848524757429,,nan,nan,nan,nan
beta_L_gap_run_id_1197,4.58181079149179,,nan,nan,nan,nan
beta_L_gap_run_id_152,-0.0449384294671654,,4.27617987059879,9515.64155957701,-8.4261,8.33622
beta_L_gap_run_id_411,-0.0934926589237734,,nan,nan,nan,nan
beta_L_gap_run_id_462,-2.3896594778279,,nan,nan,nan,nan
omega_f,2.37273426956882,1666.20920863952,1.06368990200523,44.8297104166886,1.08782,5.17535
omega_h,4.86584860548797e-08,2.76384968437033e-06,nan,nan,nan,nan
omega_L_gap,5.46846258706693e-08,-2.98663055595283e-06,nan,nan,nan,nan
acc,40.6332085399346,,27.9071142013611,68.6805576131989,13.8947,118.827
bcc,2.22044604925031e-16,,0.0394327693455495,1.77589405330804e+16,2.9561e-21,1.66786e-11
asample,30.7642694795398,,8.12924812832646,26.4243171245555,18.7757,50.4076
bsample,0.151686041446061,,0.00643862359640349,4.24470408418762,0.139593,0.164827
avc,0.14239579999011,,1352.39409370282,949742.965590801,0.000377971,53.6458
bvc,0.0425340699584406,,0.0140997130431314,33.1492214521396,0.0232311,0.0778762
