id,importanceSampling
411|4,139.261856
411|3,134.906077
411|5,161.828315
411|6,161.398122
411|8,106.573437
411|7,137.260305
411|9,159.620791
411|10,161.357212
411|12,103.702298
411|11,136.871019
411|1,83.029648
411|2,147.127162
152|8,150.333875
152|7,149.928677
152|6,155.695134
152|5,154.822067
152|12,145.130671
152|11,144.237264
152|10,149.834075
152|9,152.117332
152|3,150.388043
152|4,150.795325
152|1,77.944010
152|2,151.452707
1056|8,147.090496
1056|7,149.052269
1056|6,121.401808
1056|5,154.261799
1056|12,144.290007
1056|11,144.600188
1056|10,120.946336
1056|9,154.336122
1056|4,150.022260
1056|3,147.502996
1056|1,45.292312
1056|2,131.793992
462|6,222.403486
462|5,218.997950
462|4,199.454368
462|3,197.733132
462|9,147.404053
462|10,151.279607
462|7,160.296641
462|8,159.300620
462|11,167.017054
462|12,174.575678
462|1,91.031293
462|2,161.659224
1159|8,159.157869
1159|7,161.115092
1159|5,165.238674
1159|6,164.508669
1159|11,146.371595
1159|12,149.521589
1159|9,159.295377
1159|10,160.921656
1159|4,155.679214
1159|3,154.902776
1159|1,81.696080
1159|2,158.573726
1197|7,140.431055
1197|8,139.348073
1197|6,146.062010
1197|5,145.836657
1197|12,140.286422
1197|10,149.818080
1197|9,149.350673
1197|3,138.708118
1197|4,139.746311
1197|11,139.406810
1197|1,81.429869
1197|2,159.386635
