parameter,value,CV
f_run_id_1056,0.131312768254793,
f_run_id_1159,0.188069822442797,
f_run_id_1197,0.0269952515257741,
f_run_id_152,0.128862344060647,
f_run_id_411,0.474784995050433,
f_run_id_462,0.131312768254792,
h_mab_virus_22.0|103_run_id_1056,4.59925622219268,
h_mab_virus_22.0|103_run_id_1159,4.77628541378606,
h_mab_virus_22.0|103_run_id_1197,1.7833630531968,
h_mab_virus_22.0|103_run_id_152,4.59925622219289,
h_mab_virus_22.0|103_run_id_411,4.59925622219266,
h_mab_virus_22.0|103_run_id_462,4.59975355465534,
h_mab_virus_22.0|276_run_id_1056,1.98787966810647,
h_mab_virus_22.0|276_run_id_1159,2.16490885969986,
h_mab_virus_22.0|276_run_id_1197,-0.82801350088941,
h_mab_virus_22.0|276_run_id_152,1.98787966810669,
h_mab_virus_22.0|276_run_id_411,1.98787966810646,
h_mab_virus_22.0|276_run_id_462,1.98837700056914,
h_mab_virus_22.0|292_run_id_1056,1.19232630241591,
h_mab_virus_22.0|292_run_id_1159,1.36935549400929,
h_mab_virus_22.0|292_run_id_1197,-1.62356686657998,
h_mab_virus_22.0|292_run_id_152,1.19232630241612,
h_mab_virus_22.0|292_run_id_411,1.19232630241589,
h_mab_virus_22.0|292_run_id_462,1.19282363487857,
h_mab_virus_22.0|322_run_id_1056,1.05616467263686,
h_mab_virus_22.0|322_run_id_1159,1.23319386423025,
h_mab_virus_22.0|322_run_id_1197,-1.75972849635902,
h_mab_virus_22.0|322_run_id_152,1.05616467263708,
h_mab_virus_22.0|322_run_id_411,1.05616467263685,
h_mab_virus_22.0|322_run_id_462,1.05666200509953,
h_mab_virus_28.0|103_run_id_1056,4.87101403798609,
h_mab_virus_28.0|103_run_id_1159,5.04804322957947,
h_mab_virus_28.0|103_run_id_1197,2.05512086899021,
h_mab_virus_28.0|103_run_id_152,4.8710140379863,
h_mab_virus_28.0|103_run_id_411,4.87101403798608,
h_mab_virus_28.0|103_run_id_462,4.87151137044876,
h_mab_virus_28.0|276_run_id_1056,3.40315601204962,
h_mab_virus_28.0|276_run_id_1159,3.580185203643,
h_mab_virus_28.0|276_run_id_1197,0.587262843053737,
h_mab_virus_28.0|276_run_id_152,3.40315601204983,
h_mab_virus_28.0|276_run_id_411,3.4031560120496,
h_mab_virus_28.0|276_run_id_462,3.40365334451228,
h_mab_virus_28.0|292_run_id_1056,2.98782596801393,
h_mab_virus_28.0|292_run_id_1159,3.16485515960731,
h_mab_virus_28.0|292_run_id_1197,0.171932799018048,
h_mab_virus_28.0|292_run_id_152,2.98782596801414,
h_mab_virus_28.0|292_run_id_411,2.98782596801392,
h_mab_virus_28.0|292_run_id_462,2.9883233004766,
h_mab_virus_28.0|322_run_id_1056,1.42232232111425,
h_mab_virus_28.0|322_run_id_1159,1.59935151270763,
h_mab_virus_28.0|322_run_id_1197,-1.39357084788163,
h_mab_virus_28.0|322_run_id_152,1.42232232111446,
h_mab_virus_28.0|322_run_id_411,1.42232232111423,
h_mab_virus_28.0|322_run_id_462,1.42281965357691,
h_mab_virus_32.0|292_run_id_1056,8.1301072074248,
h_mab_virus_32.0|292_run_id_1159,8.30713639901818,
h_mab_virus_32.0|292_run_id_1197,5.31421403842892,
h_mab_virus_32.0|292_run_id_152,8.13010720742501,
h_mab_virus_32.0|292_run_id_411,8.13010720742479,
h_mab_virus_32.0|292_run_id_462,8.13060453988747,
h_mab_virus_55.0|292_run_id_1056,0.334876749726151,
h_mab_virus_55.0|292_run_id_1159,0.511905941319534,
h_mab_virus_55.0|292_run_id_1197,-2.48101641926973,
h_mab_virus_55.0|292_run_id_152,0.334876749726365,
h_mab_virus_55.0|292_run_id_411,0.334876749726137,
h_mab_virus_55.0|292_run_id_462,0.335374082188817,
h_mab_virus_65.0|103_run_id_1056,4.51426763088607,
h_mab_virus_65.0|103_run_id_1159,4.69129682247946,
h_mab_virus_65.0|103_run_id_1197,1.69837446189019,
h_mab_virus_65.0|103_run_id_152,4.51426763088629,
h_mab_virus_65.0|103_run_id_411,4.51426763088606,
h_mab_virus_65.0|103_run_id_462,4.51476496334874,
h_mab_virus_65.0|276_run_id_1056,1.80622635814158,
h_mab_virus_65.0|276_run_id_1159,1.98325554973497,
h_mab_virus_65.0|276_run_id_1197,-1.0096668108543,
h_mab_virus_65.0|276_run_id_152,1.8062263581418,
h_mab_virus_65.0|276_run_id_411,1.80622635814157,
h_mab_virus_65.0|276_run_id_462,1.80672369060425,
h_mab_virus_65.0|292_run_id_1056,1.3327405868772,
h_mab_virus_65.0|292_run_id_1159,1.50976977847059,
h_mab_virus_65.0|292_run_id_1197,-1.48315258211868,
h_mab_virus_65.0|292_run_id_152,1.33274058687742,
h_mab_virus_65.0|292_run_id_411,1.33274058687719,
h_mab_virus_65.0|292_run_id_462,1.33323791933987,
h_mab_virus_65.0|322_run_id_1056,1.00145761961511,
h_mab_virus_65.0|322_run_id_1159,1.17848681120849,
h_mab_virus_65.0|322_run_id_1197,-1.81443554938077,
h_mab_virus_65.0|322_run_id_152,1.00145761961532,
h_mab_virus_65.0|322_run_id_411,1.00145761961509,
h_mab_virus_65.0|322_run_id_462,1.00195495207777,
h_mab_virus_69.0|103_run_id_1056,4.59925622219273,
h_mab_virus_69.0|103_run_id_1159,4.77628541378612,
h_mab_virus_69.0|103_run_id_1197,1.78336305319685,
h_mab_virus_69.0|103_run_id_152,4.59925622219295,
h_mab_virus_69.0|103_run_id_411,4.59925622219272,
h_mab_virus_69.0|103_run_id_462,4.5997535546554,
h_mab_virus_69.0|274_run_id_1056,4.59925622297321,
h_mab_virus_69.0|274_run_id_1159,4.77628541456659,
h_mab_virus_69.0|274_run_id_1197,1.78336305397733,
h_mab_virus_69.0|274_run_id_152,4.59925622297342,
h_mab_virus_69.0|274_run_id_411,4.5992562229732,
h_mab_virus_69.0|274_run_id_462,4.59975355543587,
h_mab_virus_69.0|276_run_id_1056,4.59925622219122,
h_mab_virus_69.0|276_run_id_1159,4.77628541378461,
h_mab_virus_69.0|276_run_id_1197,1.78336305319534,
h_mab_virus_69.0|276_run_id_152,4.59925622219144,
h_mab_virus_69.0|276_run_id_411,4.59925622219121,
h_mab_virus_69.0|276_run_id_462,4.59975355465389,
h_mab_virus_69.0|292_run_id_1056,4.59950373455864,
h_mab_virus_69.0|292_run_id_1159,4.77653292615203,
h_mab_virus_69.0|292_run_id_1197,1.78361056556276,
h_mab_virus_69.0|292_run_id_152,4.59950373455886,
h_mab_virus_69.0|292_run_id_411,4.59950373455863,
h_mab_virus_69.0|292_run_id_462,4.60000106702131,
h_mab_virus_69.0|322_run_id_1056,4.5992562222772,
h_mab_virus_69.0|322_run_id_1159,4.77628541387059,
h_mab_virus_69.0|322_run_id_1197,1.78336305328132,
h_mab_virus_69.0|322_run_id_152,4.59925622227742,
h_mab_virus_69.0|322_run_id_411,4.59925622227719,
h_mab_virus_69.0|322_run_id_462,4.59975355473987,
h_mab_virus_70.0|274_run_id_1056,1.45990015038973,
h_mab_virus_70.0|274_run_id_1159,1.63692934198311,
h_mab_virus_70.0|274_run_id_1197,-1.35599301860615,
h_mab_virus_70.0|274_run_id_152,1.45990015038994,
h_mab_virus_70.0|274_run_id_411,1.45990015038972,
h_mab_virus_70.0|274_run_id_462,1.4603974828524,
eta_alpha_run_id_1056,0.0126776520776309,
eta_alpha_run_id_1159,0.0126776521149493,
eta_alpha_run_id_1197,0.01267765207795,
eta_alpha_run_id_152,0.0126785013491817,
eta_alpha_run_id_411,0.0126776468053719,
eta_alpha_run_id_462,0.012677652077629,
omega_L_gap,4.47493078400144e-05,-0.000184761599060164
acc,40.6332085399346,
bcc,2.22044604925031e-16,
asample,2.22044604925031e-16,
bsample,0.226766286346017,
avc,2.22044604925031e-16,
bvc,0.0429325906307112,
