id,f_SAEM,h_SAEM,L_gap_SAEM,eta_alpha_SAEM,f_mode,h_mode,L_gap_mode,eta_alpha_mode,mab_virus,run_id
411|4,0.531593,1.4885,-50.8298,-0.00058898,0.527975,1.48511,-51.9575,-0.000617446,70.0|274,411
411|3,0.304774,1.4885,-50.8298,-0.00058898,0.302414,1.48511,-51.9575,-0.000617446,70.0|274,411
411|5,0.595111,1.4885,-50.8298,-0.00058898,0.593136,1.48511,-51.9575,-0.000617446,70.0|274,411
411|6,0.64383,1.4885,-50.8298,-0.00058898,0.633102,1.48511,-51.9575,-0.000617446,70.0|274,411
411|8,0.423376,1.4885,-50.8298,-0.00058898,0.408642,1.48511,-51.9575,-0.000617446,70.0|274,411
411|7,0.383871,1.4885,-50.8298,-0.00058898,0.381425,1.48511,-51.9575,-0.000617446,70.0|274,411
411|9,0.553157,1.4885,-50.8298,-0.00058898,0.541164,1.48511,-51.9575,-0.000617446,70.0|274,411
411|10,0.643087,1.4885,-50.8298,-0.00058898,0.629497,1.48511,-51.9575,-0.000617446,70.0|274,411
411|12,0.379881,1.4885,-50.8298,-0.00058898,0.366641,1.48511,-51.9575,-0.000617446,70.0|274,411
411|11,0.434429,1.4885,-50.8298,-0.00058898,0.419824,1.48511,-51.9575,-0.000617446,70.0|274,411
411|1,0.570672,1.96104,-50.8114,-0.00058898,0.471922,1.96135,-51.939,-0.000617446,69.0|274,411
411|2,0.560995,1.96104,-50.8114,-0.00058898,0.471922,1.96135,-51.939,-0.000617446,69.0|274,411
152|8,0.18417,1.13002,-50.8292,-2.65458e-05,0.18135,1.12899,-51.9576,-2.83533e-05,65.0|322,152
152|7,0.203655,1.13002,-50.8292,-2.65458e-05,0.201873,1.12899,-51.9576,-2.83533e-05,65.0|322,152
152|6,0.203723,1.13002,-50.8292,-2.65458e-05,0.196612,1.12899,-51.9576,-2.83533e-05,65.0|322,152
152|5,0.180945,1.13002,-50.8292,-2.65458e-05,0.176458,1.12899,-51.9576,-2.83533e-05,65.0|322,152
152|12,0.0606425,1.13047,-27.805,-2.65458e-05,0.0604766,1.1363,-28.096,-2.83533e-05,28.0|322,152
152|11,0.0720463,1.13047,-27.805,-2.65458e-05,0.0706704,1.1363,-28.096,-2.83533e-05,28.0|322,152
152|10,0.0676125,1.13047,-27.805,-2.65458e-05,0.0693713,1.1363,-28.096,-2.83533e-05,28.0|322,152
152|9,0.0820799,1.13047,-27.805,-2.65458e-05,0.0823965,1.1363,-28.096,-2.83533e-05,28.0|322,152
152|3,0.13583,1.07987,-50.8072,-2.65458e-05,0.133267,1.07834,-51.9348,-2.83533e-05,22.0|322,152
