id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_eta_alpha_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_eta_alpha_mode,mab_virus,run_id
411|4,0,-6.90989e-07,6.3684e-10,0,0,-5.38921e-09,-1.4424e-11,0,70.0|274,411
411|3,0,-1.51324e-06,6.14898e-09,0,0,-1.17175e-09,-6.70681e-11,0,70.0|274,411
411|5,0,-3.4693e-07,5.58133e-09,0,0,2.77843e-09,7.84866e-11,0,70.0|274,411
411|6,0,2.47601e-07,6.11439e-09,0,0,-5.80803e-09,-5.05445e-11,0,70.0|274,411
411|8,0,-2.48584e-08,1.14603e-09,0,0,3.6544e-09,-4.14175e-11,0,70.0|274,411
411|7,0,-2.55274e-07,-2.64857e-09,0,0,1.82654e-09,-4.14744e-11,0,70.0|274,411
411|9,0,6.63026e-07,9.33562e-09,0,0,-5.67316e-09,1.41256e-11,0,70.0|274,411
411|10,0,3.89403e-07,4.82203e-09,0,0,1.49549e-09,4.61888e-11,0,70.0|274,411
411|12,0,-9.70718e-07,4.09502e-09,0,0,6.12351e-09,-7.61702e-12,0,70.0|274,411
411|11,0,1.03371e-07,-9.44975e-09,0,0,-4.93269e-09,5.92664e-11,0,70.0|274,411
411|1,0,2.56297e-07,4.94033e-09,0,0,7.91654e-09,-1.81487e-10,0,69.0|274,411
411|2,0,8.25009e-07,-6.03924e-09,0,0,-5.12792e-09,-4.7514e-11,0,69.0|274,411
152|8,0,-3.20005e-07,-4.28689e-09,0,0,5.6553e-10,-4.56417e-11,0,65.0|322,152
152|7,0,-1.08401e-06,-1.1149e-08,0,0,-3.41807e-10,-8.97877e-11,0,65.0|322,152
152|6,0,1.69563e-07,2.82128e-09,0,0,-1.08518e-08,6.6386e-11,0,65.0|322,152
152|5,0,3.85262e-07,-1.53511e-09,0,0,6.99364e-09,-3.19567e-11,0,65.0|322,152
152|12,0,5.07461e-07,2.63507e-09,0,0,-1.09582e-08,3.95914e-11,0,28.0|322,152
152|11,0,6.85147e-07,2.62783e-09,0,0,-6.50482e-09,-1.98952e-11,0,28.0|322,152
152|10,0,4.54932e-07,1.97522e-09,0,0,9.88198e-10,-8.03553e-11,0,28.0|322,152
152|9,0,-2.05622e-07,4.54806e-09,0,0,7.34593e-09,-3.10791e-11,0,28.0|322,152
152|3,0,-1.0595e-06,4.68645e-09,0,0,-1.83475e-09,-9.15605e-11,0,22.0|322,152
152|4,0,-4.06355e-07,1.57188e-09,0,0,-1.11862e-08,-4.59401e-11,0,22.0|322,152
152|1,0,4.48895e-07,8.20076e-09,0,0,-3.05915e-09,-1.71312e-11,0,69.0|322,152
152|2,0,-1.93686e-09,9.17313e-10,0,0,-7.16739e-10,-6.38778e-11,0,69.0|322,152
