id,f_SAEM,h_SAEM,L_gap_SAEM,eta_alpha_SAEM,f_mode,h_mode,L_gap_mode,eta_alpha_mode,mab_virus,run_id
411|4,0.526,1.45399,-24.22,0.0450038,0.514557,1.4555,-24.22,0.0448688,70.0|274,411
411|3,0.296291,1.45399,-24.22,0.0450038,0.293642,1.4555,-24.22,0.0448688,70.0|274,411
411|5,0.603464,1.45399,-24.22,0.0450038,0.582315,1.4555,-24.22,0.0448688,70.0|274,411
411|6,0.629428,1.45399,-24.22,0.0450038,0.618738,1.4555,-24.22,0.0448688,70.0|274,411
411|8,0.404114,1.45399,-24.22,0.0450038,0.396648,1.4555,-24.22,0.0448688,70.0|274,411
411|7,0.371745,1.45399,-24.22,0.0450038,0.370429,1.4555,-24.22,0.0448688,70.0|274,411
411|9,0.535355,1.45399,-24.22,0.0450038,0.529181,1.4555,-24.22,0.0448688,70.0|274,411
411|10,0.640431,1.45399,-24.22,0.0450038,0.620203,1.4555,-24.22,0.0448688,70.0|274,411
411|12,0.366516,1.45399,-24.22,0.0450038,0.361212,1.4555,-24.22,0.0448688,70.0|274,411
411|11,0.410026,1.45399,-24.22,0.0450038,0.409564,1.4555,-24.22,0.0448688,70.0|274,411
411|1,0.22443,1.73769,-24.22,0.0450038,0.112727,1.74021,-24.22,0.0448688,69.0|274,411
411|2,0.246184,1.73769,-24.22,0.0450038,0.112727,1.74021,-24.22,0.0448688,69.0|274,411
152|8,0.188708,1.14069,-24.22,0.0450038,0.187848,1.13961,-24.22,0.0448688,65.0|322,152
152|7,0.212192,1.14069,-24.22,0.0450038,0.209313,1.13961,-24.22,0.0448688,65.0|322,152
152|6,0.207374,1.14069,-24.22,0.0450038,0.20363,1.13961,-24.22,0.0448688,65.0|322,152
152|5,0.187602,1.14069,-24.22,0.0450038,0.1822,1.13961,-24.22,0.0448688,65.0|322,152
152|12,0.0600183,1.12154,-24.22,0.0450038,0.0590662,1.11941,-24.22,0.0448688,28.0|322,152
152|11,0.0695922,1.12154,-24.22,0.0450038,0.0688141,1.11941,-24.22,0.0448688,28.0|322,152
152|10,0.0682273,1.12154,-24.22,0.0450038,0.0671717,1.11941,-24.22,0.0448688,28.0|322,152
152|9,0.0830096,1.12154,-24.22,0.0450038,0.0797658,1.11941,-24.22,0.0448688,28.0|322,152
152|3,0.137215,1.08466,-24.22,0.0450038,0.135258,1.08217,-24.22,0.0448688,22.0|322,152
152|4,0.155646,1.08466,-24.22,0.0450038,0.150521,1.08217,-24.22,0.0448688,22.0|322,152
152|1,0.216219,1.73654,-24.22,0.0450038,0.112727,1.73822,-24.22,0.0448688,69.0|322,152
152|2,0.18726,1.73654,-24.22,0.0450038,0.112727,1.73822,-24.22,0.0448688,69.0|322,152
1056|8,0.154149,1.89168,-24.22,0.0450038,0.150331,1.88881,-24.22,0.0448688,65.0|276,1056
1056|7,0.147813,1.89168,-24.22,0.0450038,0.146532,1.88881,-24.22,0.0448688,65.0|276,1056
1056|6,0.151178,1.89168,-24.22,0.0450038,0.148568,1.88881,-24.22,0.0448688,65.0|276,1056
1056|5,0.143236,1.89168,-24.22,0.0450038,0.140857,1.88881,-24.22,0.0448688,65.0|276,1056
1056|12,0.0339325,1.74525,-24.22,0.0450038,0.0340953,1.74627,-24.22,0.0448688,28.0|276,1056
1056|11,0.0401699,1.74525,-24.22,0.0450038,0.0407233,1.74627,-24.22,0.0448688,28.0|276,1056
1056|10,0.0617311,1.74525,-24.22,0.0450038,0.0612881,1.74627,-24.22,0.0448688,28.0|276,1056
1056|9,0.0674576,1.74525,-24.22,0.0450038,0.0662865,1.74627,-24.22,0.0448688,28.0|276,1056
1056|4,0.117491,1.74524,-24.22,0.0450038,0.115808,1.74626,-24.22,0.0448688,22.0|276,1056
1056|3,0.106918,1.74524,-24.22,0.0450038,0.104627,1.74626,-24.22,0.0448688,22.0|276,1056
1056|1,0.185824,1.72677,-24.22,0.0450038,0.112727,1.73082,-24.22,0.0448688,69.0|276,1056
1056|2,0.20899,1.72677,-24.22,0.0450038,0.112727,1.73082,-24.22,0.0448688,69.0|276,1056
462|6,0.231856,0.385764,-24.22,0.00653618,0.221158,0.385417,-24.22,0.00706413,55.0|292,462
462|5,0.31378,0.385764,-24.22,0.00653618,0.2933,0.385417,-24.22,0.00706413,55.0|292,462
462|4,0.29623,0.385764,-24.22,0.00653618,0.267756,0.385417,-24.22,0.00706413,55.0|292,462
462|3,0.324898,0.385764,-24.22,0.00653618,0.304047,0.385417,-24.22,0.00706413,55.0|292,462
462|9,0.0208557,1.98925,-24.22,0.00653618,0.0208328,2.01029,-24.22,0.00706413,32.0|292,462
