id,importanceSampling
411|4,137.744422
411|3,132.496998
411|5,159.910293
411|6,159.095400
411|8,136.386163
411|7,135.209776
411|9,129.272126
411|10,159.184407
411|12,132.502496
411|11,134.621344
411|1,344.737936
411|2,121.016055
152|8,146.797336
152|7,119.543629
152|6,151.494896
152|5,150.063576
152|12,142.223833
152|11,139.814623
152|10,144.811880
152|9,147.477804
152|3,145.687169
152|4,146.611064
152|1,313.484213
152|2,151.832973
1056|8,144.232823
1056|7,145.872994
1056|6,148.336533
1056|5,149.242299
1056|12,142.236574
1056|11,142.392844
1056|10,122.541086
1056|9,151.570611
1056|4,146.366110
1056|3,143.928999
1056|1,340.872659
1056|2,163.833208
462|6,164.416891
462|5,166.261144
462|4,171.128800
462|3,169.856514
462|9,145.932938
462|10,151.782221
462|7,131.798662
462|8,155.990729
462|11,168.120967
462|12,172.702215
462|1,312.255290
462|2,161.588387
1159|8,161.411482
1159|7,137.043193
1159|5,164.610936
1159|6,163.360561
1159|11,145.715703
1159|12,146.568582
1159|9,160.113804
1159|10,135.282447
1159|4,153.549173
1159|3,153.324413
1159|1,312.318409
1159|2,132.952818
1197|7,139.576259
1197|8,138.092539
1197|6,144.128646
1197|5,142.945950
1197|12,136.485275
1197|10,150.744706
1197|9,124.224577
1197|3,136.036822
1197|4,137.472366
1197|11,138.293407
1197|1,339.270996
1197|2,160.700883
