id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_eta_alpha_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_eta_alpha_mode,mab_virus,run_id
411|4,-0.60559,0,-6.7643e-09,0,-0.621986,0,-4.51195e-13,0,70.0|274,411
411|3,-1.18795,0,-3.32238e-09,0,-1.18696,0,3.30402e-13,0,70.0|274,411
411|5,-0.469709,0,1.10217e-08,0,-0.498476,0,5.47118e-13,0,70.0|274,411
411|6,-0.420393,0,-2.26925e-08,0,-0.427663,0,1.20437e-12,0,70.0|274,411
411|8,-0.86126,0,6.30167e-10,0,-0.882826,0,6.07514e-13,0,70.0|274,411
411|7,-0.966375,0,3.11854e-09,0,-0.953295,0,-1.77636e-14,0,70.0|274,411
411|9,-0.580445,0,7.32531e-09,0,-0.589285,0,-2.59348e-13,0,70.0|274,411
411|10,-0.413944,0,-2.28477e-09,0,-0.435288,0,-3.30402e-13,0,70.0|274,411
411|12,-0.96513,0,-7.42006e-09,0,-0.972048,0,-3.58824e-13,0,70.0|274,411
411|11,-0.829336,0,-2.09327e-09,0,-0.84839,0,-6.07514e-13,0,70.0|274,411
411|1,0.0839818,0,-2.03213e-09,0,1.21514e-07,0,-1.77636e-14,0,69.0|274,411
411|2,0.176059,0,1.46649e-08,0,2.79765e-08,0,2.13163e-14,0,69.0|274,411
152|8,-1.58098,0,6.07887e-09,0,-1.62157,0,2.45137e-13,0,65.0|322,152
152|7,-1.53229,0,-6.54029e-09,0,-1.51022,0,-3.19744e-13,0,65.0|322,152
152|6,-1.49167,0,1.63317e-08,0,-1.52415,0,2.73559e-13,0,65.0|322,152
152|5,-1.62487,0,8.80124e-09,0,-1.64119,0,-1.27898e-13,0,65.0|322,152
152|12,-2.74244,0,-1.91641e-08,0,-2.78397,0,-2.45137e-13,0,28.0|322,152
152|11,-2.59824,0,-3.98033e-10,0,-2.6272,0,-3.01981e-13,0,28.0|322,152
152|10,-2.65566,0,2.71879e-09,0,-2.64906,0,-2.73559e-13,0,28.0|322,152
152|9,-2.43531,0,4.57378e-10,0,-2.46887,0,-6.75016e-14,0,28.0|322,152
152|3,-2.00509,0,6.17904e-09,0,-1.99186,0,4.51195e-13,0,22.0|322,152
152|4,-1.86595,0,-8.65344e-09,0,-1.88708,0,-4.86722e-13,0,22.0|322,152
