id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_eta_alpha_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_eta_alpha_mode,mab_virus,run_id
411|4,0,-4.30918e-09,-5.34378e-10,0,0,-2.71871e-11,2.18634e-11,0,70.0|274,411
411|3,0,-2.73783e-09,-1.90327e-09,0,0,4.34235e-11,2.278e-11,0,70.0|274,411
411|5,0,4.27239e-09,1.31147e-09,0,0,-2.338e-11,3.55271e-12,0,70.0|274,411
411|6,0,5.16236e-10,3.76647e-09,0,0,-2.71989e-11,-1.14539e-11,0,70.0|274,411
411|8,0,1.60258e-09,3.83938e-10,0,0,5.59996e-11,-8.52651e-12,0,70.0|274,411
411|7,0,-6.29799e-09,-1.66374e-09,0,0,3.83629e-11,3.06244e-12,0,70.0|274,411
411|9,0,3.03202e-11,2.59512e-09,0,0,-2.5189e-11,-1.00897e-12,0,70.0|274,411
411|10,0,4.54332e-09,1.17107e-09,0,0,3.96132e-11,-1.1525e-11,0,70.0|274,411
411|12,0,-9.55641e-09,-4.15931e-10,0,0,2.0886e-11,-2.34373e-11,0,70.0|274,411
411|11,0,2.59068e-09,-1.33587e-09,0,0,4.34057e-11,-1.98952e-13,0,70.0|274,411
411|1,0,7.04808e-10,1.87626e-09,0,0,1.12435e-11,-1.39337e-11,0,69.0|274,411
411|2,0,5.00338e-09,5.12273e-10,0,0,-2.74136e-11,1.43139e-11,0,69.0|274,411
152|8,0,-4.93731e-09,-2.46786e-09,0,0,4.72733e-12,-9.65628e-12,0,65.0|322,152
152|7,0,-4.53367e-09,-1.23137e-09,0,0,-1.12295e-11,1.36637e-11,0,65.0|322,152
152|6,0,5.10107e-09,-2.82891e-10,0,0,3.38414e-11,-1.73372e-12,0,65.0|322,152
152|5,0,2.22514e-09,9.03411e-10,0,0,-4.15608e-11,4.98588e-11,0,65.0|322,152
152|12,0,4.57186e-09,-1.03671e-09,0,0,6.27454e-12,-2.81233e-11,0,28.0|322,152
152|11,0,-1.29629e-09,-8.82087e-10,0,0,1.7567e-10,4.61853e-13,0,28.0|322,152
152|10,0,-1.48842e-09,1.54394e-09,0,0,5.02542e-11,-2.62901e-12,0,28.0|322,152
152|9,0,-3.17868e-11,8.09831e-10,0,0,4.91447e-11,5.01998e-12,0,28.0|322,152
152|3,0,-7.70804e-10,-7.13226e-10,0,0,3.62594e-11,-2.85638e-12,0,22.0|322,152
152|4,0,3.51351e-12,8.04103e-10,0,0,-1.9192e-11,-1.01927e-11,0,22.0|322,152
152|1,0,3.54184e-10,5.45647e-10,0,0,-4.78861e-11,-1.58806e-12,0,69.0|322,152
152|2,0,1.15329e-09,-7.6362e-10,0,0,-5.01323e-11,1.98916e-11,0,69.0|322,152
1056|8,0,-7.04131e-09,-1.90521e-09,0,0,3.51279e-11,1.40972e-11,0,65.0|276,1056
1056|7,0,-3.14981e-09,3.60857e-10,0,0,-2.48952e-11,-1.89502e-11,0,65.0|276,1056
1056|6,0,-7.01019e-10,2.61903e-10,0,0,7.30949e-12,1.46088e-11,0,65.0|276,1056
1056|5,0,5.66066e-11,-8.61371e-10,0,0,5.30465e-12,2.74269e-11,0,65.0|276,1056
1056|12,0,-4.67281e-09,6.25192e-10,0,0,7.43139e-12,9.4218e-12,0,28.0|276,1056
1056|11,0,-1.02331e-09,-3.78676e-10,0,0,2.11646e-11,1.74154e-11,0,28.0|276,1056
1056|10,0,-2.95611e-09,1.12446e-09,0,0,-1.31437e-11,-8.71125e-12,0,28.0|276,1056
1056|9,0,-1.78865e-09,1.54712e-09,0,0,3.06521e-11,6.71818e-12,0,28.0|276,1056
1056|4,0,3.9147e-09,1.77442e-09,0,0,-6.09512e-12,-1.11768e-11,0,22.0|276,1056
1056|3,0,3.84394e-09,-6.8343e-10,0,0,3.51408e-12,-2.15437e-11,0,22.0|276,1056
1056|1,0,2.71454e-10,-8.49703e-10,0,0,5.3704e-12,1.1088e-11,0,69.0|276,1056
1056|2,0,1.93158e-09,1.19707e-09,0,0,-1.45955e-11,8.896e-12,0,69.0|276,1056
462|6,0,1.9261e-09,-1.65155e-09,0,0,3.06749e-11,-1.51701e-12,0,55.0|292,462
