id,importanceSampling
411|4,100.372316
411|3,143.371839
411|5,159.663819
411|6,162.817397
411|8,104.114321
411|7,136.988758
411|9,122.469844
411|10,161.901726
411|12,135.865758
411|11,133.864104
411|1,313.041355
411|2,147.321383
152|8,112.849287
152|7,144.768163
152|6,151.575125
152|5,150.604563
152|12,141.038574
152|11,138.576141
152|10,112.801383
152|9,148.014498
152|3,146.321866
152|4,145.830878
152|1,340.559417
152|2,150.641093
1056|8,141.319270
1056|7,142.799136
1056|6,113.599686
1056|5,116.365100
1056|12,150.083340
1056|11,112.061387
1056|10,146.424869
1056|9,150.853803
1056|4,143.916280
1056|3,141.600669
1056|1,340.779330
1056|2,163.549507
462|6,176.938195
462|5,186.530961
462|4,181.842505
462|3,152.032362
462|9,138.884054
462|10,141.685964
462|7,151.304862
462|8,150.585011
462|11,161.128032
462|12,168.914648
462|1,307.443660
462|2,161.793260
1159|8,151.823260
1159|7,153.207291
1159|5,158.720556
1159|6,158.253492
1159|11,151.282774
1159|12,160.803975
1159|9,151.582185
1159|10,153.278129
1159|4,151.104156
1159|3,149.301099
1159|1,339.309627
1159|2,158.305611
1197|7,131.915549
1197|8,131.177324
1197|6,138.741794
1197|5,106.847905
1197|12,134.433224
1197|10,108.494458
1197|9,107.252227
1197|3,167.390603
1197|4,171.563135
1197|11,134.181785
1197|1,339.158681
1197|2,93.541908
