parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,0.12586117706209,,nan,nan,nan,nan
beta_f_mab_virus_22_0_276,9.34917998633271e-12,,nan,nan,nan,nan
beta_f_mab_virus_22_0_292,1.12619761653281,,nan,nan,nan,nan
beta_f_mab_virus_22_0_322,-4.84465460516514e-10,,nan,nan,nan,nan
beta_f_mab_virus_28_0_103,-7.67177443306099e-09,,0.0904336822904129,1178784426.98595,-0.177247,0.177247
beta_f_mab_virus_28_0_276,-8.99861439889473e-07,,nan,nan,nan,nan
beta_f_mab_virus_28_0_292,-6.06869374981327e-10,,864827.226542745,1.42506322150357e+17,-1.69503e+06,1.69503e+06
beta_f_mab_virus_28_0_322,-0.847221600968733,,nan,nan,nan,nan
beta_f_mab_virus_32_0_292,-1.67164757394103,,nan,nan,nan,nan
beta_f_mab_virus_55_0_292,0.730374399921534,,nan,nan,nan,nan
beta_f_mab_virus_65_0_103,0.104446320831077,,0.0850004422773135,81.3819401209796,-0.0621515,0.271044
beta_f_mab_virus_65_0_276,-2.72113796163578e-15,,0.0504840103102513,1.85525361161415e+15,-0.0989468,0.0989468
beta_f_mab_virus_65_0_292,1.1416495219827,,389327.189412104,34102163.7477639,-763066,763068
beta_f_mab_virus_65_0_322,0.175631352123895,,nan,nan,nan,nan
beta_f_mab_virus_69_0_103,0.000966657124143519,,nan,nan,nan,nan
beta_f_mab_virus_69_0_274,2.7803354334234e-09,,nan,nan,nan,nan
beta_f_mab_virus_69_0_276,2.98227630317964e-10,,nan,nan,nan,nan
beta_f_mab_virus_69_0_292,7.80125712005846e-05,,nan,nan,nan,nan
beta_f_mab_virus_69_0_322,9.90566142189568e-07,,nan,nan,nan,nan
beta_f_mab_virus_70_0_274,1.3755395304623,,597865740231201,4.34640900527421e+16,-1.1718e+15,1.1718e+15
beta_f_run_id_1159,-0.319176064708823,,1385531.60641685,434096337.292972,-2.71559e+06,2.71559e+06
beta_f_run_id_1197,-1.559333893267,,0.0901503245050113,5.78133553655628,-1.73603,-1.38264
beta_f_run_id_152,0.264744645213901,,1684388.06755505,636231212.984174,-3.30134e+06,3.30134e+06
beta_f_run_id_411,0.0121959568970538,,597865740231203,4.90216344053847e+18,-1.1718e+15,1.1718e+15
beta_f_run_id_462,-1.21396585292766e-08,,nan,nan,nan,nan
h_pop,1.76399873170272,,1.107420818615e-07,6.2779003108809e-06,1.764,1.764
beta_h_mab_virus_22_0_276,0.180365421097051,,1.22696249198392e-07,6.80264811581437e-05,0.180365,0.180366
beta_h_mab_virus_22_0_292,0.0502168561776193,,1.28641336949887e-07,0.000256171625907598,0.0502166,0.0502171
beta_h_mab_virus_22_0_322,-0.597677988210463,,1.20527081671905e-07,2.01658893332814e-05,-0.597678,-0.597678
beta_h_mab_virus_28_0_103,0.281024808471699,,1.07742049187954e-07,3.83389814493207e-05,0.281025,0.281025
beta_h_mab_virus_28_0_276,0.159918989996479,,nan,nan,nan,nan
beta_h_mab_virus_28_0_292,0.151176445366061,,1.26592273632198e-07,8.37380938053317e-05,0.151176,0.151177
beta_h_mab_virus_28_0_322,-0.61833389816434,,1.35185483047262e-07,2.18628613842117e-05,-0.618334,-0.618334
beta_h_mab_virus_32_0_292,0.325273910922038,,1.06630640769128e-07,3.27817993354793e-05,0.325274,0.325274
beta_h_mab_virus_55_0_292,-1.37345952389572,,1.19960976302253e-07,8.73421999084416e-06,-1.37346,-1.37346
beta_h_mab_virus_65_0_103,-0.00357088086802548,,nan,nan,nan,nan
beta_h_mab_virus_65_0_276,0.189377662966122,,1.57035398874897e-07,8.29218168686497e-05,0.189377,0.189378
beta_h_mab_virus_65_0_292,0.136233302056507,,nan,nan,nan,nan
beta_h_mab_virus_65_0_322,-0.612057149695652,,nan,nan,nan,nan
beta_h_mab_virus_69_0_103,4.82090016703182,,1.14478860775629e-07,2.37463661990978e-06,4.8209,4.8209
beta_h_mab_virus_69_0_274,2.59690166890951,,nan,nan,nan,nan
beta_h_mab_virus_69_0_276,-1.89057723511691,,nan,nan,nan,nan
beta_h_mab_virus_69_0_292,-4.94525818379492,,1.29545482273806e-07,2.61958986688123e-06,-4.94526,-4.94526
beta_h_mab_virus_69_0_322,1.63755090088253,,nan,nan,nan,nan
beta_h_mab_virus_70_0_274,-0.25452329684957,,1.09182440772064e-07,4.28968358195494e-05,-0.254524,-0.254523
L_gap_pop,-24.2200004466777,,nan,nan,nan,nan
beta_L_gap_run_id_1159,0.0652507169325354,,nan,nan,nan,nan
beta_L_gap_run_id_1197,1.7508302009348,,3.72534569293118e-08,2.12775955711876e-06,1.75083,1.75083
beta_L_gap_run_id_152,-2.30971998059482,,nan,nan,nan,nan
beta_L_gap_run_id_411,-1.98080904823111,,5.52698858340233e-08,2.79026824334129e-06,-1.98081,-1.98081
beta_L_gap_run_id_462,-4.5128888304359,,nan,nan,nan,nan
eta_alpha_pop,0.0279342843327011,,0.0506057965189248,181.160168330081,-0.0712513,0.12712
beta_eta_alpha_run_id_1159,-0.00566837117179203,,0.0523170523295519,922.964476813047,-0.108208,0.0968712
beta_eta_alpha_run_id_1197,-0.0212691789296514,,0.0532764440138763,250.486604067276,-0.125689,0.0831507
beta_eta_alpha_run_id_152,0.0207445926382366,,0.0651785243094314,314.195248111518,-0.107003,0.148492
beta_eta_alpha_run_id_411,0.00447761260958865,,0.0668330611885598,1492.60481010437,-0.126513,0.135468
beta_eta_alpha_run_id_462,-0.02891344132717,,0.0575876725902549,199.172668305449,-0.141783,0.0839563
omega_h,3.40310166287055e-08,1.92919734108067e-06,2.25688103766787e-08,66.3183548787717,1.19395e-08,9.69983e-08
omega_L_gap,3.80984786841097e-08,-1.57301725769934e-07,2.50544035483129e-08,65.7622152213726,1.34488e-08,1.07927e-07
bcc,1000000,,nan,nan,nan,nan
asample,11.9026512042535,,11.3809823048194,95.6172041801268,3.16478,44.7656
bsample,0.207819592846086,,0.00298693805654859,1.43727452048314,0.202048,0.213756
bvc,0.0437256719988032,,0.00467041701434083,10.6811783578047,0.0355288,0.0538137
