rep,id,eta_f,eta_h,eta_L_gap,eta_eta_alpha,mab_virus,run_id
1,411|4,-0.471088,-7.48638e-09,-6.79433e-09,0,70.0|274,411
1,411|3,-1.2573,3.30497e-08,7.90024e-09,0,70.0|274,411
1,411|5,-0.452595,2.08355e-08,-1.07963e-07,0,70.0|274,411
1,411|6,-0.509782,5.58869e-08,-2.40516e-08,0,70.0|274,411
1,411|8,-0.862918,6.24301e-08,-1.13444e-07,0,70.0|274,411
1,411|7,-1.05876,1.35232e-08,-2.19629e-09,0,70.0|274,411
1,411|9,-0.544497,-3.43992e-08,-3.33319e-08,0,70.0|274,411
1,411|10,-0.451082,-1.06799e-07,5.00629e-08,0,70.0|274,411
1,411|12,-0.938489,1.40401e-09,2.9077e-08,0,70.0|274,411
1,411|11,-0.760309,6.4421e-08,6.64193e-08,0,70.0|274,411
1,411|1,-0.172499,5.3433e-10,6.87303e-08,0,69.0|274,411
1,411|2,-1.70487,-5.95337e-08,-1.17345e-09,0,69.0|274,411
1,152|8,-1.70308,2.10401e-08,-1.52147e-08,0,65.0|322,152
1,152|7,-1.60823,-7.7238e-08,8.39331e-08,0,65.0|322,152
1,152|6,-1.55377,-6.45396e-08,-6.84584e-08,0,65.0|322,152
1,152|5,-1.60084,2.90307e-08,6.27577e-08,0,65.0|322,152
1,152|12,-2.713,4.33627e-08,-2.12379e-08,0,28.0|322,152
1,152|11,-2.64468,3.49985e-09,-2.87943e-08,0,28.0|322,152
1,152|10,-2.69982,-4.64567e-08,-6.3798e-08,0,28.0|322,152
1,152|9,-2.31655,1.97979e-08,2.00179e-08,0,28.0|322,152
1,152|3,-1.71513,1.03575e-07,8.54567e-09,0,22.0|322,152
1,152|4,-1.87739,-2.52744e-08,-2.62423e-08,0,22.0|322,152
1,152|1,-0.903232,6.50916e-08,1.2033e-08,0,69.0|322,152
1,152|2,-0.424806,9.78008e-08,-5.73877e-08,0,69.0|322,152
1,1056|8,-1.64734,8.45984e-08,5.00975e-09,0,65.0|276,1056
1,1056|7,-1.78575,5.60392e-08,3.46176e-08,0,65.0|276,1056
1,1056|6,-1.96386,-1.30889e-08,7.75838e-10,0,65.0|276,1056
1,1056|5,-1.91446,4.90366e-08,-9.04812e-08,0,65.0|276,1056
1,1056|12,-3.22545,3.04013e-08,-2.89432e-08,0,28.0|276,1056
1,1056|11,-3.15549,-8.99795e-08,-5.29997e-08,0,28.0|276,1056
1,1056|10,-2.54777,2.76443e-08,-2.6873e-09,0,28.0|276,1056
1,1056|9,-2.55533,8.24252e-08,-1.1248e-08,0,28.0|276,1056
1,1056|4,-1.91588,-1.51582e-08,8.83366e-08,0,22.0|276,1056
1,1056|3,-1.97186,1.36583e-08,2.48587e-08,0,22.0|276,1056
1,1056|1,0.861009,1.33074e-07,-2.14616e-10,0,69.0|276,1056
1,1056|2,-4.08901,-2.80957e-08,4.15769e-08,0,69.0|276,1056
1,462|6,-1.5867,-5.56585e-08,-1.74995e-08,0,55.0|292,462
