parameter,value,CV
f_pop,1,
h_pop,1.76400023447709,
beta_h_mab_virus_22_0_276,0.180361747506202,
beta_h_mab_virus_22_0_292,0.0502152425149376,
beta_h_mab_virus_22_0_322,-0.597679160497577,
beta_h_mab_virus_28_0_103,0.281022793809001,
beta_h_mab_virus_28_0_276,0.159917478221008,
beta_h_mab_virus_28_0_292,0.151176081968413,
beta_h_mab_virus_28_0_322,-0.618334864342438,
beta_h_mab_virus_32_0_292,0.325272310132825,
beta_h_mab_virus_55_0_292,-1.37345997633048,
beta_h_mab_virus_65_0_103,-0.00357191888566355,
beta_h_mab_virus_65_0_276,0.189376680946228,
beta_h_mab_virus_65_0_292,0.13623186952972,
beta_h_mab_virus_65_0_322,-0.612058602398503,
beta_h_mab_virus_69_0_103,4.8209001811835,
beta_h_mab_virus_69_0_274,2.59690087833078,
beta_h_mab_virus_69_0_276,-1.89058102149582,
beta_h_mab_virus_69_0_292,-4.94526035336687,
beta_h_mab_virus_69_0_322,1.63755053048698,
beta_h_mab_virus_70_0_274,-0.254524379539131,
L_gap_pop,-22.0489831408967,
beta_L_gap_mab_virus_22_0_276,-2.1710165667822,
beta_L_gap_mab_virus_22_0_292,-1.09870921019366,
beta_L_gap_mab_virus_22_0_322,-0.89614728435114,
beta_L_gap_mab_virus_28_0_103,4.20772137132985e-07,
beta_L_gap_mab_virus_28_0_276,-2.17101664683721,
beta_L_gap_mab_virus_28_0_292,-1.09870907508387,
beta_L_gap_mab_virus_28_0_322,-0.896147571119957,
beta_L_gap_mab_virus_32_0_292,-1.09870972902377,
beta_L_gap_mab_virus_55_0_292,-1.09870918739079,
beta_L_gap_mab_virus_65_0_103,3.195616073981e-07,
beta_L_gap_mab_virus_65_0_276,-2.17101661313294,
beta_L_gap_mab_virus_65_0_292,-1.09870909565134,
beta_L_gap_mab_virus_65_0_322,-0.896147633715708,
beta_L_gap_mab_virus_69_0_103,5.55224396237008e-07,
beta_L_gap_mab_virus_69_0_274,-1.38394248591073,
beta_L_gap_mab_virus_69_0_276,-2.17101659379577,
beta_L_gap_mab_virus_69_0_292,-1.09870911277445,
beta_L_gap_mab_virus_69_0_322,-0.896146902541019,
beta_L_gap_mab_virus_70_0_274,-1.3839422663629,
beta_L_gap_run_id_1159,-1.00705804865646,
beta_L_gap_run_id_1197,-0.420187166229393,
beta_L_gap_run_id_152,-3.58458939172783,
beta_L_gap_run_id_411,-2.76788475227373,
beta_L_gap_run_id_462,-5.58519736146146,
eta_alpha_pop,9.57069604659571e-07,
beta_eta_alpha_run_id_1159,0.0412244659863452,
beta_eta_alpha_run_id_1197,0.0283137136467563,
beta_eta_alpha_run_id_152,0.0542527442646841,
beta_eta_alpha_run_id_411,0.0458519606446492,
beta_eta_alpha_run_id_462,1.70096602536202e-07,
omega_f,2.37632905148597,1680.54394712417
omega_h,5.10388940220818e-08,2.89336095452456e-06
omega_L_gap,4.59688455585234e-08,-2.08485104572736e-07
bcc,1000000,
asample,34.6436674659249,
bsample,0.148506303284527,
bvc,0.0445943562628804,
