parameter,value,CV
h_mab_virus_22.0|103,1.76400023447709,
h_mab_virus_22.0|276,1.94436198198329,
h_mab_virus_22.0|292,1.81421547699203,
h_mab_virus_22.0|322,1.16632107397951,
h_mab_virus_28.0|103,2.04502302828609,
h_mab_virus_28.0|276,1.9239177126981,
h_mab_virus_28.0|292,1.9151763164455,
h_mab_virus_28.0|322,1.14566537013465,
h_mab_virus_32.0|292,2.08927254460991,
h_mab_virus_55.0|292,0.390540258146604,
h_mab_virus_65.0|103,1.76042831559143,
h_mab_virus_65.0|276,1.95337691542332,
h_mab_virus_65.0|292,1.90023210400681,
h_mab_virus_65.0|322,1.15194163207859,
h_mab_virus_69.0|103,6.58490041566059,
h_mab_virus_69.0|274,4.36090111280786,
h_mab_virus_69.0|276,-0.126580787018733,
h_mab_virus_69.0|292,-3.18126011888978,
h_mab_virus_69.0|322,3.40155076496407,
h_mab_virus_70.0|274,1.50947585493796,
L_gap_mab_virus_22.0|103_run_id_1056,-22.0489831408967,
L_gap_mab_virus_22.0|103_run_id_1159,-23.0560411895531,
L_gap_mab_virus_22.0|103_run_id_1197,-22.4691703071261,
L_gap_mab_virus_22.0|103_run_id_152,-25.6335725326245,
L_gap_mab_virus_22.0|103_run_id_411,-24.8168678931704,
L_gap_mab_virus_22.0|103_run_id_462,-27.6341805023581,
L_gap_mab_virus_22.0|276_run_id_1056,-24.2199997076789,
L_gap_mab_virus_22.0|276_run_id_1159,-25.2270577563354,
L_gap_mab_virus_22.0|276_run_id_1197,-24.6401868739083,
L_gap_mab_virus_22.0|276_run_id_152,-27.8045890994067,
L_gap_mab_virus_22.0|276_run_id_411,-26.9878844599526,
L_gap_mab_virus_22.0|276_run_id_462,-29.8051970691404,
L_gap_mab_virus_22.0|292_run_id_1056,-23.1476923510904,
L_gap_mab_virus_22.0|292_run_id_1159,-24.1547503997468,
L_gap_mab_virus_22.0|292_run_id_1197,-23.5678795173197,
L_gap_mab_virus_22.0|292_run_id_152,-26.7322817428182,
L_gap_mab_virus_22.0|292_run_id_411,-25.9155771033641,
L_gap_mab_virus_22.0|292_run_id_462,-28.7328897125518,
L_gap_mab_virus_22.0|322_run_id_1056,-22.9451304252478,
L_gap_mab_virus_22.0|322_run_id_1159,-23.9521884739043,
L_gap_mab_virus_22.0|322_run_id_1197,-23.3653175914772,
L_gap_mab_virus_22.0|322_run_id_152,-26.5297198169757,
L_gap_mab_virus_22.0|322_run_id_411,-25.7130151775216,
L_gap_mab_virus_22.0|322_run_id_462,-28.5303277867093,
L_gap_mab_virus_28.0|103_run_id_1056,-22.0489827201245,
L_gap_mab_virus_28.0|103_run_id_1159,-23.056040768781,
L_gap_mab_virus_28.0|103_run_id_1197,-22.4691698863539,
L_gap_mab_virus_28.0|103_run_id_152,-25.6335721118524,
L_gap_mab_virus_28.0|103_run_id_411,-24.8168674723983,
L_gap_mab_virus_28.0|103_run_id_462,-27.634180081586,
L_gap_mab_virus_28.0|276_run_id_1056,-24.2199997877339,
L_gap_mab_virus_28.0|276_run_id_1159,-25.2270578363904,
L_gap_mab_virus_28.0|276_run_id_1197,-24.6401869539633,
L_gap_mab_virus_28.0|276_run_id_152,-27.8045891794617,
L_gap_mab_virus_28.0|276_run_id_411,-26.9878845400076,
L_gap_mab_virus_28.0|276_run_id_462,-29.8051971491954,
L_gap_mab_virus_28.0|292_run_id_1056,-23.1476922159806,
L_gap_mab_virus_28.0|292_run_id_1159,-24.154750264637,
L_gap_mab_virus_28.0|292_run_id_1197,-23.5678793822099,
L_gap_mab_virus_28.0|292_run_id_152,-26.7322816077084,
L_gap_mab_virus_28.0|292_run_id_411,-25.9155769682543,
L_gap_mab_virus_28.0|292_run_id_462,-28.732889577442,
L_gap_mab_virus_28.0|322_run_id_1056,-22.9451307120166,
L_gap_mab_virus_28.0|322_run_id_1159,-23.9521887606731,
L_gap_mab_virus_28.0|322_run_id_1197,-23.365317878246,
L_gap_mab_virus_28.0|322_run_id_152,-26.5297201037445,
L_gap_mab_virus_28.0|322_run_id_411,-25.7130154642904,
L_gap_mab_virus_28.0|322_run_id_462,-28.5303280734781,
L_gap_mab_virus_32.0|292_run_id_1056,-23.1476928699205,
L_gap_mab_virus_32.0|292_run_id_1159,-24.1547509185769,
L_gap_mab_virus_32.0|292_run_id_1197,-23.5678800361498,
L_gap_mab_virus_32.0|292_run_id_152,-26.7322822616483,
L_gap_mab_virus_32.0|292_run_id_411,-25.9155776221942,
L_gap_mab_virus_32.0|292_run_id_462,-28.7328902313819,
L_gap_mab_virus_55.0|292_run_id_1056,-23.1476923282875,
L_gap_mab_virus_55.0|292_run_id_1159,-24.1547503769439,
L_gap_mab_virus_55.0|292_run_id_1197,-23.5678794945169,
L_gap_mab_virus_55.0|292_run_id_152,-26.7322817200153,
L_gap_mab_virus_55.0|292_run_id_411,-25.9155770805612,
L_gap_mab_virus_55.0|292_run_id_462,-28.7328896897489,
L_gap_mab_virus_65.0|103_run_id_1056,-22.0489828213351,
L_gap_mab_virus_65.0|103_run_id_1159,-23.0560408699915,
L_gap_mab_virus_65.0|103_run_id_1197,-22.4691699875645,
L_gap_mab_virus_65.0|103_run_id_152,-25.6335722130629,
L_gap_mab_virus_65.0|103_run_id_411,-24.8168675736088,
L_gap_mab_virus_65.0|103_run_id_462,-27.6341801827965,
L_gap_mab_virus_65.0|276_run_id_1056,-24.2199997540296,
L_gap_mab_virus_65.0|276_run_id_1159,-25.2270578026861,
L_gap_mab_virus_65.0|276_run_id_1197,-24.640186920259,
L_gap_mab_virus_65.0|276_run_id_152,-27.8045891457575,
L_gap_mab_virus_65.0|276_run_id_411,-26.9878845063034,
L_gap_mab_virus_65.0|276_run_id_462,-29.8051971154911,
L_gap_mab_virus_65.0|292_run_id_1056,-23.147692236548,
L_gap_mab_virus_65.0|292_run_id_1159,-24.1547502852045,
L_gap_mab_virus_65.0|292_run_id_1197,-23.5678794027774,
L_gap_mab_virus_65.0|292_run_id_152,-26.7322816282759,
L_gap_mab_virus_65.0|292_run_id_411,-25.9155769888218,
L_gap_mab_virus_65.0|292_run_id_462,-28.7328895980095,
L_gap_mab_virus_65.0|322_run_id_1056,-22.9451307746124,
L_gap_mab_virus_65.0|322_run_id_1159,-23.9521888232689,
L_gap_mab_virus_65.0|322_run_id_1197,-23.3653179408418,
L_gap_mab_virus_65.0|322_run_id_152,-26.5297201663402,
L_gap_mab_virus_65.0|322_run_id_411,-25.7130155268861,
L_gap_mab_virus_65.0|322_run_id_462,-28.5303281360739,
L_gap_mab_virus_69.0|103_run_id_1056,-22.0489825856723,
L_gap_mab_virus_69.0|103_run_id_1159,-23.0560406343288,
L_gap_mab_virus_69.0|103_run_id_1197,-22.4691697519017,
L_gap_mab_virus_69.0|103_run_id_152,-25.6335719774001,
L_gap_mab_virus_69.0|103_run_id_411,-24.816867337946,
L_gap_mab_virus_69.0|103_run_id_462,-27.6341799471338,
L_gap_mab_virus_69.0|274_run_id_1056,-23.4329256268074,
L_gap_mab_virus_69.0|274_run_id_1159,-24.4399836754639,
L_gap_mab_virus_69.0|274_run_id_1197,-23.8531127930368,
L_gap_mab_virus_69.0|274_run_id_152,-27.0175150185352,
L_gap_mab_virus_69.0|274_run_id_411,-26.2008103790811,
L_gap_mab_virus_69.0|274_run_id_462,-29.0181229882689,
L_gap_mab_virus_69.0|276_run_id_1056,-24.2199997346925,
L_gap_mab_virus_69.0|276_run_id_1159,-25.2270577833489,
L_gap_mab_virus_69.0|276_run_id_1197,-24.6401869009219,
L_gap_mab_virus_69.0|276_run_id_152,-27.8045891264203,
L_gap_mab_virus_69.0|276_run_id_411,-26.9878844869662,
L_gap_mab_virus_69.0|276_run_id_462,-29.8051970961539,
L_gap_mab_virus_69.0|292_run_id_1056,-23.1476922536711,
L_gap_mab_virus_69.0|292_run_id_1159,-24.1547503023276,
L_gap_mab_virus_69.0|292_run_id_1197,-23.5678794199005,
L_gap_mab_virus_69.0|292_run_id_152,-26.732281645399,
L_gap_mab_virus_69.0|292_run_id_411,-25.9155770059449,
L_gap_mab_virus_69.0|292_run_id_462,-28.7328896151326,
L_gap_mab_virus_69.0|322_run_id_1056,-22.9451300434377,
L_gap_mab_virus_69.0|322_run_id_1159,-23.9521880920942,
L_gap_mab_virus_69.0|322_run_id_1197,-23.3653172096671,
L_gap_mab_virus_69.0|322_run_id_152,-26.5297194351655,
L_gap_mab_virus_69.0|322_run_id_411,-25.7130147957114,
L_gap_mab_virus_69.0|322_run_id_462,-28.5303274048992,
L_gap_mab_virus_70.0|274_run_id_1056,-23.4329254072596,
L_gap_mab_virus_70.0|274_run_id_1159,-24.439983455916,
L_gap_mab_virus_70.0|274_run_id_1197,-23.853112573489,
L_gap_mab_virus_70.0|274_run_id_152,-27.0175147989874,
L_gap_mab_virus_70.0|274_run_id_411,-26.2008101595333,
L_gap_mab_virus_70.0|274_run_id_462,-29.018122768721,
eta_alpha_run_id_1056,9.57069604659571e-07,
eta_alpha_run_id_1159,0.0412254230559499,
eta_alpha_run_id_1197,0.028314670716361,
eta_alpha_run_id_152,0.0542537013342888,
eta_alpha_run_id_411,0.0458529177142539,
