rep,id,f,h,L_gap,eta_alpha,mab_virus,run_id
1,411|4,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|3,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|5,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|6,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|8,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|7,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|9,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|10,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|12,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|11,0.502838,1.50948,-24.22,0.0335179,70.0|274,411
1,411|1,0.0852359,4.3609,-24.22,0.0335179,69.0|274,411
1,411|2,0.0852359,4.3609,-24.22,0.0335179,69.0|274,411
1,152|8,0.194654,1.15194,-24.22,0.0490924,65.0|322,152
1,152|7,0.194654,1.15194,-24.22,0.0490924,65.0|322,152
1,152|6,0.194654,1.15194,-24.22,0.0490924,65.0|322,152
1,152|5,0.194654,1.15194,-24.22,0.0490924,65.0|322,152
1,152|12,0.0699768,1.14567,-24.22,0.0490924,28.0|322,152
1,152|11,0.0699768,1.14567,-24.22,0.0490924,28.0|322,152
1,152|10,0.0699768,1.14567,-24.22,0.0490924,28.0|322,152
1,152|9,0.0699768,1.14567,-24.22,0.0490924,28.0|322,152
1,152|3,0.163757,1.16632,-24.22,0.0490924,22.0|322,152
1,152|4,0.163757,1.16632,-24.22,0.0490924,22.0|322,152
1,152|1,0.0869168,3.40155,-24.22,0.0490924,69.0|322,152
1,152|2,0.0869168,3.40155,-24.22,0.0490924,69.0|322,152
1,1056|8,0.150772,1.95338,-24.22,0.0154073,65.0|276,1056
1,1056|7,0.150772,1.95338,-24.22,0.0154073,65.0|276,1056
1,1056|6,0.150772,1.95338,-24.22,0.0154073,65.0|276,1056
1,1056|5,0.150772,1.95338,-24.22,0.0154073,65.0|276,1056
1,1056|12,0.0626392,1.92392,-24.22,0.0154073,28.0|276,1056
1,1056|11,0.0626392,1.92392,-24.22,0.0154073,28.0|276,1056
1,1056|10,0.0626392,1.92392,-24.22,0.0154073,28.0|276,1056
1,1056|9,0.0626392,1.92392,-24.22,0.0154073,28.0|276,1056
1,1056|4,0.125706,1.94436,-24.22,0.0154073,22.0|276,1056
1,1056|3,0.125706,1.94436,-24.22,0.0154073,22.0|276,1056
1,1056|1,0.0869195,-0.12658,-24.22,0.0154073,69.0|276,1056
1,1056|2,0.0869195,-0.12658,-24.22,0.0154073,69.0|276,1056
1,462|6,0.0869195,0.39054,-24.22,-0.0586792,55.0|292,462
1,462|5,0.0869195,0.39054,-24.22,-0.0586792,55.0|292,462
1,462|4,0.0869195,0.39054,-24.22,-0.0586792,55.0|292,462
1,462|3,0.0869195,0.39054,-24.22,-0.0586792,55.0|292,462
1,462|9,0.0235876,2.08927,-24.22,-0.0586792,32.0|292,462
1,462|10,0.0235876,2.08927,-24.22,-0.0586792,32.0|292,462
1,462|7,0.0235876,2.08927,-24.22,-0.0586792,32.0|292,462
1,462|8,0.0235876,2.08927,-24.22,-0.0586792,32.0|292,462
1,462|11,0.297607,1.81422,-24.22,-0.0586792,22.0|292,462
1,462|12,0.297607,1.81422,-24.22,-0.0586792,22.0|292,462
1,462|1,0.0869305,-3.18126,-24.22,-0.0586792,69.0|292,462
1,462|2,0.0869305,-3.18126,-24.22,-0.0586792,69.0|292,462
1,1159|8,0.285399,1.90023,-24.22,0.0154071,65.0|292,1159
1,1159|7,0.285399,1.90023,-24.22,0.0154071,65.0|292,1159
1,1159|5,0.285399,1.90023,-24.22,0.0154071,65.0|292,1159
1,1159|6,0.285399,1.90023,-24.22,0.0154071,65.0|292,1159
1,1159|11,0.0869195,1.91518,-24.22,0.0154071,28.0|292,1159
1,1159|12,0.0869195,1.91518,-24.22,0.0154071,28.0|292,1159
1,1159|9,0.0869195,1.91518,-24.22,0.0154071,28.0|292,1159
1,1159|10,0.0869195,1.91518,-24.22,0.0154071,28.0|292,1159
1,1159|4,0.297607,1.81422,-24.22,0.0154071,22.0|292,1159
1,1159|3,0.297607,1.81422,-24.22,0.0154071,22.0|292,1159
1,1159|1,0.0869305,-3.18126,-24.22,0.0154071,69.0|292,1159
1,1159|2,0.0869305,-3.18126,-24.22,0.0154071,69.0|292,1159
1,1197|7,0.029277,1.76043,-24.22,-0.00187181,65.0|103,1197
1,1197|8,0.029277,1.76043,-24.22,-0.00187181,65.0|103,1197
1,1197|6,0.029277,1.76043,-24.22,-0.00187181,65.0|103,1197
1,1197|5,0.029277,1.76043,-24.22,-0.00187181,65.0|103,1197
1,1197|12,0.0260773,2.04502,-24.22,-0.00187181,28.0|103,1197
1,1197|10,0.0260773,2.04502,-24.22,-0.00187181,28.0|103,1197
1,1197|9,0.0260773,2.04502,-24.22,-0.00187181,28.0|103,1197
1,1197|3,0.0869195,1.764,-24.22,-0.00187181,22.0|103,1197
1,1197|4,0.0869195,1.764,-24.22,-0.00187181,22.0|103,1197
1,1197|11,0.0260773,2.04502,-24.22,-0.00187181,28.0|103,1197
1,1197|1,0.0869083,6.5849,-24.22,-0.00187181,69.0|103,1197
1,1197|2,0.0869083,6.5849,-24.22,-0.00187181,69.0|103,1197
