rep,id,eta_f,eta_h,eta_L_gap,eta_eta_alpha,mab_virus,run_id
1,411|4,0,5.39467e-09,4.59604e-08,0,70.0|274,411
1,411|3,0,-1.0504e-08,-2.15547e-07,0,70.0|274,411
1,411|5,0,-2.11252e-09,1.26906e-08,0,70.0|274,411
1,411|6,0,6.20973e-09,8.33347e-08,0,70.0|274,411
1,411|8,0,1.99973e-08,7.40023e-08,0,70.0|274,411
1,411|7,0,4.88841e-10,3.02253e-08,0,70.0|274,411
1,411|9,0,5.97068e-09,5.24548e-08,0,70.0|274,411
1,411|10,0,5.30689e-08,7.56021e-08,0,70.0|274,411
1,411|12,0,6.60673e-09,-4.71138e-08,0,70.0|274,411
1,411|11,0,-3.6541e-08,-4.52331e-08,0,70.0|274,411
1,411|1,0,4.66422e-08,-4.66613e-08,0,69.0|274,411
1,411|2,0,-2.4911e-08,-6.73808e-10,0,69.0|274,411
1,152|8,0,-2.07228e-08,-2.90854e-08,0,65.0|322,152
1,152|7,0,2.61408e-09,-2.85591e-08,0,65.0|322,152
1,152|6,0,-1.6056e-08,-5.25774e-09,0,65.0|322,152
1,152|5,0,-1.92841e-08,-3.32388e-08,0,65.0|322,152
1,152|12,0,2.15576e-08,1.42443e-08,0,28.0|322,152
1,152|11,0,7.83816e-09,3.31155e-08,0,28.0|322,152
1,152|10,0,-1.05711e-08,-1.34727e-07,0,28.0|322,152
1,152|9,0,-3.14964e-08,-1.40641e-10,0,28.0|322,152
1,152|3,0,-1.17086e-08,-8.07925e-08,0,22.0|322,152
1,152|4,0,-8.52204e-09,1.87459e-10,0,22.0|322,152
1,152|1,0,-1.10707e-09,1.85019e-08,0,69.0|322,152
1,152|2,0,4.85636e-10,3.90475e-08,0,69.0|322,152
1,1056|8,0,-2.32185e-09,-1.03523e-07,0,65.0|276,1056
1,1056|7,0,1.5718e-08,-3.52322e-08,0,65.0|276,1056
1,1056|6,0,4.61674e-08,-4.7016e-08,0,65.0|276,1056
1,1056|5,0,-2.43641e-09,-2.27438e-08,0,65.0|276,1056
1,1056|12,0,-2.99877e-09,6.47023e-08,0,28.0|276,1056
1,1056|11,0,-1.53254e-08,-2.46061e-08,0,28.0|276,1056
1,1056|10,0,-1.9103e-08,4.43559e-08,0,28.0|276,1056
1,1056|9,0,1.67899e-08,5.11129e-08,0,28.0|276,1056
1,1056|4,0,3.81272e-08,4.47318e-08,0,22.0|276,1056
1,1056|3,0,3.05123e-09,-7.70623e-08,0,22.0|276,1056
1,1056|1,0,-2.15585e-08,2.1945e-09,0,69.0|276,1056
1,1056|2,0,1.51265e-09,3.53469e-08,0,69.0|276,1056
1,462|6,0,-3.70025e-08,-6.8549e-08,0,55.0|292,462
1,462|5,0,-9.00762e-08,-8.23611e-08,0,55.0|292,462
1,462|4,0,-8.16639e-09,-1.62383e-07,0,55.0|292,462
1,462|3,0,3.79816e-08,1.5567e-08,0,55.0|292,462
1,462|9,0,-2.99813e-08,-8.40992e-08,0,32.0|292,462
1,462|10,0,-2.3546e-08,8.8402e-08,0,32.0|292,462
1,462|7,0,3.60721e-08,-3.82421e-08,0,32.0|292,462
1,462|8,0,-2.87083e-08,-3.57008e-08,0,32.0|292,462
1,462|11,0,-3.84222e-08,1.36078e-08,0,22.0|292,462
1,462|12,0,-1.01458e-08,1.204e-08,0,22.0|292,462
1,462|1,0,3.40648e-09,-1.22928e-07,0,69.0|292,462
1,462|2,0,1.38847e-08,4.3478e-08,0,69.0|292,462
1,1159|8,0,4.47325e-09,-2.56655e-08,0,65.0|292,1159
1,1159|7,0,-1.94218e-08,3.75348e-08,0,65.0|292,1159
1,1159|5,0,-4.64659e-09,-2.58674e-08,0,65.0|292,1159
1,1159|6,0,-2.22086e-08,5.36693e-08,0,65.0|292,1159
1,1159|11,0,-2.33011e-08,-1.3601e-08,0,28.0|292,1159
1,1159|12,0,8.14551e-09,1.70212e-08,0,28.0|292,1159
1,1159|9,0,-8.86025e-09,-4.52934e-08,0,28.0|292,1159
1,1159|10,0,-4.22773e-09,-8.75314e-10,0,28.0|292,1159
1,1159|4,0,-1.04384e-08,-4.42683e-08,0,22.0|292,1159
1,1159|3,0,-4.21811e-08,5.72417e-09,0,22.0|292,1159
1,1159|1,0,3.38296e-08,3.00033e-08,0,69.0|292,1159
1,1159|2,0,-2.47553e-08,-4.93249e-08,0,69.0|292,1159
1,1197|7,0,-2.12201e-08,-3.58874e-08,0,65.0|103,1197
1,1197|8,0,1.27773e-08,4.17211e-08,0,65.0|103,1197
1,1197|6,0,-1.43574e-08,2.78087e-08,0,65.0|103,1197
1,1197|5,0,-4.34921e-08,-9.22285e-08,0,65.0|103,1197
1,1197|12,0,-8.46652e-09,5.98482e-08,0,28.0|103,1197
1,1197|10,0,6.24636e-09,-1.13096e-07,0,28.0|103,1197
1,1197|9,0,2.63568e-08,1.44324e-08,0,28.0|103,1197
1,1197|3,0,-4.50903e-08,2.40291e-08,0,22.0|103,1197
1,1197|4,0,-1.89741e-08,3.71831e-08,0,22.0|103,1197
1,1197|11,0,1.7471e-08,3.05467e-08,0,28.0|103,1197
1,1197|1,0,4.10851e-08,-5.46155e-08,0,69.0|103,1197
1,1197|2,0,-3.68719e-08,-2.01852e-09,0,69.0|103,1197
