rep,id,f,h,L_gap,eta_alpha,mab_virus,run_id
1,411|4,0.475462,1.50948,-24.22,0.0437932,70.0|274,411
1,411|3,0.311797,1.50948,-24.22,0.0437932,70.0|274,411
1,411|5,0.568967,1.50948,-24.22,0.0437932,70.0|274,411
1,411|6,0.689304,1.50948,-24.22,0.0437932,70.0|274,411
1,411|8,0.407131,1.50948,-24.22,0.0437932,70.0|274,411
1,411|7,0.37409,1.50948,-24.22,0.0437932,70.0|274,411
1,411|9,0.511393,1.50948,-24.22,0.0437932,70.0|274,411
1,411|10,0.651007,1.50948,-24.22,0.0437932,70.0|274,411
1,411|12,0.446434,1.50948,-24.22,0.0437932,70.0|274,411
1,411|11,0.362224,1.50948,-24.22,0.0437932,70.0|274,411
1,411|1,744.743,4.3609,-24.22,0.0437932,69.0|274,411
1,411|2,0.000610067,4.3609,-24.22,0.0437932,69.0|274,411
1,152|8,0.214011,1.15194,-24.22,0.0525085,65.0|322,152
1,152|7,0.208565,1.15194,-24.22,0.0525085,65.0|322,152
1,152|6,0.192199,1.15194,-24.22,0.0525085,65.0|322,152
1,152|5,0.175445,1.15194,-24.22,0.0525085,65.0|322,152
1,152|12,0.0672295,1.14567,-24.22,0.0525085,28.0|322,152
1,152|11,0.0735171,1.14567,-24.22,0.0525085,28.0|322,152
1,152|10,0.0676107,1.14567,-24.22,0.0525085,28.0|322,152
1,152|9,0.0808677,1.14567,-24.22,0.0525085,28.0|322,152
1,152|3,0.19227,1.16632,-24.22,0.0525085,22.0|322,152
1,152|4,0.150902,1.16632,-24.22,0.0525085,22.0|322,152
1,152|1,42.4645,3.40155,-24.22,0.0525085,69.0|322,152
1,152|2,2.527,3.40155,-24.22,0.0525085,69.0|322,152
1,1056|8,0.142486,1.95338,-24.22,0.008786,65.0|276,1056
1,1056|7,0.158379,1.95338,-24.22,0.008786,65.0|276,1056
1,1056|6,0.151152,1.95338,-24.22,0.008786,65.0|276,1056
1,1056|5,0.208011,1.95338,-24.22,0.008786,65.0|276,1056
1,1056|12,0.0385947,1.92392,-24.22,0.008786,28.0|276,1056
1,1056|11,0.0478441,1.92392,-24.22,0.008786,28.0|276,1056
1,1056|10,0.0722199,1.92392,-24.22,0.008786,28.0|276,1056
1,1056|9,0.0746581,1.92392,-24.22,0.008786,28.0|276,1056
1,1056|4,0.127131,1.94436,-24.22,0.008786,22.0|276,1056
1,1056|3,0.121826,1.94436,-24.22,0.008786,22.0|276,1056
1,1056|1,8.29164,-0.126581,-24.22,0.008786,69.0|276,1056
1,1056|2,0.48767,-0.12658,-24.22,0.008786,69.0|276,1056
1,462|6,0.38252,0.39054,-24.22,0.00878548,55.0|292,462
1,462|5,0.441902,0.39054,-24.22,0.00878548,55.0|292,462
1,462|4,0.248872,0.39054,-24.22,0.00878548,55.0|292,462
1,462|3,0.436072,0.39054,-24.22,0.00878548,55.0|292,462
1,462|9,0.0224148,2.08927,-24.22,0.00878548,32.0|292,462
1,462|10,0.0231865,2.08927,-24.22,0.00878548,32.0|292,462
1,462|7,0.0269084,2.08927,-24.22,0.00878548,32.0|292,462
1,462|8,0.0258184,2.08927,-24.22,0.00878548,32.0|292,462
1,462|11,0.272731,1.81422,-24.22,0.00878548,22.0|292,462
1,462|12,0.312321,1.81422,-24.22,0.00878548,22.0|292,462
1,462|1,0.786774,-3.18126,-24.22,0.00878548,69.0|292,462
1,462|2,0.522062,-3.18126,-24.22,0.00878548,69.0|292,462
1,1159|8,0.249522,1.90023,-24.22,0.0433446,65.0|292,1159
1,1159|7,0.296364,1.90023,-24.22,0.0433446,65.0|292,1159
1,1159|5,0.278601,1.90023,-24.22,0.0433446,65.0|292,1159
1,1159|6,0.338532,1.90023,-24.22,0.0433446,65.0|292,1159
1,1159|11,0.0544267,1.91518,-24.22,0.0433446,28.0|292,1159
1,1159|12,0.0529891,1.91518,-24.22,0.0433446,28.0|292,1159
1,1159|9,0.106523,1.91518,-24.22,0.0433446,28.0|292,1159
1,1159|10,0.0865203,1.91518,-24.22,0.0433446,28.0|292,1159
1,1159|4,0.356869,1.81421,-24.22,0.0433446,22.0|292,1159
1,1159|3,0.317842,1.81421,-24.22,0.0433446,22.0|292,1159
1,1159|1,5.77894,-3.18126,-24.22,0.0433446,69.0|292,1159
1,1159|2,0.715607,-3.18126,-24.22,0.0433446,69.0|292,1159
1,1197|7,0.033026,1.76043,-24.22,0.0294604,65.0|103,1197
1,1197|8,0.0291976,1.76043,-24.22,0.0294604,65.0|103,1197
1,1197|6,0.0280043,1.76043,-24.22,0.0294604,65.0|103,1197
1,1197|5,0.0331467,1.76043,-24.22,0.0294604,65.0|103,1197
1,1197|12,0.0253249,2.04502,-24.22,0.0294604,28.0|103,1197
1,1197|10,0.0285314,2.04502,-24.22,0.0294604,28.0|103,1197
1,1197|9,0.0293837,2.04502,-24.22,0.0294604,28.0|103,1197
1,1197|3,0.0316447,1.764,-24.22,0.0294604,22.0|103,1197
1,1197|4,0.0306186,1.764,-24.22,0.0294604,22.0|103,1197
1,1197|11,0.0258684,2.04502,-24.22,0.0294604,28.0|103,1197
1,1197|1,0.281254,6.5849,-24.22,0.0294604,69.0|103,1197
1,1197|2,10.4962,6.5849,-24.22,0.0294604,69.0|103,1197
