parameter,value,CV
f_pop,1,
beta_f_run_id_1159,0,
beta_f_run_id_1197,0,
beta_f_run_id_152,0,
beta_f_run_id_411,0,
beta_f_run_id_462,0,
h_pop,1.34063296170389,
beta_h_mab_virus_22_0_276,0.60372872858692,
beta_h_mab_virus_22_0_292,0.86303473848979,
beta_h_mab_virus_22_0_322,-0.474901026916055,
beta_h_mab_virus_28_0_103,0.281022536595228,
beta_h_mab_virus_28_0_276,0.583284836161216,
beta_h_mab_virus_28_0_292,0.963996049986402,
beta_h_mab_virus_28_0_322,-0.495557088879861,
beta_h_mab_virus_32_0_292,1.13809260846905,
beta_h_mab_virus_55_0_292,-0.560640196897621,
beta_h_mab_virus_65_0_103,-0.00357229889130262,
beta_h_mab_virus_65_0_276,0.61274422549491,
beta_h_mab_virus_65_0_292,0.949051898457057,
beta_h_mab_virus_65_0_322,-0.4892807258807,
beta_h_mab_virus_69_0_103,4.82090002786946,
beta_h_mab_virus_69_0_274,1.9572311649879,
beta_h_mab_virus_69_0_276,-1.4672134332538,
beta_h_mab_virus_69_0_292,-4.13244046831009,
beta_h_mab_virus_69_0_322,1.76032827815233,
beta_h_mab_virus_70_0_274,-0.89419418734336,
beta_h_run_id_1159,-0.389452891344128,
beta_h_run_id_1197,0.42336756039984,
beta_h_run_id_152,0.300589436475679,
beta_h_run_id_411,1.06303697764457,
beta_h_run_id_462,-0.389452478461319,
L_gap_pop,-24.2199999569599,
beta_L_gap_mab_virus_22_0_276,2.53575649367122e-09,
beta_L_gap_mab_virus_22_0_292,-1.46491061059351e-07,
beta_L_gap_mab_virus_22_0_322,-3.47729539385e-07,
beta_L_gap_mab_virus_28_0_103,6.48289812943403e-08,
beta_L_gap_mab_virus_28_0_276,3.03079346508639e-07,
beta_L_gap_mab_virus_28_0_292,1.08433226841953e-07,
beta_L_gap_mab_virus_28_0_322,4.72266634687912e-08,
beta_L_gap_mab_virus_32_0_292,-2.29872625823191e-07,
beta_L_gap_mab_virus_55_0_292,1.84953393045362e-07,
beta_L_gap_mab_virus_65_0_103,3.51255906139158e-07,
beta_L_gap_mab_virus_65_0_276,2.63396088939771e-07,
beta_L_gap_mab_virus_65_0_292,9.21124296837661e-08,
beta_L_gap_mab_virus_65_0_322,1.04327739336441e-07,
beta_L_gap_mab_virus_69_0_103,1.55789194877798e-07,
beta_L_gap_mab_virus_69_0_274,-4.63787245053027e-07,
beta_L_gap_mab_virus_69_0_276,6.04574339035935e-07,
beta_L_gap_mab_virus_69_0_292,-1.86605149110619e-08,
beta_L_gap_mab_virus_69_0_322,2.57022762184533e-07,
beta_L_gap_mab_virus_70_0_274,-1.12542039687469e-07,
eta_alpha_pop,0.00878599639551777,
beta_eta_alpha_run_id_1159,0.0345586477046609,
beta_eta_alpha_run_id_1197,0.0206743799334956,
beta_eta_alpha_run_id_152,0.0437224936263147,
beta_eta_alpha_run_id_411,0.0350071834504423,
beta_eta_alpha_run_id_462,-5.17506724108444e-07,
omega_f,2.38222022091051,1704.34891146032
omega_h,4.84354394958108e-08,3.61287845960847e-06
omega_L_gap,4.4264329486083e-08,-1.82759411910582e-07
bcc,1000000,
asample,35.2656633201426,
bsample,0.149159771866992,
bvc,0.0446504135282598,
