parameter,value,CV
h_mab_virus_22.0|103,1.76399969918204,
h_mab_virus_22.0|276,1.94436252233576,
h_mab_virus_22.0|292,1.8142151965052,
h_mab_virus_22.0|322,1.16632118601779,
h_mab_virus_28.0|103,2.0450234863144,
h_mab_virus_28.0|276,1.92391773393003,
h_mab_virus_28.0|292,1.91517632808313,
h_mab_virus_28.0|322,1.14566591439363,
h_mab_virus_32.0|292,2.08927221340896,
h_mab_virus_55.0|292,0.390539904107436,
h_mab_virus_65.0|103,1.76042839362753,
h_mab_virus_65.0|276,1.95337660865097,
h_mab_virus_65.0|292,1.9002319894748,
h_mab_virus_65.0|322,1.15194125305403,
h_mab_virus_69.0|103,6.58489989204427,
h_mab_virus_69.0|274,4.3609001982713,
h_mab_virus_69.0|276,-0.126579658822081,
h_mab_virus_69.0|292,-3.18126064274191,
h_mab_virus_69.0|322,3.40154986113888,
h_mab_virus_70.0|274,1.50947539733004,
L_gap_mab_virus_22.0|103_run_id_1056,-24.2383390166081,
L_gap_mab_virus_22.0|103_run_id_1159,-24.1593344660997,
L_gap_mab_virus_22.0|103_run_id_1197,-22.4691700151082,
L_gap_mab_virus_22.0|103_run_id_152,-26.5333888025033,
L_gap_mab_virus_22.0|103_run_id_411,-26.2069231984424,
L_gap_mab_virus_22.0|103_run_id_462,-28.7374744510271,
L_gap_mab_virus_22.0|276_run_id_1056,-28.4740502023938,
L_gap_mab_virus_22.0|276_run_id_1159,-28.3950456518854,
L_gap_mab_virus_22.0|276_run_id_1197,-26.7048812008939,
L_gap_mab_virus_22.0|276_run_id_152,-30.7690999882891,
L_gap_mab_virus_22.0|276_run_id_411,-30.4426343842281,
L_gap_mab_virus_22.0|276_run_id_462,-32.9731856368129,
L_gap_mab_virus_22.0|292_run_id_1056,-23.8271262191576,
L_gap_mab_virus_22.0|292_run_id_1159,-23.7481216686492,
L_gap_mab_virus_22.0|292_run_id_1197,-22.0579572176577,
L_gap_mab_virus_22.0|292_run_id_152,-26.1221760050528,
L_gap_mab_virus_22.0|292_run_id_411,-25.7957104009919,
L_gap_mab_virus_22.0|292_run_id_462,-28.3262616535766,
L_gap_mab_virus_22.0|322_run_id_1056,-23.898925643421,
L_gap_mab_virus_22.0|322_run_id_1159,-23.8199210929126,
L_gap_mab_virus_22.0|322_run_id_1197,-22.1297566419211,
L_gap_mab_virus_22.0|322_run_id_152,-26.1939754293163,
L_gap_mab_virus_22.0|322_run_id_411,-25.8675098252553,
L_gap_mab_virus_22.0|322_run_id_462,-28.39806107784,
L_gap_mab_virus_28.0|103_run_id_1056,-31.8475184027638,
L_gap_mab_virus_28.0|103_run_id_1159,-31.7685138522554,
L_gap_mab_virus_28.0|103_run_id_1197,-30.0783494012639,
L_gap_mab_virus_28.0|103_run_id_152,-34.1425681886591,
L_gap_mab_virus_28.0|103_run_id_411,-33.8161025845981,
L_gap_mab_virus_28.0|103_run_id_462,-36.3466538371828,
L_gap_mab_virus_28.0|276_run_id_1056,-29.5377501246625,
L_gap_mab_virus_28.0|276_run_id_1159,-29.4587455741541,
L_gap_mab_virus_28.0|276_run_id_1197,-27.7685811231626,
L_gap_mab_virus_28.0|276_run_id_152,-31.8327999105578,
L_gap_mab_virus_28.0|276_run_id_411,-31.5063343064968,
L_gap_mab_virus_28.0|276_run_id_462,-34.0368855590815,
L_gap_mab_virus_28.0|292_run_id_1056,-27.0001449139544,
L_gap_mab_virus_28.0|292_run_id_1159,-26.921140363446,
L_gap_mab_virus_28.0|292_run_id_1197,-25.2309759124545,
L_gap_mab_virus_28.0|292_run_id_152,-29.2951946998497,
L_gap_mab_virus_28.0|292_run_id_411,-28.9687290957887,
L_gap_mab_virus_28.0|292_run_id_462,-31.4992803483734,
L_gap_mab_virus_28.0|322_run_id_1056,-22.8498706230608,
L_gap_mab_virus_28.0|322_run_id_1159,-22.7708660725524,
L_gap_mab_virus_28.0|322_run_id_1197,-21.0807016215609,
L_gap_mab_virus_28.0|322_run_id_152,-25.1449204089561,
L_gap_mab_virus_28.0|322_run_id_411,-24.8184548048951,
L_gap_mab_virus_28.0|322_run_id_462,-27.3490060574798,
L_gap_mab_virus_32.0|292_run_id_1056,-21.9329939568787,
L_gap_mab_virus_32.0|292_run_id_1159,-21.8539894063703,
L_gap_mab_virus_32.0|292_run_id_1197,-20.1638249553788,
L_gap_mab_virus_32.0|292_run_id_152,-24.228043742774,
L_gap_mab_virus_32.0|292_run_id_411,-23.901578138713,
L_gap_mab_virus_32.0|292_run_id_462,-26.4321293912977,
L_gap_mab_virus_55.0|292_run_id_1056,-25.5916945360562,
L_gap_mab_virus_55.0|292_run_id_1159,-25.5126899855478,
L_gap_mab_virus_55.0|292_run_id_1197,-23.8225255345563,
L_gap_mab_virus_55.0|292_run_id_152,-27.8867443219515,
L_gap_mab_virus_55.0|292_run_id_411,-27.5602787178905,
L_gap_mab_virus_55.0|292_run_id_462,-30.0908299704752,
L_gap_mab_virus_65.0|103_run_id_1056,-33.6488186133925,
L_gap_mab_virus_65.0|103_run_id_1159,-33.5698140628841,
L_gap_mab_virus_65.0|103_run_id_1197,-31.8796496118926,
L_gap_mab_virus_65.0|103_run_id_152,-35.9438683992878,
L_gap_mab_virus_65.0|103_run_id_411,-35.6174027952268,
L_gap_mab_virus_65.0|103_run_id_462,-38.1479540478115,
L_gap_mab_virus_65.0|276_run_id_1056,-26.3826293223073,
L_gap_mab_virus_65.0|276_run_id_1159,-26.3036247717989,
L_gap_mab_virus_65.0|276_run_id_1197,-24.6134603208074,
L_gap_mab_virus_65.0|276_run_id_152,-28.6776791082025,
L_gap_mab_virus_65.0|276_run_id_411,-28.3512135041416,
L_gap_mab_virus_65.0|276_run_id_462,-30.8817647567263,
L_gap_mab_virus_65.0|292_run_id_1056,-27.6640748872025,
L_gap_mab_virus_65.0|292_run_id_1159,-27.5850703366941,
L_gap_mab_virus_65.0|292_run_id_1197,-25.8949058857026,
L_gap_mab_virus_65.0|292_run_id_152,-29.9591246730977,
L_gap_mab_virus_65.0|292_run_id_411,-29.6326590690368,
L_gap_mab_virus_65.0|292_run_id_462,-32.1632103216215,
L_gap_mab_virus_65.0|322_run_id_1056,-28.4344495141448,
L_gap_mab_virus_65.0|322_run_id_1159,-28.3554449636364,
L_gap_mab_virus_65.0|322_run_id_1197,-26.6652805126449,
L_gap_mab_virus_65.0|322_run_id_152,-30.7294993000401,
L_gap_mab_virus_65.0|322_run_id_411,-30.4030336959791,
L_gap_mab_virus_65.0|322_run_id_462,-32.9335849485638,
L_gap_mab_virus_69.0|103_run_id_1056,-29.664749117363,
L_gap_mab_virus_69.0|103_run_id_1159,-29.5857445668546,
L_gap_mab_virus_69.0|103_run_id_1197,-27.8955801158631,
L_gap_mab_virus_69.0|103_run_id_152,-31.9597989032583,
L_gap_mab_virus_69.0|103_run_id_411,-31.6333332991973,
L_gap_mab_virus_69.0|103_run_id_462,-34.163884551782,
L_gap_mab_virus_69.0|274_run_id_1056,-24.6438461924086,
L_gap_mab_virus_69.0|274_run_id_1159,-24.5648416419002,
L_gap_mab_virus_69.0|274_run_id_1197,-22.8746771909087,
L_gap_mab_virus_69.0|274_run_id_152,-26.9388959783039,
L_gap_mab_virus_69.0|274_run_id_411,-26.6124303742429,
L_gap_mab_virus_69.0|274_run_id_462,-29.1429816268276,
L_gap_mab_virus_69.0|276_run_id_1056,-29.8826695835369,
L_gap_mab_virus_69.0|276_run_id_1159,-29.8036650330285,
L_gap_mab_virus_69.0|276_run_id_1197,-28.113500582037,
L_gap_mab_virus_69.0|276_run_id_152,-32.1777193694322,
L_gap_mab_virus_69.0|276_run_id_411,-31.8512537653712,
L_gap_mab_virus_69.0|276_run_id_462,-34.3818050179559,
L_gap_mab_virus_69.0|292_run_id_1056,-23.8341304703094,
L_gap_mab_virus_69.0|292_run_id_1159,-23.755125919801,
L_gap_mab_virus_69.0|292_run_id_1197,-22.0649614688095,
L_gap_mab_virus_69.0|292_run_id_152,-26.1291802562047,
L_gap_mab_virus_69.0|292_run_id_411,-25.8027146521437,
L_gap_mab_virus_69.0|292_run_id_462,-28.3332659047284,
L_gap_mab_virus_69.0|322_run_id_1056,-24.0651600717008,
L_gap_mab_virus_69.0|322_run_id_1159,-23.9861555211924,
L_gap_mab_virus_69.0|322_run_id_1197,-22.2959910702009,
L_gap_mab_virus_69.0|322_run_id_152,-26.3602098575961,
L_gap_mab_virus_69.0|322_run_id_411,-26.0337442535351,
L_gap_mab_virus_69.0|322_run_id_462,-28.5642955061198,
L_gap_mab_virus_70.0|274_run_id_1056,-25.8014160226418,
L_gap_mab_virus_70.0|274_run_id_1159,-25.7224114721334,
L_gap_mab_virus_70.0|274_run_id_1197,-24.0322470211419,
L_gap_mab_virus_70.0|274_run_id_152,-28.0964658085371,
L_gap_mab_virus_70.0|274_run_id_411,-27.7700002044761,
L_gap_mab_virus_70.0|274_run_id_462,-30.3005514570608,
eta_alpha_run_id_1056,0.0237709240196638,
eta_alpha_run_id_1159,0.0400015679624103,
eta_alpha_run_id_1197,0.0237041009801657,
eta_alpha_run_id_152,0.049774929593336,
eta_alpha_run_id_411,0.044556251887677,
eta_alpha_run_id_462,0.00290115047256458,
eta_U_mab_virus_22.0|103,0,
eta_U_mab_virus_22.0|276,0,
eta_U_mab_virus_22.0|292,0,
eta_U_mab_virus_22.0|322,0,
eta_U_mab_virus_28.0|103,0,
eta_U_mab_virus_28.0|276,0,
eta_U_mab_virus_28.0|292,0,
eta_U_mab_virus_28.0|322,0,
eta_U_mab_virus_32.0|292,0,
eta_U_mab_virus_55.0|292,0,
eta_U_mab_virus_65.0|103,0,
eta_U_mab_virus_65.0|276,0,
eta_U_mab_virus_65.0|292,0,
eta_U_mab_virus_65.0|322,0,
eta_U_mab_virus_69.0|103,0,
eta_U_mab_virus_69.0|274,0,
eta_U_mab_virus_69.0|276,0,
eta_U_mab_virus_69.0|292,0,
eta_U_mab_virus_69.0|322,0,
eta_U_mab_virus_70.0|274,0,
omega_f,2.38681131713842,1723.17408040416
omega_h,5.92305468908911e-08,3.35774132605329e-06
omega_L_gap,5.00652648533729e-08,-2.06554025088387e-07
omega_eta_U,4.07244943838169,inf
acc,40.6332085399346,
bcc,2.22044604925031e-16,
asample,34.4771804162316,
bsample,0.149901472270383,
avc,0.000368021119411963,
bvc,0.0444444952561882,
