rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,85993.3,769.639,0.159,0.00358085,0.484886,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,85993.3,769.639,0.159,0.0619737,0.484886,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,85993.3,769.639,0.159,0.0384758,0.484886,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,85993.3,769.639,0.159,0.0014793,0.484886,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,85993.3,769.639,0.159,0.00151734,0.484886,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,85993.3,769.639,0.159001,5.05788e-05,0.484886,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,85993.3,769.639,0.159,0.00451223,0.484886,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,85993.3,769.639,0.159001,0.000159381,0.484886,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,85993.3,769.639,0.159,0.000150054,0.484886,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,85993.3,769.639,0.159,0.000156393,0.484886,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,85993.3,766.878,0.159,0.779391,0.484886,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,85993.3,766.878,0.159,0.719912,0.484886,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,85993.3,766.878,0.159,1.22714,0.484886,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,85993.3,766.878,0.159,2.67085,0.484886,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,85993.3,766.878,0.159,0.00390831,0.484886,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,85993.3,766.878,0.159,0.0907031,0.484886,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,85993.3,766.878,0.159,0.286066,0.484886,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,85993.3,766.878,0.159,0.0198584,0.484886,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,85993.3,766.878,0.159,5.54208,0.484886,False,69.0|274,411
