rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0,-2.51277e-08,-5.17193e-08,-0.70021,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0,-4.3325e-08,4.56614e-08,-1.36161,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0,3.28662e-08,-3.49214e-08,-0.800375,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0,1.32109e-08,1.62304e-08,-0.882664,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0,-2.96985e-08,-5.73386e-08,-1.32151,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0,2.97991e-08,-8.67266e-08,-1.25679,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0,-2.59546e-08,6.60013e-09,-0.96475,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0,1.59915e-08,1.22719e-08,-0.653733,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0,-9.1316e-08,-2.4819e-08,-1.52802,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0,-6.21598e-08,-1.05037e-08,-1.29694,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0,-3.78088e-09,2.36792e-08,-1.55502,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,0,-3.98884e-08,-3.03905e-08,-0.938471,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0,5.34693e-08,-1.422e-07,0.979471,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0,5.36506e-08,3.88551e-08,-0.396564,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0,4.55486e-09,-2.98619e-08,-2.18204,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,0,-9.58823e-09,5.87874e-08,2.05946,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0,3.53749e-08,-1.23924e-07,3.71961,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0,7.43591e-09,1.24997e-07,3.2964,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0,6.54393e-09,4.91079e-09,0.1943,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,0,3.24495e-08,6.1391e-09,0.0304151,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0,1.073e-08,-3.5164e-10,3.43387,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0,1.43897e-08,6.3554e-08,2.30034,0,False,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,0,-5.44435e-09,-8.90226e-08,-0.984481,0,False,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,0,8.98424e-08,1.24278e-07,3.27266,0,False,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,0,1.10913e-08,4.23598e-08,1.97314,0,False,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,0,-1.68485e-08,-9.82154e-08,-0.609218,0,False,69.0|274,411
1,14|705|14|705|sample|3|233|3|233|6.0,0,-2.37435e-08,2.62227e-08,3.57773,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,0,-6.73037e-09,-1.92322e-08,6.86314,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,0,-6.71059e-08,-5.47628e-09,6.07491,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,0,7.85136e-08,-5.13533e-08,4.41122,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,0,2.73803e-09,4.85638e-08,3.23189,0,False,6.0|233,705
