rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,83947.1,769.639,0.159,8.71236e-05,0.273694,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,83947.1,769.639,0.159,0.00143593,0.273694,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,83947.1,769.639,0.159,0.0125918,0.273694,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,83947.1,769.639,0.159001,0.0158909,0.273694,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,83947.1,769.639,0.159,0.00061924,0.273694,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,83947.1,769.639,0.159001,0.00194856,0.273694,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,83947.1,769.639,0.159,0.000625913,0.273694,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,83947.1,769.639,0.159,0.0117578,0.273694,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,83947.1,769.639,0.159,0.0317219,0.273694,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,83947.1,769.639,0.159,0.000175857,0.273694,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,83947.1,766.878,0.159,7.40895,0.273694,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,83947.1,766.878,0.159,0.000215213,0.273694,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,83947.1,766.878,0.159,4.84273,0.273694,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,83947.1,766.878,0.159,3125.69,0.273694,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,83947.1,766.878,0.159,0.000491779,0.273694,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,83947.1,766.878,0.159001,0.0119079,0.273694,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,83947.1,766.878,0.159,0.00109497,0.273694,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,83947.1,766.878,0.159001,0.0244461,0.273694,False,69.0|274,411
