id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,52969,769.639,0.159,1.90854,0.256081,52969,769.639,0.159,0.0158563,0.262074,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,52969,769.639,0.159,0.336002,0.256081,52969,769.639,0.159,0.0095007,0.262074,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,52969,769.639,0.159,800.509,0.256081,52969,769.639,0.159,0.13774,0.262074,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,52969,769.639,0.159,456.506,0.256081,52969,769.639,0.159,0.401077,0.262074,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,52969,769.639,0.159,0.205371,0.256081,52969,769.639,0.159,0.00841274,0.262074,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,52969,769.639,0.159,13.803,0.256081,52969,769.639,0.159,0.00995741,0.262074,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,52969,769.639,0.159,27.8494,0.256081,52969,769.639,0.159,0.210194,0.262074,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,52969,769.639,0.159,753.938,0.256081,52969,769.639,0.159,0.227429,0.262074,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,52969,769.639,0.159,0.889291,0.256081,52969,769.639,0.159,0.00482422,0.262074,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,52969,769.639,0.159,1.83408,0.256081,52969,769.639,0.159,0.0100705,0.262074,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,52969,766.878,0.159,47359.6,0.256081,52969,766.878,0.159,1.00041,0.262074,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,52969,766.878,0.159,11527.3,0.256081,52969,766.878,0.159,0.999443,0.262074,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,52969,766.878,0.159,7679.08,0.256081,52969,766.878,0.159,0.999431,0.262074,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,52969,766.878,0.159,235450,0.256081,52969,766.878,0.159,0.871595,0.262074,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,52969,766.878,0.159,156316,0.256081,52969,766.878,0.159,0.999891,0.262074,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,52969,766.878,0.159,445979,0.256081,52969,766.878,0.159,1.00046,0.262074,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,52969,766.878,0.159,5.85393e+06,0.256081,52969,766.878,0.159,1,0.262074,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,52969,766.878,0.159,5.68505e+06,0.256081,52969,766.878,0.159,1.02868,0.262074,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,52969,766.878,0.159,8629.85,0.256081,52969,766.878,0.159,1.00008,0.262074,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,52969,766.878,0.159,104597,0.256081,52969,766.878,0.159,1.00052,0.262074,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,52969,766.878,0.159,169296,0.256081,52969,766.878,0.159,1.00008,0.262074,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,52969,766.878,0.159,18519,0.256081,52969,766.878,0.159,1.00006,0.262074,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,52969,766.878,0.159,4653.3,0.256081,52969,766.878,0.159,1.00076,0.262074,False,69.0|274,411
