parameter,value,CV
U_pop,46454.5562891076,
beta_U_goes_down_True,-0.424351243214915,
beta_U_mab_virus_22_0_292,6512.8480940017,
beta_U_mab_virus_22_0_322,1302.57498772057,
beta_U_mab_virus_28_0_103,-0.147521149810927,
beta_U_mab_virus_28_0_292,6512.66010434034,
beta_U_mab_virus_28_0_322,1302.49082006431,
beta_U_mab_virus_6_0_233,2170.29268695873,
beta_U_mab_virus_65_0_103,0.0143459249738953,
beta_U_mab_virus_65_0_292,6512.73758026373,
beta_U_mab_virus_65_0_322,1302.63168300733,
beta_U_mab_virus_69_0_103,-0.255728483578423,
beta_U_mab_virus_69_0_233,2169.97201701613,
beta_U_mab_virus_69_0_274,2170.39129735918,
beta_U_mab_virus_69_0_292,6512.4853526385,
beta_U_mab_virus_69_0_322,1302.21086020024,
beta_U_mab_virus_70_0_274,2170.81709503748,
beta_U_run_id_1197,6512.44371052232,
beta_U_run_id_152,5209.90835099284,
beta_U_run_id_411,4341.2083923974,
beta_U_run_id_705,4340.26470396639,
L_pop,353.57320168601,
beta_L_run_id_1197,-60.8658808165786,
beta_L_run_id_152,-0.000769593502299352,
beta_L_run_id_411,-1.27253467160175e-07,
beta_L_run_id_705,191.094653884812,
L_gap_pop,1,
beta_L_gap_goes_down_True,0,
beta_L_gap_mab_virus_22_0_292,0,
beta_L_gap_mab_virus_22_0_322,0,
beta_L_gap_mab_virus_28_0_103,0,
beta_L_gap_mab_virus_28_0_292,0,
beta_L_gap_mab_virus_28_0_322,0,
beta_L_gap_mab_virus_6_0_233,0,
beta_L_gap_mab_virus_65_0_103,0,
beta_L_gap_mab_virus_65_0_292,0,
beta_L_gap_mab_virus_65_0_322,0,
beta_L_gap_mab_virus_69_0_103,0,
beta_L_gap_mab_virus_69_0_233,0,
beta_L_gap_mab_virus_69_0_274,0,
beta_L_gap_mab_virus_69_0_292,0,
beta_L_gap_mab_virus_69_0_322,0,
beta_L_gap_mab_virus_70_0_274,0,
h_pop,0.15899981774385,
f_pop,1,
alpha_pop,-1.24867414808513,
beta_alpha_run_id_1197,0.000418841359489144,
beta_alpha_run_id_152,-0.000799218987858313,
beta_alpha_run_id_411,-2.48383358100441e-05,
beta_alpha_run_id_705,2.76060808762632,
omega_U,5.17756519487249e-08,1.11454410685793e-10
omega_L_gap,0.806694109360897,95.7595085898194
omega_h,3.85946806130991e-07,0.000242734118571604
omega_f,7.74464366827568,1.05775270228042e+15
a,2.22044604925031e-16,
b,0.855255010045189,
