rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-7.78527e-10,6.42341e-08,0.176272,-1.02777e-08,-0.521952,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.72731e-08,2.66007e-08,0.0621594,1.87666e-08,-0.654261,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,6.27988e-08,3.92356e-09,0.435572,-1.98113e-08,-0.294535,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-3.66053e-08,-4.85667e-08,0.326602,-1.3685e-08,-0.40985,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-1.00626e-08,3.85546e-09,-0.546662,-3.73897e-08,-0.504492,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,4.08618e-08,4.17469e-08,-0.635694,2.43911e-08,-1.08612,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-2.39452e-08,-1.99354e-08,1.2543,4.03905e-08,-0.587204,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,4.47399e-08,3.90089e-08,0.681572,1.0013e-09,-0.318569,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,2.08966e-08,4.19243e-09,-0.39962,-3.65079e-10,-0.477901,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-2.04818e-08,-3.07122e-08,-0.595197,2.20471e-08,-0.698386,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-1.88593e-08,-6.00305e-08,0.175629,-4.49081e-09,-1.75811,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-4.02579e-08,3.90828e-08,-0.811514,1.23565e-08,-1.46687,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-1.13432e-08,2.08445e-08,0.627624,1.4591e-08,-1.85216,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-2.02999e-09,2.455e-08,0.191207,2.72727e-08,2.41884,0,False,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,1.33732e-08,-6.02278e-08,-0.00726138,-2.16965e-08,-2.79146,0,False,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-4.32192e-09,-1.67947e-08,-0.800013,-3.60951e-08,-2.44975,0,False,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-2.74085e-08,2.63174e-09,-0.518668,-1.69648e-08,-2.0527,0,False,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,2.6972e-08,-1.56605e-08,-0.2125,2.61988e-08,0.386279,0,False,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.8772e-08,7.37828e-09,0.268999,6.38389e-09,-2.14631,0,False,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,8.5638e-09,2.02882e-08,-1.02531,-7.58727e-10,0.668667,0,False,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,3.32657e-08,3.58397e-08,-0.828882,-2.1578e-08,1.03712,0,False,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-7.95262e-09,4.04078e-08,0.301465,-1.77003e-08,-1.59324,0,False,69.0|274,411
