id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-4.99289e-09,1.66886e-10,-0.00494527,-2.96902e-08,-3.41323,0,0,1.7053e-12,-0.00426718,1.29668e-11,-4.32367,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-2.94138e-09,-8.5126e-10,-0.0658819,1.41112e-09,-4.10506,0,0,5.79803e-12,-0.000514955,5.86922e-11,-4.88208,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,3.10739e-09,-3.27649e-09,0.0266035,-3.47065e-08,-0.707382,0,0,-2.38742e-12,0.00299201,-3.96216e-12,-2.07117,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-2.14398e-09,2.86533e-09,0.0630425,3.14605e-08,0.415839,0,0,-1.59162e-12,-0.00010649,-1.29108e-11,-0.991215,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,2.41146e-09,5.58802e-10,-0.0646417,1.586e-08,-4.16139,0,0,1.13687e-13,-0.000365445,4.97927e-12,-4.9662,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.84683e-09,-3.33518e-09,-0.0288291,8.82305e-09,-3.86915,0,0,-1.47793e-12,-0.000251679,4.25104e-13,-4.80228,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-1.40279e-09,-2.77076e-09,0.000402664,-2.35174e-08,-0.264857,0,0,5.68434e-13,-0.00149808,-1.15155e-12,-1.63274,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-3.72864e-10,-9.42143e-10,0.00805205,-3.18513e-09,-0.41166,0,0,-1.47793e-12,-0.00574568,2.69904e-12,-1.5684,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-3.95429e-09,-1.32164e-09,-0.082074,-1.85092e-08,-4.89875,0,0,5.68434e-13,-0.000476772,-4.90453e-11,-5.64044,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-7.22852e-10,-1.03376e-09,-0.0289277,5.30276e-09,-4.30436,0,-7.27596e-12,-7.61702e-12,-0.000242899,1.26837e-10,-4.81097,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,1.77932e-09,1.726e-10,0.00991208,6.06789e-08,-0.376974,0,-1.45519e-11,9.12905e-11,0.0115444,3.78938e-10,-0.00784516,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,2.86462e-09,2.10898e-09,0.012074,-3.59197e-08,0.15919,0,-1.45519e-11,6.25278e-12,0.0123182,5.6008e-11,0.159997,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,4.97894e-10,-3.03403e-09,-0.0259171,8.91154e-09,0.00238665,0,0,0,-1.39411e-06,-1.09884e-13,0.00288328,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,3.55886e-09,-1.37874e-09,-0.0143506,-4.2297e-09,-0.335497,0,0,1.13687e-13,1.19625e-06,-4.91163e-13,-2.9261e-05,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,4.0061e-09,-2.42614e-10,-1.15792e-05,4.45154e-08,0.396721,0,2.91038e-11,0,-8.70271e-06,8.64669e-13,-8.63836e-06,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-2.21567e-10,1.87035e-09,0.0182238,2.1022e-08,0.41499,0,0,1.36424e-12,0.0301113,5.07124e-11,0.066093,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-1.12863e-09,9.04398e-10,-0.0282247,4.89826e-08,0.0784639,0,0,5.68434e-13,-0.00197712,2.52494e-11,0.112135,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-2.1805e-09,-2.11766e-09,0.0343743,2.67187e-08,0.670836,0,0,-5.68434e-13,4.6567e-09,2.35922e-15,-8.02813e-10,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,9.43837e-11,1.40689e-09,0.0199284,-1.84954e-08,0.398312,0,0,-6.82121e-13,0.0101998,-1.95064e-11,-0.0179233,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,5.55418e-10,-9.46589e-10,-0.0237566,2.48108e-08,0.619849,0,0,0,2.05818e-06,-2.58127e-13,1.5188e-05,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-4.33894e-10,-1.50785e-10,-0.0220654,6.40531e-09,-0.101798,0,-1.45519e-11,5.34328e-12,-0.00033429,1.07429e-10,0.000925622,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,-3.09912e-10,-1.2102e-09,0.0128807,1.28007e-08,-0.0176639,0,-1.45519e-11,2.10321e-11,0.0127457,-8.7602e-11,-0.0181512,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-3.9772e-09,-2.59693e-09,-0.104812,2.41645e-09,-0.118082,0,0,1.13687e-13,-4.7857e-08,-2.09555e-14,2.73831e-07,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-5.62887e-09,-1.44357e-09,-0.0224181,2.82907e-08,0.310495,0,1.45519e-11,0,-1.38801e-07,-1.23873e-13,-4.94339e-06,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,-1.58657e-09,3.31888e-09,-0.0270026,-4.4362e-09,-0.33091,0,0,1.13687e-13,-4.44127e-07,-1.16934e-12,-2.14398e-06,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,3.13972e-10,-1.59067e-09,0.00856627,-7.09566e-09,0.00826534,0,0,8.07177e-12,0.00840216,-3.5526e-11,0.00852009,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,1.05462e-09,5.26607e-10,-0.015685,-1.53801e-08,-7.84826,0,-7.27596e-12,-2.27374e-13,0.00032509,-3.8454e-12,-8.2971,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,-8.23689e-09,4.38224e-09,0.0333202,3.99401e-09,-6.72164,0,-7.27596e-12,0,0.000326551,-4.42998e-12,-7.54417,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,1.42097e-09,2.97966e-09,-0.046437,-1.65688e-08,-7.05773,0,7.27596e-12,0,0.00032068,-4.21727e-12,-7.61323,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,-5.45388e-09,-6.73098e-10,0.0160554,-1.95068e-08,-6.89861,0,7.27596e-12,1.00044e-11,0.0154441,-1.7032e-11,-7.5287,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,1.87091e-09,2.48365e-09,-0.0911993,-3.52761e-08,-7.70889,0,7.27596e-12,0,0.000277935,-3.47719e-12,-8.33972,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,-2.89161e-10,-1.70848e-10,0.0334427,1.19181e-08,-6.9996,0,7.27596e-12,0,0.000314701,-4.27586e-12,-7.61629,0,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,-7.77355e-09,-3.92179e-09,-0.0592639,6.68437e-08,-15.1165,0,-7.27596e-12,0,-0.00159954,2.92923e-11,-15.5591,0,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,-6.177e-10,8.9491e-10,-0.0255304,-2.07906e-08,-15.0432,0,-7.27596e-12,4.77485e-12,-0.0252387,2.17397e-11,-15.563,0,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,-8.00981e-10,1.89158e-09,-0.0991167,-5.77439e-08,-13.0415,0,0,-3.97904e-12,-0.00100646,6.40357e-12,-13.5572,0,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,1.0482e-09,-3.21519e-09,0.0370889,4.37782e-08,-14.7875,0,0,-1.59162e-12,-0.00148855,1.67548e-11,-15.2131,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,2.81462e-09,-2.28235e-10,-0.0117801,3.22665e-08,-0.127525,0,0,1.36424e-12,-0.0149896,-2.83038e-11,-0.0302897,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,-1.51932e-09,1.6224e-09,-0.0230385,-9.31218e-09,-0.0359335,0,0,2.27374e-12,-7.17173e-05,-3.49455e-11,-0.0433895,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,2.53371e-09,-2.23063e-09,-0.0556791,-1.08096e-08,0.291222,0,0,0,4.12233e-08,1.62925e-14,6.08273e-08,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,2.35261e-10,-3.70369e-10,-0.0454449,-2.22021e-08,-0.0136661,0,0,0,-6.50035e-05,-4.41072e-12,-0.0226209,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,-8.2601e-10,2.65585e-09,-0.016005,-2.59181e-09,0.587074,0,0,0,-2.44319e-09,-3.35842e-15,3.58708e-07,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,1.97008e-09,8.98917e-11,0.0169164,1.7485e-08,0.173738,0,0,1.13687e-12,0.00553679,-4.48339e-11,-0.0226334,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,7.76607e-10,1.27477e-09,0.0300642,-7.38492e-09,0.477227,0,0,0,2.26155e-08,-8.57647e-15,-5.36064e-07,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,1.17156e-09,4.70638e-10,-0.00598429,6.15349e-09,0.0698575,0,0,-3.41061e-13,-0.00770218,-1.3228e-11,0.0158722,0,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,-2.55786e-09,-1.3678e-10,0.0433554,9.36049e-09,0.213527,0,0,0,-3.30549e-08,1.99563e-14,-2.07771e-07,0,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,-3.02546e-09,-2.78627e-09,-0.0114078,5.29286e-08,0.144846,0,0,-1.81899e-12,-0.0146787,-1.48636e-11,0.02663,0,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,8.60513e-10,3.90975e-10,0.0475365,-3.74842e-08,-0.0216698,0,0,4.54747e-13,4.17936e-05,-4.55525e-13,-0.027585,0,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,1.02438e-09,4.72185e-09,-0.0212082,1.34773e-08,-0.52231,0,0,9.09495e-13,2.26151e-06,3.4969e-12,2.10263e-05,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,-1.10918e-09,-1.96607e-09,-0.00979174,4.59827e-09,0.216339,0,0,0,3.60739e-08,2.72005e-14,3.39254e-07,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,-2.37659e-09,-6.4862e-11,0.0361157,9.89767e-09,0.453415,0,0,0,-2.15557e-08,-2.51743e-14,2.75193e-07,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,3.50585e-10,1.42245e-09,-0.0369913,2.22936e-08,-0.652603,0,0,0,1.96066e-08,5.97022e-14,-3.09125e-07,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,-3.29077e-10,1.02677e-09,0.0212182,3.33716e-09,-0.00658106,0,0,0,2.22717e-05,4.88054e-13,-0.0102078,0,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,2.83535e-09,-8.48438e-10,0.0390044,5.40822e-09,0.922484,0,-7.27596e-12,-1.59162e-12,-0.000233092,1.28256e-12,-0.398983,0,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,1.53961e-09,8.26912e-10,-0.035005,-1.03595e-08,1.41921,0,-6.54836e-11,0,-0.000102527,4.02112e-12,-0.174162,0,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,-3.89421e-09,-1.76002e-09,-0.00468973,-2.31015e-08,3.15675,0,-7.27596e-12,6.82121e-13,-0.0063218,2.72146e-12,1.10538,0,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-5.08604e-09,-1.18258e-09,0.00393794,4.77953e-09,2.96407,0,7.27596e-12,0,-3.84788e-05,3.04132e-12,1.4186,0,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,2.14452e-10,-2.04764e-09,0.0215203,3.32357e-08,-4.68263,0,7.27596e-12,-7.16227e-12,-0.000322448,-1.15759e-10,-5.60378,0,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-3.58488e-09,2.22878e-09,-0.0523155,-2.62443e-09,-1.94134,0,0,-1.13687e-13,-0.000225704,-1.11439e-12,-3.09269,0,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,4.64822e-09,-7.70897e-10,-0.0260237,-2.59903e-08,0.69248,0,0,3.41061e-13,-0.000158188,4.10319e-12,-1.17317,0,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,1.92913e-09,6.27349e-09,0.0126138,-5.26833e-08,0.624052,0,0,-4.20641e-12,0.0270961,1.80021e-11,-1.05119,0,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-2.02155e-09,-2.44796e-09,-0.0774209,3.50838e-09,1.03787,0,-7.27596e-12,0,-0.000113401,4.01107e-12,-0.85792,0,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-7.5229e-10,-6.57971e-10,0.07113,-2.11293e-08,0.899087,0,7.27596e-12,0,-0.000100209,3.9039e-12,-0.455501,0,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,1.00427e-09,2.98821e-10,0.0453641,9.65834e-09,-0.339504,0,-7.27596e-12,1.13687e-13,-1.38816e-07,-1.07137e-14,-3.66956e-07,0,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,-3.79805e-11,1.59376e-09,0.0217839,-3.3767e-09,-0.491088,0,-7.27596e-12,0,6.56408e-07,-6.42847e-13,-4.70777e-06,0,False,69.0|322,152
