id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-4.25346e-09,-2.52729e-09,-0.890686,0,0,1.13687e-13,-2.70894e-14,-0.923895,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,8.22606e-09,-6.30501e-09,-1.45458,0,0,0,1.1191e-13,-1.49516,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,9.76187e-09,-1.69942e-09,-0.792773,0,0,0,3.86358e-14,-0.821282,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,-1.18118e-08,3.65594e-10,-0.703431,0,0,-2.27374e-13,-1.10578e-13,-0.731767,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,-4.94391e-09,1.75522e-08,-1.10939,0,0,0,-5.57332e-14,-1.18296,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,5.80476e-09,2.17387e-09,-1.26611,0,0,1.13687e-13,3.05977e-13,-1.25862,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,3.43919e-09,-4.8008e-10,-0.855786,0,0,-2.27374e-13,-6.17284e-14,-0.901461,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-8.52555e-09,7.24722e-09,-0.801637,0,0,0,-2.16716e-13,-0.762531,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,-3.83975e-09,2.38416e-09,-1.20725,0,0,-2.27374e-13,3.10862e-14,-1.28089,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-1.04166e-08,3.83167e-09,-1.14725,0,0,0,8.52651e-14,-1.14724,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,3.98421e-09,-4.56742e-09,0.148489,0,0,1.13687e-13,3.21965e-15,-9.60659e-07,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-2.72329e-09,9.49092e-10,-0.743109,0,0,-1.13687e-13,-2.22045e-16,2.82607e-07,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-2.82705e-09,-6.89963e-10,-0.065805,0,0,1.13687e-13,4.21885e-15,3.31807e-07,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-2.55669e-09,3.95115e-09,-0.63077,0,0,0,-1.79856e-14,1.47637e-05,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,-9.21987e-11,-1.25327e-09,-0.228171,0,0,1.13687e-13,-3.71925e-14,-2.8428e-05,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,2.9253e-09,1.37098e-09,-0.336161,0,0,1.13687e-13,-3.37508e-14,5.16372e-06,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-1.51213e-09,-4.02708e-09,0.0833658,0,0,0,-8.99281e-15,-3.76087e-06,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-4.50309e-10,9.43306e-10,-0.829273,0,0,0,2.81442e-14,-9.1304e-06,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,-3.25915e-09,-1.47192e-09,-0.36589,0,0,0,-5.82867e-15,-1.25757e-06,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,9.68135e-10,4.93994e-09,-0.991974,0,0,0,4.22995e-14,-1.83319e-06,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,1.33365e-09,-3.24126e-09,0.0863899,0,0,1.13687e-13,-1.5099e-14,-2.55444e-06,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,-1.43892e-09,2.04232e-09,0.368384,0,0,-1.13687e-13,4.55191e-15,1.09389e-07,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-1.32669e-09,2.87869e-09,-0.0554637,0,0,0,1.38778e-15,-4.1028e-07,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,1.16721e-09,4.79212e-09,0.267773,0,0,0,-9.10383e-15,-4.53007e-06,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,-6.53865e-10,7.5714e-09,0.376236,0,0,0,-3.30291e-14,-2.59512e-06,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,8.16743e-10,2.97496e-09,-0.0155239,0,0,-1.13687e-13,6.66134e-16,-4.05656e-07,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,0,3.79863e-09,-1.09268e-08,-14.9112,0,0,-3.41061e-13,-5.88696e-14,-14.9813,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,0,6.09962e-09,2.563e-09,-14.41,0,0,0,-2.32314e-14,-14.7881,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,0,-4.87944e-10,4.16746e-09,-14.8652,0,0,-1.13687e-13,-1.73195e-14,-14.8802,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,0,4.59618e-09,-6.03266e-09,-14.7424,0,0,-1.13687e-13,-6.30052e-15,-14.8554,0,False,6.0|233,705
