id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-5.49399e-09,-1.00013e-08,-7.20648,0,0,0,2.66787e-13,-7.98313,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-9.69716e-09,-1.22339e-08,-7.77168,0,0,0,2.71977e-13,-8.40565,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-4.09825e-11,9.57824e-09,-5.92026,0,0,0,1.05499e-13,-6.54319,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,9.13442e-10,4.47145e-09,-4.86478,0,0,0,1.3925e-13,-5.67346,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,-4.11906e-09,1.35651e-11,-8.07207,0,0,0,2.75668e-13,-8.58906,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,3.77678e-09,9.41725e-10,-7.89966,0,0,0,2.7961e-13,-8.44067,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,-1.59809e-09,8.49178e-09,-5.44168,0,0,0,6.53089e-14,-6.1434,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,7.40875e-10,1.58328e-08,-5.26967,0,0,0,1.0425e-13,-6.05261,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,-1.4137e-10,-4.04339e-09,-8.26354,0,0,0,3.1436e-13,-8.73126,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,4.69678e-09,-1.03832e-08,-7.49616,0,0,0,2.74947e-13,-8.20811,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,4.92122e-09,8.35025e-09,-0.683183,0,0,0,6.06737e-14,2.69403e-06,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,-2.83861e-09,5.70818e-09,1.06294,0,0,0,3.4972e-14,7.41358e-06,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-2.84849e-11,1.36008e-08,-0.848,0,0,0,-3.06422e-14,4.13538e-07,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-5.97821e-10,3.14563e-09,-0.0987018,0,0,0,1.02696e-14,3.24954e-07,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,1.50926e-10,-1.57712e-08,-0.0559621,0,0,0,-8.96505e-14,9.09054e-06,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,-4.55047e-10,5.1472e-09,-1.24918,0,0,0,3.78031e-14,1.24735e-05,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,2.82859e-09,-1.24702e-08,0.451272,0,0,0,4.82392e-14,3.4737e-07,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-7.99191e-10,-6.2225e-09,-0.215457,0,0,0,-4.77451e-13,1.57029e-06,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,-1.02542e-09,2.44295e-08,-0.698438,0,0,0,4.60743e-15,3.53937e-07,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,-3.045e-10,5.62562e-09,0.761876,0,0,0,1.05471e-14,2.57252e-05,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,1.41789e-09,-6.88254e-09,-0.514948,0,0,0,1.50435e-13,1.83854e-05,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,1.2747e-09,-2.76307e-09,0.484021,0,0,0,2.78111e-14,1.13829e-05,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-1.60739e-09,-3.98908e-09,1.66612,0,0,-1.13687e-13,5.25191e-13,-4.86878e-06,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,2.89881e-09,5.34779e-09,0.194762,0,0,0,1.89515e-13,1.76917e-05,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,-1.09171e-09,8.62665e-10,-0.0743588,0,0,0,1.73306e-13,-2.95273e-05,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,-8.57505e-10,3.4964e-10,-1.91974,0,0,0,9.44245e-14,-1.01447e-05,0,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,0,1.15776e-08,-1.60346e-08,-13.4456,0,0,0,-7.67719e-14,-13.8012,0,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,0,1.24177e-09,-2.82047e-08,-13.3576,0,0,0,-3.82472e-14,-13.6318,0,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,0,-2.51051e-09,1.29707e-09,-13.0474,0,0,0,-1.47826e-13,-13.741,0,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,0,-5.81584e-09,-5.3905e-09,-13.3167,0,0,-1.13687e-13,-1.91347e-13,-13.7113,0,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,0,1.41768e-08,8.24281e-09,-14.2248,0,0,0,-6.75571e-14,-13.937,0,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,0,1.09243e-09,3.04421e-08,-13.4122,0,0,0,-1.95566e-13,-13.6977,0,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,0,8.0814e-10,-9.82362e-10,-19.0918,0,0,-1.13687e-13,3.32206e-13,-19.7734,0,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,0,4.97003e-09,-3.03234e-09,-19.4117,0,0,-1.13687e-13,3.26073e-13,-20.055,0,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,0,2.64104e-10,4.56845e-09,-19.1893,0,0,0,5.78482e-13,-19.2355,0,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,0,-4.22847e-09,-1.86985e-08,-19.5676,0,0,0,3.67706e-13,-19.51,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,0,2.40072e-09,-4.66598e-10,-0.575332,0,0,-1.13687e-13,1.44329e-15,-1.19698e-07,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,0,-1.64522e-09,3.60229e-09,-0.471608,0,0,-1.13687e-13,-7.88258e-15,2.771e-07,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,0,1.89019e-09,-8.98477e-09,-0.307023,0,0,1.13687e-13,-1.45947e-12,-1.72747e-05,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,0,8.70388e-10,-1.21558e-08,-0.30027,0,0,0,-2.03865e-13,-2.09473e-05,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,0,-4.89564e-09,-5.27737e-09,-0.649747,0,0,-1.13687e-13,-8.32667e-15,8.64426e-10,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,0,3.06079e-09,7.99241e-09,0.630914,0,0,-1.13687e-13,2.05391e-15,-4.85604e-07,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,0,1.53244e-09,4.45762e-09,0.380292,0,0,1.13687e-13,3.39617e-13,5.3517e-06,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,0,-2.31899e-09,5.66712e-10,0.431017,0,0,1.13687e-13,8.40994e-15,-8.14416e-07,0,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,0,-2.4457e-09,-1.54538e-09,0.658529,0,0,1.13687e-13,-7.61058e-14,-1.70224e-06,0,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,0,3.2014e-09,-8.27515e-09,0.923024,0,0,1.13687e-13,-6.66134e-14,5.434e-06,0,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,0,-2.10086e-10,-5.73528e-09,0.409955,0,0,1.13687e-13,2.05391e-15,-3.40883e-08,0,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,0,1.74687e-09,-1.36427e-08,0.632125,0,0,0,1.31006e-14,8.46516e-06,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,0,6.16898e-09,1.15746e-08,1.62014,0,0,0,-1.51545e-14,-1.59375e-05,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,0,1.06759e-09,3.77661e-09,-0.414372,0,0,-1.13687e-13,8.63198e-15,5.77647e-08,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,0,-2.76665e-09,3.07785e-10,-0.569262,0,0,1.13687e-13,-8.01581e-14,1.84467e-06,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,0,-1.70581e-09,6.57571e-09,0.730336,0,0,0,1.50574e-13,-5.05665e-06,0,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,0,2.30364e-09,1.07524e-08,-2.91137,0,0,0,1.9662e-13,-3.87467,0,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0,-4.54572e-09,-7.06616e-10,-2.58648,0,0,0,1.15907e-13,-3.73529,0,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0,-5.45361e-10,-9.36466e-09,-1.77081,0,0,0,1.26454e-13,-3.13099,0,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0,-8.99419e-09,-1.11659e-08,-1.97895,0,0,0,1.37418e-13,-2.88418,0,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0,-6.89142e-09,1.57508e-10,-6.16959,0,0,0,3.16247e-13,-6.60063,0,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0,-7.91344e-10,9.76563e-09,-4.5467,0,0,0,2.50966e-13,-5.60527,0,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0,6.17648e-09,-1.30828e-09,-3.78309,0,0,0,2.25375e-13,-4.75242,0,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0,-3.35194e-10,-3.68079e-09,-3.48291,0,0,0,2.20157e-13,-4.79082,0,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0,-9.5205e-10,-3.96679e-09,-3.24015,0,0,0,2.29983e-13,-4.3088,0,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0,-1.4351e-09,-4.73977e-09,-2.5203,0,0,0,1.99396e-13,-4.05397,0,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0,4.87677e-10,3.23946e-09,0.35512,0,0,0,1.25067e-13,-1.13216e-05,0,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0,-3.69993e-09,2.33932e-09,0.0231248,0,0,5.68434e-13,2.84217e-12,0.023762,0,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0,2.4734e-09,-6.53597e-09,1.27883,0,0,1.13687e-13,-2.11275e-13,-1.234e-06,0,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0,-2.88782e-09,1.17017e-08,-1.07141,0,0,1.13687e-13,2.38698e-15,3.66336e-06,0,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,0,4.13017e-09,4.03988e-09,0.0860035,0,0,-1.13687e-13,9.35363e-15,3.84109e-07,0,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,0,6.91952e-09,2.73512e-09,-0.651635,0,0,0,1.1191e-13,-7.18983e-06,0,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0,-2.79899e-09,-2.20517e-08,0.57427,0,0,-1.13687e-13,-3.60822e-15,6.52773e-08,0,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0,-4.63788e-09,-6.35296e-09,0.802371,0,0,1.13687e-13,2.39642e-13,-4.17961e-06,0,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0,1.06261e-09,1.00372e-08,0.410813,0,0,0,-3.99403e-14,5.26187e-06,0,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,0,4.94145e-09,6.47468e-09,-0.773186,0,0,1.13687e-13,-5.04041e-14,1.4784e-05,0,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0,7.03582e-09,4.88513e-09,-1.19633,0,0,0,-6.27276e-14,9.10431e-06,0,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0,-3.79452e-09,2.13703e-09,-0.250911,0,0,0,-5.65659e-14,3.31187e-06,0,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0,-7.59122e-09,-3.64495e-09,-0.091477,0,0,1.13687e-13,3.04756e-14,8.13465e-06,0,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0,1.48064e-09,4.0104e-09,0.366842,0,0,1.13687e-13,-1.71529e-13,-1.29285e-05,0,False,69.0|322,152
