rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,4.498e-08,-2.3525e-08,-3.65166e-08,-0.251478,0,True,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-2.32831e-08,-1.39105e-08,-2.02045e-08,-0.805161,0,True,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,1.8932e-08,-1.23151e-08,-1.08725e-08,-0.0608093,0,True,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,8.98581e-09,2.6464e-08,-8.46897e-09,-0.125388,0,True,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-1.70767e-08,-4.34977e-08,2.33867e-08,-0.758471,0,True,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,3.1534e-08,1.65743e-08,-5.965e-09,-0.86185,0,True,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,4.7803e-09,-5.68502e-09,7.76501e-09,-0.579567,0,True,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-1.08412e-09,-2.97208e-08,-1.73154e-09,-0.726502,0,True,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-2.84999e-08,-2.82108e-08,1.803e-08,-0.7408,0,True,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-5.61267e-08,-2.66946e-08,3.56267e-08,-0.843811,0,True,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-3.41824e-08,-1.7308e-08,2.75207e-08,4.67114,0,False,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-1.32204e-08,-2.00988e-08,4.04591e-08,1.64103,0,False,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,3.57977e-09,6.97344e-09,-1.52943e-08,0.818919,0,False,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,1.40353e-08,1.05251e-08,-1.21021e-08,0.695794,0,False,69.0|274,411
