id,importanceSampling
9|411|9|411|sample|4|274|4|274|70.0,150.235503
9|411|9|411|sample|3|274|3|274|70.0,112.103149
9|411|9|411|sample|5|274|5|274|70.0,179.638556
9|411|9|411|sample|6|274|6|274|70.0,178.754242
9|411|9|411|sample|8|274|8|274|70.0,147.778525
9|411|9|411|sample|7|274|7|274|70.0,146.517642
9|411|9|411|sample|9|274|9|274|70.0,177.170571
9|411|9|411|sample|10|274|10|274|70.0,178.354081
9|411|9|411|sample|12|274|12|274|70.0,146.484076
9|411|9|411|sample|11|274|11|274|70.0,115.515088
9|411|9|411|cc|1|1|274|1|274|69.0,13.516839
9|411|9|411|cc|2|1|274|1|274|69.0,13.980144
9|411|9|411|cc|3|1|274|1|274|69.0,-19.217312
9|411|9|411|cc|4|1|274|1|274|69.0,14.571378
9|411|9|411|cc|5|1|274|1|274|69.0,13.598742
9|411|9|411|cc|6|1|274|1|274|69.0,13.656723
9|411|9|411|cc|7|1|274|1|274|69.0,14.270193
9|411|9|411|cc|8|1|274|1|274|69.0,-17.526506
9|411|9|411|vc|1|2|274|2|274|69.0,21.084449
9|411|9|411|vc|2|2|274|2|274|69.0,20.953128
9|411|9|411|vc|3|2|274|2|274|69.0,22.005953
9|411|9|411|vc|4|2|274|2|274|69.0,21.345793
9|411|9|411|vc|5|2|274|2|274|69.0,21.823545
9|411|9|411|vc|6|2|274|2|274|69.0,21.438620
9|411|9|411|vc|7|2|274|2|274|69.0,-10.884401
9|411|9|411|vc|8|2|274|2|274|69.0,20.973767
14|705|14|705|sample|3|233|3|233|6.0,164.232552
14|705|14|705|sample|4|233|4|233|6.0,165.618083
14|705|14|705|sample|5|233|5|233|6.0,165.881775
14|705|14|705|sample|6|233|6|233|6.0,165.715185
14|705|14|705|sample|7|233|7|233|6.0,165.633245
14|705|14|705|sample|8|233|8|233|6.0,165.701395
14|705|14|705|sample|10|233|10|233|6.0,178.692329
14|705|14|705|sample|9|233|9|233|6.0,182.159390
14|705|14|705|sample|12|233|12|233|6.0,141.536654
14|705|14|705|sample|11|233|11|233|6.0,178.928625
14|705|14|705|cc|1|1|233|1|233|69.0,13.594823
14|705|14|705|cc|2|1|233|1|233|69.0,-21.279774
14|705|14|705|cc|3|1|233|1|233|69.0,11.994513
14|705|14|705|cc|4|1|233|1|233|69.0,12.598918
14|705|14|705|cc|5|1|233|1|233|69.0,14.007560
14|705|14|705|cc|6|1|233|1|233|69.0,13.217804
14|705|14|705|cc|7|1|233|1|233|69.0,11.602078
14|705|14|705|cc|8|1|233|1|233|69.0,14.021875
14|705|14|705|vc|1|2|233|2|233|69.0,27.237502
14|705|14|705|vc|2|2|233|2|233|69.0,-4.052856
