id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,85049.5,780.439,1.5457,0.415177,0.276758,84767.9,780.439,1.5457,0.407258,0.284962,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,85049.5,780.439,1.5457,0.24578,0.276758,84767.9,780.439,1.5457,0.230984,0.284962,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,85049.5,780.439,1.5457,0.460282,0.276758,84767.9,780.439,1.5457,0.458559,0.284962,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,85049.5,780.439,1.5457,0.543025,0.276758,84767.9,780.439,1.5457,0.504981,0.284962,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,85049.5,780.439,1.5457,0.349812,0.276758,84767.9,780.439,1.5457,0.313794,0.284962,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,85049.5,780.439,1.5457,0.295864,0.276758,84767.9,780.439,1.5457,0.290919,0.284962,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,85049.5,780.439,1.5457,0.499541,0.276758,84767.9,780.439,1.5457,0.425494,0.284962,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,85049.5,780.439,1.5457,0.482202,0.276758,84767.9,780.439,1.5457,0.488914,0.284962,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,85049.5,780.439,1.5457,0.314328,0.276758,84767.9,780.439,1.5457,0.29734,0.284962,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,85049.5,780.439,1.5457,0.347372,0.276758,84767.9,780.439,1.5457,0.330061,0.284962,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,85049.5,777.678,-0.403621,1550.17,0.276758,84767.9,777.678,-0.403621,0.999999,0.284962,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,85049.5,777.678,-0.403621,31753,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,85049.5,777.678,-0.403621,47445.3,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,85049.5,777.678,-0.403621,47390.3,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,85049.5,777.678,-0.403621,28177.9,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,85049.5,777.678,-0.403621,5012.3,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,85049.5,777.678,-0.403621,176430,0.276758,84767.9,777.678,-0.403621,0.999994,0.284962,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,85049.5,777.678,-0.403621,1531.42,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,85049.5,777.678,-0.403621,10322.4,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,85049.5,777.678,-0.403621,14098.6,0.276758,84767.9,777.678,-0.403621,1.00002,0.284962,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,85049.5,777.678,-0.403621,2658.37,0.276758,84767.9,777.678,-0.403621,0.999976,0.284962,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,85049.5,777.678,-0.403621,108442,0.276758,84767.9,777.678,-0.403621,0.999986,0.284962,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,85049.5,777.678,-0.403621,42628.7,0.276758,84767.9,777.678,-0.403621,0.999997,0.284962,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,85049.5,777.678,-0.403621,4308.27,0.276758,84767.9,777.678,-0.403621,1,0.284962,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,85049.5,777.678,-0.403621,1854.15,0.276758,84767.9,777.678,-0.403621,1.00001,0.284962,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,85049.5,777.678,-0.403621,148144,0.276758,84767.9,777.678,-0.403621,0.999997,0.284962,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,85049.5,779.138,0.123707,1.21756e-06,0.965144,84767.9,779.138,0.123707,4.39459e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,85049.5,779.138,0.123707,1.00348e-06,0.965144,84767.9,779.138,0.123707,5.33113e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,85049.5,779.138,0.123707,1.04103e-06,0.965144,84767.9,779.138,0.123707,4.86422e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,85049.5,779.138,0.123707,2.86201e-06,0.965144,84767.9,779.138,0.123707,4.98625e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,85049.5,779.138,0.123707,2.06078e-06,0.965144,84767.9,779.138,0.123707,4.26178e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,85049.5,779.138,0.123707,1.30444e-06,0.965144,84767.9,779.138,0.123707,5.17465e-07,0.9627,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,85049.5,779.138,2.22735,0.0692395,0.965144,84767.9,779.138,2.22735,0.0617897,0.9627,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,85049.5,779.138,2.22735,0.0764985,0.965144,84767.9,779.138,2.22735,0.0712413,0.9627,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,85049.5,779.138,2.22735,0.0908977,0.965144,84767.9,779.138,2.22735,0.0765575,0.9627,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,85049.5,779.138,2.22735,0.0827797,0.965144,84767.9,779.138,2.22735,0.0809834,0.9627,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,85049.5,777.319,1.28676,159956,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,85049.5,777.319,1.28676,396222,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,85049.5,777.319,1.28676,7037.42,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,85049.5,777.319,1.28676,2929.08,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,85049.5,777.319,1.28676,3892.85,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,85049.5,777.319,1.28676,4525.92,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,85049.5,777.319,1.28676,83286.8,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,85049.5,777.319,1.28676,52997.6,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,85049.5,777.319,1.28676,195315,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,85049.5,777.319,1.28676,15876.7,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,85049.5,777.319,1.28676,787.599,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,85049.5,777.319,1.28676,1291.91,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,85049.5,777.319,1.28676,305322,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,85049.5,777.319,1.28676,1711.27,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,85049.5,777.319,1.28676,6304.56,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,85049.5,777.319,1.28676,31369.3,0.965144,84767.9,777.319,1.28676,1,0.9627,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,85049.5,779.988,1.19172,0.240169,0.275134,84767.9,779.988,1.19172,0.210722,0.278684,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,85049.5,779.988,1.19172,0.238797,0.275134,84767.9,779.988,1.19172,0.235066,0.278684,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,85049.5,779.988,1.19172,0.251578,0.275134,84767.9,779.988,1.19172,0.235946,0.278684,True,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,85049.5,779.988,1.19172,0.229241,0.275134,84767.9,779.988,1.19172,0.209404,0.278684,True,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,85049.5,780.084,1.22374,0.0817823,0.275134,84767.9,780.084,1.22374,0.079558,0.278684,True,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,85049.5,780.084,1.22374,0.0912865,0.275134,84767.9,780.084,1.22374,0.086708,0.278684,True,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,85049.5,780.084,1.22374,0.0832328,0.275134,84767.9,780.084,1.22374,0.0828809,0.278684,True,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,85049.5,780.084,1.22374,0.0973491,0.275134,84767.9,780.084,1.22374,0.0999276,0.278684,True,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,85049.5,780.289,1.16848,0.183984,0.275134,84767.9,780.289,1.16848,0.165373,0.278684,True,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,85049.5,780.289,1.16848,0.192101,0.275134,84767.9,780.289,1.16848,0.181818,0.278684,True,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,85049.5,777.33,0.746566,20768.8,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,85049.5,777.33,0.746566,9464.96,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,85049.5,777.33,0.746566,92310.1,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,85049.5,777.33,0.746566,5382.44,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,85049.5,777.33,0.746566,3938.78,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,85049.5,777.33,0.746566,1699.65,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,85049.5,777.33,0.746566,32571.6,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,85049.5,777.33,0.746566,306688,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,85049.5,777.33,0.746566,5174.17,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,85049.5,777.33,0.746566,14051.3,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,85049.5,777.33,0.746566,18503.6,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,85049.5,777.33,0.746566,1110.81,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,85049.5,777.33,0.746566,15913.2,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,85049.5,777.33,0.746566,87247.7,0.275134,84767.9,777.33,0.746566,1,0.278684,False,69.0|322,152
